date,ADX
2024-10-04,10.2839
2024-10-03,10.6297
2024-10-02,11.1277
2024-10-01,11.6518
2024-09-30,12.126
2024-09-27,11.9318
2024-09-26,12.07
2024-09-25,12.3206
2024-09-24,12.7084
2024-09-23,12.9214
2024-09-20,13.1365
2024-09-19,13.1625
2024-09-18,13.4837
2024-09-17,13.8207
2024-09-16,13.4208
2024-09-13,12.9997
2024-09-12,13.381
2024-09-11,13.7169
2024-09-10,14.0108
2024-09-09,14.1125
2024-09-06,14.1927
2024-09-05,14.5859
2024-09-04,15.1856
2024-09-03,15.3701
2024-08-30,15.9572
2024-08-29,16.2166
2024-08-28,16.2868
2024-08-27,16.7086
2024-08-26,17.2732
2024-08-23,18.0568
2024-08-22,18.8263
2024-08-21,19.6363
2024-08-20,20.3535
2024-08-19,21.1921
2024-08-16,22.1957
2024-08-15,23.1879
2024-08-14,24.3759
2024-08-13,25.4614
2024-08-12,26.4897
2024-08-09,27.3305
2024-08-08,27.8995
2024-08-07,28.2118
2024-08-06,28.4781
2024-08-05,28.3428
2024-08-02,28.2004
2024-08-01,29.4141
2024-07-31,30.8234
2024-07-30,31.8318
2024-07-29,33.3024
2024-07-26,34.9776
2024-07-25,36.7085
2024-07-24,38.5304
2024-07-23,40.1469
2024-07-22,41.0908
2024-07-19,42.0235
2024-07-18,43.0938
2024-07-17,44.2204
2024-07-16,44.7857
2024-07-15,44.4239
2024-07-12,43.9026
2024-07-11,43.6238
2024-07-10,43.3458
2024-07-09,42.3973
2024-07-08,41.5854
2024-07-05,40.8156
2024-07-03,40.0831
2024-07-02,39.6141
2024-07-01,39.1999
2024-06-28,38.9686
2024-06-27,38.8338
2024-06-26,38.304
2024-06-25,37.8045
2024-06-24,37.5228
2024-06-21,37.2262
2024-06-20,36.9708
2024-06-18,36.4003
2024-06-17,35.0172
2024-06-14,33.5612
2024-06-13,32.2057
2024-06-12,30.7215
2024-06-11,29.1591
2024-06-10,28.2794
2024-06-07,28.3733
2024-06-06,27.9814
2024-06-05,27.622
2024-06-04,27.0709
2024-06-03,26.6704
2024-05-31,26.2867
2024-05-30,26.1727
2024-05-29,25.8895
2024-05-28,25.5913
2024-05-24,25.2775
2024-05-23,25.2165
2024-05-22,25.1524
2024-05-21,24.3319
2024-05-20,23.3235
2024-05-17,22.3325
2024-05-16,21.3862
2024-05-15,20.2923
2024-05-14,19.1766
2024-05-13,18.1961
2024-05-10,17.267
2024-05-09,16.467
2024-05-08,15.6865
2024-05-07,15.0086
2024-05-06,14.2951
2024-05-03,13.6044
2024-05-02,12.5332
2024-05-01,12.8647
2024-04-30,13.3188
2024-04-29,13.654
2024-04-26,13.4769
2024-04-25,13.974
2024-04-24,14.617
2024-04-23,15.2612
2024-04-22,15.542
2024-04-19,15.8375
2024-04-18,15.9976
2024-04-17,16.5188
2024-04-16,17.2883
2024-04-15,18.1394
2024-04-12,18.4528
2024-04-11,18.461
2024-04-10,18.8834
2024-04-09,19.2423
2024-04-08,19.8456
2024-04-05,20.288
2024-04-04,20.8782
2024-04-03,21.4996
2024-04-02,21.9011
2024-04-01,22.0404
2024-03-28,22.3721
2024-03-27,22.8792
2024-03-26,23.413
2024-03-25,23.5439
2024-03-22,23.6818
2024-03-21,23.9046
2024-03-20,24.2377
2024-03-19,25.181
2024-03-18,25.7973
2024-03-15,26.5162
2024-03-14,26.2145
2024-03-13,26.1209
2024-03-12,25.7566
2024-03-11,25.4028
2024-03-08,25.1526
2024-03-07,24.7397
2024-03-06,23.6079
2024-03-05,22.4338
2024-03-04,21.2817
2024-03-01,20.4845
2024-02-29,20.0842
2024-02-28,19.968
2024-02-27,19.935
2024-02-26,19.9003
2024-02-23,19.6117
2024-02-22,19.5202
2024-02-21,19.455
2024-02-20,18.9498
2024-02-16,18.3182
2024-02-15,17.8474
2024-02-14,17.2775
2024-02-13,16.8013
2024-02-12,16.4233
2024-02-09,16.432
2024-02-08,16.604
2024-02-07,16.6625
2024-02-06,16.8872
2024-02-05,16.8245
2024-02-02,16.7482
2024-02-01,16.337
2024-01-31,16.4466
2024-01-30,16.6309
2024-01-29,17.2529
2024-01-26,18.0943
2024-01-25,18.5918
2024-01-24,18.9122
2024-01-23,19.0321
2024-01-22,19.2383
2024-01-19,19.5074
2024-01-18,20.2335
2024-01-17,21.1829
2024-01-16,21.033
2024-01-12,20.9599
2024-01-11,21.5199
2024-01-10,22.1094
2024-01-09,22.6023
2024-01-08,22.8729
2024-01-05,23.1578
2024-01-04,22.8776
2024-01-03,22.6686
2024-01-02,22.7731
2023-12-29,22.9436
2023-12-28,23.8613
2023-12-27,24.5073
2023-12-26,25.4012
2023-12-22,25.9454
2023-12-21,26.4857
2023-12-20,26.9341
2023-12-19,27.0992
2023-12-18,27.0198
2023-12-15,26.9785
2023-12-14,26.2911
2023-12-13,25.5675
2023-12-12,24.9846
2023-12-11,24.779
2023-12-08,24.7331
2023-12-07,24.1161
2023-12-06,23.5913
2023-12-05,23.069
2023-12-04,22.5629
2023-12-01,22.6234
2023-11-30,22.2425
2023-11-29,22.0199
2023-11-28,21.5876
2023-11-27,21.272
2023-11-24,20.9964
2023-11-22,20.6251
2023-11-21,19.8637
2023-11-20,19.2297
2023-11-17,18.5302
2023-11-16,17.9733
2023-11-15,17.3699
2023-11-14,16.9049
2023-11-13,16.5832
2023-11-10,16.5096
2023-11-09,16.4322
2023-11-08,16.7065
2023-11-07,17.0883
2023-11-06,17.6303
2023-11-03,18.4707
2023-11-02,18.9233
2023-11-01,19.7133
2023-10-31,19.8987
2023-10-30,19.3742
2023-10-27,18.9463
2023-10-26,17.9684
2023-10-25,16.9391
2023-10-24,16.4812
2023-10-23,16.1161
