date,EMA
2024-10-04,225.6957
2024-10-03,225.5795
2024-10-02,225.5699
2024-10-01,225.4426
2024-09-30,225.3618
2024-09-27,224.5577
2024-09-26,224.2175
2024-09-25,223.8699
2024-09-24,223.6067
2024-09-23,223.2106
2024-09-20,222.8675
2024-09-19,222.3062
2024-09-18,221.6152
2024-09-17,221.7126
2024-09-16,222.2308
2024-09-13,222.853
2024-09-12,222.8901
2024-09-11,222.9028
2024-09-10,222.9283
2024-09-09,223.225
2024-09-06,223.4687
2024-09-05,223.7475
2024-09-04,223.8914
2024-09-03,224.2116
2024-08-30,224.3633
2024-08-29,223.8753
2024-08-28,223.2526
2024-08-27,222.9119
2024-08-26,222.3731
2024-08-23,221.8671
2024-08-22,221.3437
2024-08-21,221.0083
2024-08-20,220.4407
2024-08-19,219.8019
2024-08-16,219.161
2024-08-15,218.4358
2024-08-14,217.7743
2024-08-13,217.359
2024-08-12,216.9473
2024-08-09,216.886
2024-08-08,216.9801
2024-08-07,217.3922
2024-08-06,218.2147
2024-08-05,219.396
2024-08-02,220.4872
2024-08-01,220.5798
2024-07-31,220.8398
2024-07-30,220.7361
2024-07-29,220.9663
2024-07-26,221.2797
2024-07-25,221.6555
2024-07-24,222.1202
2024-07-23,222.5235
2024-07-22,222.2889
2024-07-19,222.1401
2024-07-18,221.9388
2024-07-17,221.7299
2024-07-16,221.005
2024-07-15,219.5791
2024-07-12,218.0474
2024-07-11,216.7602
2024-07-10,215.6498
2024-07-09,213.8537
2024-07-08,212.3207
2024-07-05,210.7167
2024-07-03,209.0995
2024-07-02,207.8157
2024-07-01,206.5314
2024-06-28,205.4819
2024-06-27,204.9665
2024-06-26,204.031
2024-06-25,203.0863
2024-06-24,202.4817
2024-06-21,201.9113
2024-06-20,201.3491
2024-06-18,200.4975
2024-06-17,199.0716
2024-06-14,197.2453
2024-06-13,195.6662
2024-06-12,193.737
2024-06-11,191.7277
2024-06-10,190.1293
2024-06-07,189.8379
2024-06-06,189.1193
2024-06-05,188.5785
2024-06-04,187.8347
2024-06-03,187.1723
2024-05-31,186.4739
2024-05-30,185.8892
2024-05-29,185.3438
2024-05-28,184.8461
2024-05-24,184.3276
2024-05-23,183.7556
2024-05-22,183.4493
2024-05-21,182.688
2024-05-20,181.6942
2024-05-17,180.7336
2024-05-16,179.7948
2024-05-15,178.7603
2024-05-14,177.6296
2024-05-13,176.6206
2024-05-10,175.6263
2024-05-09,174.867
2024-05-08,173.8944
2024-05-07,173.0116
2024-05-06,172.0715
2024-05-03,171.105
2024-05-02,169.8613
2024-05-01,169.5735
2024-04-30,169.647
2024-04-29,169.6202
2024-04-26,169.2576
2024-04-25,169.2979
2024-04-24,169.2804
2024-04-23,169.3525
2024-04-22,169.6548
2024-04-19,170.1001
2024-04-18,170.6806
2024-04-17,171.108
2024-04-16,171.4795
2024-04-15,171.7453
2024-04-12,171.6914
2024-04-11,171.2267
2024-04-10,170.8715
2024-04-09,171.2413
2024-04-08,171.4515
2024-04-05,171.812
2024-04-04,172.0917
2024-04-03,172.4807
2024-04-02,172.8235
2024-04-01,173.2874
2024-03-28,173.6753
2024-03-27,173.9516
2024-03-26,174.065
2024-03-25,174.5683
2024-03-22,175.0048
2024-03-21,175.3371
2024-03-20,175.8
2024-03-19,175.5451
2024-03-18,175.5353
2024-03-15,175.7723
2024-03-14,176.1498
2024-03-13,176.527
2024-03-12,177.1404
2024-03-11,177.5978
2024-03-08,178.1537
2024-03-07,178.9802
2024-03-06,180.0755
2024-03-05,181.2734
2024-03-04,182.4923
2024-03-01,183.3167
2024-02-29,183.7491
2024-02-28,184.1126
2024-02-27,184.444
2024-02-26,184.6832
2024-02-23,185.1019
2024-02-22,185.4219
2024-02-21,185.5814
2024-02-20,185.9728
2024-02-16,186.4853
2024-02-15,186.973
2024-02-14,187.3493
2024-02-13,187.7347
2024-02-12,188.0672
2024-02-09,188.2132
2024-02-08,188.1961
2024-02-07,188.2579
2024-02-06,188.212
2024-02-05,188.1727
2024-02-02,188.2991
2024-02-01,188.6308
2024-01-31,188.8915
2024-01-30,189.4376
2024-01-29,189.6595
2024-01-26,189.5177
2024-01-25,189.2887
2024-01-24,188.8521
2024-01-23,188.3349
2024-01-22,187.6919
2024-01-19,187.1165
2024-01-18,186.725
2024-01-17,186.5994
2024-01-16,187.0846
2024-01-12,187.5212
2024-01-11,187.7637
2024-01-10,188.0663
2024-01-09,188.3378
2024-01-08,188.748
2024-01-05,189.1573
2024-01-04,190.0691
2024-01-03,191.0002
2024-01-02,191.784
2023-12-29,192.5046
2023-12-28,192.5784
2023-12-27,192.5499
2023-12-26,192.5635
2023-12-22,192.5891
2023-12-21,192.5596
2023-12-20,192.4138
2023-12-19,192.2369
2023-12-18,191.8201
2023-12-15,191.4696
2023-12-14,190.906
2023-12-13,190.2264
2023-12-12,189.491
2023-12-11,189.0191
2023-12-08,188.6579
2023-12-07,187.9933
2023-12-06,187.4099
2023-12-05,186.9695
2023-12-04,186.3673
2023-12-01,186.1203
2023-11-30,185.6574
2023-11-29,185.281
2023-11-28,184.9259
2023-11-27,184.4253
2023-11-24,183.9361
2023-11-22,183.3764
2023-11-21,182.6174
2023-11-20,181.8486
2023-11-17,180.9141
2023-11-16,180.0657
2023-11-15,179.1259
2023-11-14,178.2655
2023-11-13,177.3743
2023-11-10,176.6661
2023-11-09,175.7155
2023-11-08,175.108
2023-11-07,174.3862
2023-11-06,173.7004
2023-11-03,173.2138
2023-11-02,172.9461
2023-11-01,172.5539
2023-10-31,172.4975
2023-10-30,172.7702
2023-10-27,173.122
2023-10-26,173.7275
2023-10-25,174.5361
2023-10-24,174.9889
2023-10-23,175.2443
2023-10-20,175.5726
2023-10-19,175.9481
2023-10-18,176.0928
2023-10-17,176.2131
2023-10-16,176.2087
2023-10-13,176.0395
2023-10-12,175.8389
2023-10-11,175.4224
2023-10-10,175.0573
2023-10-09,174.8014
2023-10-06,174.4558
2023-10-05,174.2309
2023-10-04,174.2526
2023-10-03,174.4074
2023-10-02,174.7105
2023-09-29,174.9041
2023-09-28,175.3841
2023-09-27,175.969
2023-09-26,176.6428
2023-09-25,177.2273
2023-09-22,177.4418
2023-09-21,177.814
2023-09-20,178.3154
2023-09-19,178.7063
2023-09-18,178.7633
2023-09-15,178.9416
2023-09-14,179.4486
2023-09-13,179.9325
2023-09-12,180.6276
2023-09-11,181.177
2023-09-08,181.4638
2023-09-07,181.9043
2023-09-06,182.4561
2023-09-05,182.5057
2023-09-01,181.8494
2023-08-31,181.1491
2023-08-30,180.5417
2023-08-29,179.8933
2023-08-28,179.5464
2023-08-25,179.5746
2023-08-24,179.7712
2023-08-23,180.2221
2023-08-22,180.224
2023-08-21,180.6335
2023-08-18,181.2317
2023-08-17,182.0342
2023-08-16,182.9726
2023-08-15,183.7405
2023-08-14,184.4972
2023-08-11,185.1229
2023-08-10,185.9895
2023-08-09,186.9535
2023-08-08,187.996
2023-08-07,188.9798
2023-08-04,190.1666
2023-08-03,191.1498
2023-08-02,191.2765
2023-08-01,191.269
2023-07-31,190.9443
2023-07-28,190.497
2023-07-27,190.0676
2023-07-26,189.8659
2023-07-25,189.5091
2023-07-24,189.2068
2023-07-21,188.9636
2023-07-20,188.7796
2023-07-19,188.4518
2023-07-18,187.8834
2023-07-17,187.3984
2023-07-14,186.8352
2023-07-13,186.5579
2023-07-12,186.267
2023-07-11,186.0261
2023-07-10,185.9366
2023-07-07,185.7822
2023-07-06,185.3951
2023-07-05,184.8491
2023-07-03,184.2957
2023-06-30,183.5659
2023-06-29,182.6014
2023-06-28,181.9935
2023-06-27,181.3571
2023-06-26,180.7782
2023-06-23,180.4302
2023-06-22,179.898
2023-06-21,179.2764
2023-06-20,178.9073
2023-06-16,178.3895
2023-06-15,177.8267
2023-06-14,177.0906
2023-06-13,176.4924
2023-06-12,175.8982
2023-06-09,175.1913
2023-06-08,174.706
2023-06-07,174.2103
2023-06-06,173.9501
2023-06-05,173.5171
2023-06-02,172.9999
2023-06-01,172.2849
2023-05-31,171.5846
2023-05-30,171.1077
2023-05-26,170.5753
2023-05-25,170.1824
2023-05-24,170.0034
2023-05-23,169.9258
2023-05-22,169.8693
2023-05-19,169.5308
2023-05-18,169.0562
2023-05-17,168.5432
2023-05-16,168.223
2023-05-15,167.934
2023-05-12,167.6145
2023-05-11,167.2091
2023-05-10,166.6628
2023-05-09,166.0795
2023-05-08,165.6211
2023-05-05,164.9338
2023-05-04,164.1669
2023-05-03,164.1317
2023-05-02,163.9196
2023-05-01,163.5712
2023-04-28,163.0765
2023-04-27,162.5203
2023-04-26,162.0383
2023-04-25,161.9911
2023-04-24,161.9379
2023-04-21,161.7163
2023-04-20,161.5036
2023-04-19,161.0983
2023-04-18,160.5481
2023-04-17,160.061
2023-04-14,159.6522
2023-04-13,159.2024
2023-04-12,158.6688
2023-04-11,158.6492
2023-04-10,158.5545
2023-04-06,158.3213
2023-04-05,157.7889
2023-04-04,157.2944
2023-04-03,156.5526
2023-03-31,155.6763
2023-03-30,154.8404
2023-03-29,154.1818
2023-03-28,153.6199
2023-03-27,153.3248
2023-03-24,152.9328
2023-03-23,152.2938
2023-03-22,151.7254
2023-03-21,151.212
2023-03-20,150.4932
2023-03-17,149.895
2023-03-16,149.4846
2023-03-15,148.9421
2023-03-14,148.6413
2023-03-13,148.3506
2023-03-10,148.2507
2023-03-09,148.3461
2023-03-08,148.2332
2023-03-07,147.8702
2023-03-06,147.6018
2023-03-03,147.0721
2023-03-02,146.7791
2023-03-01,146.9901
2023-02-28,147.2859
2023-02-27,147.3936
2023-02-24,147.4593
2023-02-23,147.6583
2023-02-22,147.5973
2023-02-21,147.581
2023-02-17,147.608
2023-02-16,147.2126
2023-02-15,146.6546
2023-02-14,145.8686
2023-02-13,145.2223
2023-02-10,144.4401
2023-02-09,143.8721
2023-02-08,143.283
2023-02-07,142.5224
2023-02-06,141.397
2023-02-03,140.4576
2023-02-02,139.1305
2023-02-01,138.0475
2023-01-31,137.4125
2023-01-30,136.8297
2023-01-27,136.32
2023-01-26,135.451
2023-01-25,134.6961
2023-01-24,134.0807
2023-01-23,133.3306
2023-01-20,132.6497
2023-01-19,132.235
2023-01-18,132.0478
2023-01-17,131.8471
2023-01-13,131.5491
2023-01-12,131.3429
2023-01-11,131.2557
2023-01-10,131.151
2023-01-09,131.3232
2023-01-06,131.5739
2023-01-05,131.9063
2023-01-04,132.7534
2023-01-03,133.5499
2022-12-30,134.5648
2022-12-29,135.1797
2022-12-28,135.8927
2022-12-27,137.0531
2022-12-23,137.9195
2022-12-22,138.6862
2022-12-21,139.4951
2022-12-20,140.0533
2022-12-19,140.9988
2022-12-16,142.0365
2022-12-15,142.9602
2022-12-14,143.7737
2022-12-13,143.973
2022-12-12,143.9577
2022-12-09,144.0429
2022-12-08,144.3801
2022-12-07,144.7016
2022-12-06,145.2354
2022-12-05,145.6199
2022-12-02,145.6569
2022-12-01,145.5748
2022-11-30,145.4319
2022-11-29,145.3031
2022-11-28,145.8762
2022-11-25,146.1915
2022-11-23,146.1343
2022-11-22,145.7625
2022-11-21,145.4443
2022-11-18,145.3189
2022-11-17,144.8383
2022-11-16,144.3665
2022-11-15,144.0463
2022-11-14,143.5621
2022-11-11,143.2105
2022-11-10,142.6737
2022-11-09,142.3756
2022-11-08,143.2975
2022-11-07,143.8336
2022-11-04,144.4866
2022-11-03,145.2647
2022-11-02,146.0966
2022-11-01,146.3757
2022-10-31,146.0992
2022-10-28,145.5134
2022-10-27,144.6161
2022-10-26,144.7634
2022-10-25,144.4525
2022-10-24,143.7975
2022-10-21,143.3744
2022-10-20,143.1338
2022-10-19,143.2719
2022-10-18,143.3755
2022-10-17,143.5015
2022-10-14,143.7803
2022-10-13,144.5079
2022-10-12,144.8322
2022-10-11,145.6748
2022-10-10,146.5395
2022-10-07,147.3452
2022-10-06,148.2701
2022-10-05,148.7364
2022-10-04,149.1508
2022-10-03,149.64
2022-09-30,150.5608
2022-09-29,152.021
2022-09-28,153.1892
2022-09-27,153.7142
2022-09-26,154.0945
2022-09-23,154.618
2022-09-22,155.2319
2022-09-21,155.67
2022-09-20,156.0521
2022-09-19,156.1434
2022-09-16,156.4962
2022-09-15,157.2798
2022-09-14,157.9719
2022-09-13,158.4308
2022-09-12,159.0911
2022-09-09,158.8224
2022-09-08,159.1564
2022-09-07,159.8285
2022-09-06,160.4152
2022-09-02,161.2125
2022-09-01,161.9604
2022-08-31,162.5633
2022-08-30,163.3066
2022-08-29,163.9523
2022-08-26,164.4088
2022-08-25,164.6801
2022-08-24,164.3126
2022-08-23,164.1667
2022-08-22,164.0366
2022-08-19,163.8575
2022-08-18,163.2483
2022-08-17,162.3011
2022-08-16,161.2126
2022-08-15,160.1678
2022-08-12,158.9963
2022-08-11,157.815
2022-08-10,156.8852
2022-08-09,155.7795
2022-08-08,155.0071
2022-08-05,154.1586
2022-08-04,153.1708
2022-08-03,152.0551
2022-08-02,150.7887
2022-08-01,150.0253
2022-07-29,149.0256
2022-07-28,147.8167
2022-07-27,147.017
2022-07-26,146.1914
2022-07-25,145.8184
2022-07-22,145.2659
2022-07-21,144.5366
2022-07-20,143.5996
2022-07-19,142.8041
2022-07-18,142.1369
2022-07-15,141.8082
2022-07-14,141.1225
2022-07-13,140.5414
2022-07-12,140.2089
2022-07-11,139.803
2022-07-08,139.4573
2022-07-07,138.8495
2022-07-06,138.2496
2022-07-05,137.9431
2022-07-01,137.7457
2022-06-30,137.801
2022-06-29,138.0919
2022-06-28,138.1525
2022-06-27,138.4055
2022-06-24,138.2464
2022-06-23,138.0705
2022-06-22,138.2286
2022-06-21,138.707
2022-06-17,139.1816
2022-06-16,140.1543
2022-06-15,141.3853
2022-06-14,142.1876
2022-06-13,143.3519
2022-06-10,144.7303
2022-06-09,145.708
2022-06-08,146.2157
2022-06-07,146.2238
2022-06-06,146.1547
2022-06-03,146.3455
2022-06-02,146.6354
2022-06-01,146.3498
2022-05-31,146.294
2022-05-27,146.2187
2022-05-26,146.0524
2022-05-25,146.4779
2022-05-24,147.287
2022-05-23,148.198
2022-05-20,148.9189
2022-05-19,150.2897
2022-05-18,151.8297
2022-05-17,153.171
2022-05-16,153.7781
2022-05-13,154.8338
2022-05-12,155.8373
2022-05-11,157.4196
2022-05-10,158.7588
2022-05-09,159.4062
2022-05-06,160.3764
2022-05-05,160.9061
2022-05-04,161.5683
2022-05-03,161.34
2022-05-02,161.7666
2022-04-29,162.3958
2022-04-28,163.1235
2022-04-27,163.306
2022-04-26,164.2416
2022-04-25,165.2518
2022-04-22,165.7372
2022-04-21,166.3868
2022-04-20,166.6242
2022-04-19,166.8024
2022-04-18,166.9817
2022-04-14,167.4218
2022-04-13,167.8854
2022-04-12,167.8673
2022-04-11,168.1318
2022-04-08,168.6223
2022-04-07,168.714
2022-04-06,168.6025
2022-04-05,168.5114
2022-04-04,168.0754
2022-04-01,167.2426
2022-03-31,166.7509
2022-03-30,166.1763
2022-03-29,165.2132
2022-03-28,164.0251
2022-03-25,163.0608
2022-03-24,162.0864
2022-03-23,161.0768
2022-03-22,160.3618
2022-03-21,159.7157
2022-03-18,159.3588
2022-03-17,159.1097
2022-03-16,159.1831
2022-03-15,159.3712
2022-03-14,160.0463
2022-03-11,161.2565
2022-03-10,162.1675
2022-03-09,162.7808
2022-03-08,162.9988
2022-03-07,163.8118
2022-03-04,164.5172
2022-03-03,164.8951
2022-03-02,164.9952
2022-03-01,165.0715
2022-02-28,165.5047
2022-02-25,165.7841
2022-02-24,166.121
2022-02-23,166.7124
2022-02-22,167.6432
2022-02-18,168.2308
2022-02-17,168.5709
2022-02-16,168.7828
2022-02-15,168.6359
2022-02-14,168.4487
