date,RSI
2024-10-04,53.5429
2024-10-03,52.3212
2024-10-02,53.6375
2024-10-01,53.0614
2024-09-30,61.7435
2024-09-27,56.5627
2024-09-26,56.2711
2024-09-25,55.0503
2024-09-24,56.3499
2024-09-23,55.4507
2024-09-20,57.6181
2024-09-19,58.4587
2024-09-18,49.9969
2024-09-17,44.9146
2024-09-16,44.2661
2024-09-13,51.8987
2024-09-12,52.2727
2024-09-11,52.1392
2024-09-10,48.9969
2024-09-09,49.9748
2024-09-06,49.8679
2024-09-05,51.6872
2024-09-04,49.9871
2024-09-03,52.176
2024-08-30,60.3175
2024-08-29,61.4731
2024-08-28,58.3031
2024-08-27,60.5103
2024-08-26,59.7105
2024-08-23,59.3981
2024-08-22,57.2585
2024-08-21,59.677
2024-08-20,59.8182
2024-08-19,59.3026
2024-08-16,59.4897
2024-08-15,58.4544
2024-08-14,56.0474
2024-08-13,55.6815
2024-08-12,52.5636
2024-08-09,51.2227
2024-08-08,48.5966
2024-08-07,45.2617
2024-08-06,42.638
2024-08-05,44.2241
2024-08-02,54.1599
2024-08-01,52.7309
2024-07-31,56.9107
2024-07-30,53.8462
2024-07-29,53.3076
2024-07-26,53.0473
2024-07-25,52.6263
2024-07-24,53.6474
2024-07-23,60.5216
2024-07-22,59.726
2024-07-19,60.1096
2024-07-18,60.019
2024-07-17,65.0978
2024-07-16,72.4595
2024-07-15,72.2487
2024-07-12,70.2613
2024-07-11,68.6185
2024-07-10,75.8712
2024-07-09,73.7784
2024-07-08,73.3391
2024-07-05,72.5882
2024-07-03,69.9895
2024-07-02,69.2494
2024-07-01,67.1318
2024-06-28,62.9058
2024-06-27,67.5928
2024-06-26,67.0227
2024-06-25,64.0695
2024-06-24,63.3763
2024-06-21,62.9011
2024-06-20,65.6269
2024-06-18,71.8536
2024-06-17,75.3606
2024-06-14,73.1762
2024-06-13,75.8507
2024-06-12,75.2768
2024-06-11,72.0883
2024-06-10,60.6679
2024-06-07,67.7436
2024-06-06,65.2847
2024-06-05,68.1304
2024-06-04,66.6188
2024-06-03,66.2992
2024-05-31,64.5028
2024-05-30,63.5061
2024-05-29,62.4631
2024-05-28,62.1548
2024-05-24,62.145
2024-05-23,59.0046
2024-05-22,65.7213
2024-05-21,68.3889
2024-05-20,67.2479
2024-05-17,66.2132
2024-05-16,66.1872
2024-05-15,66.0879
2024-05-14,64.1819
2024-05-13,63.1951
2024-05-10,60.2746
2024-05-09,62.1131
2024-05-08,60.4623
2024-05-07,60.1558
2024-05-06,59.5514
2024-05-03,61.7035
2024-05-02,51.3529
2024-05-01,46.3923
2024-04-30,47.6674
2024-04-29,51.8327
2024-04-26,45.8803
2024-04-25,46.6496
2024-04-24,45.3663
2024-04-23,42.1446
2024-04-22,40.4773
2024-04-19,39.1573
2024-04-18,41.2688
2024-04-17,42.2882
2024-04-16,43.7645
2024-04-15,47.5468
2024-04-12,52.5812
2024-04-11,50.6389
2024-04-10,39.2782
2024-04-09,41.6489
2024-04-08,39.4062
2024-04-05,40.7855
2024-04-04,39.4309
2024-04-03,40.3895
2024-04-02,39.015
2024-04-01,40.3124
2024-03-28,41.9262
2024-03-27,44.04
2024-03-26,38.2187
2024-03-25,39.4534
2024-03-22,41.0331
2024-03-21,39.5704
2024-03-20,48.7946
2024-03-19,44.4283
2024-03-18,39.9994
2024-03-15,37.8046
2024-03-14,38.264
2024-03-13,34.5459
2024-03-12,36.9179
2024-03-11,35.9631
2024-03-08,31.8387
2024-03-07,28.0693
2024-03-06,28.172
2024-03-05,29.012
2024-03-04,33.7769
2024-03-01,39.4068
2024-02-29,40.957
2024-02-28,41.92
2024-02-27,43.6821
2024-02-26,40.8106
2024-02-23,42.7253
2024-02-22,45.4828
2024-02-21,41.5088
2024-02-20,39.9675
2024-02-16,40.9799
2024-02-15,43.1244
2024-02-14,43.5293
2024-02-13,44.7543
2024-02-12,47.7831
2024-02-09,50.3934
2024-02-08,49.2008
2024-02-07,50.8447
2024-02-06,50.6867
2024-02-05,48.3653
2024-02-02,45.618
2024-02-01,46.9271
2024-01-31,43.1523
2024-01-30,47.9459
2024-01-29,53.6898
2024-01-26,54.8572
2024-01-25,57.8901
2024-01-24,58.4692
2024-01-23,59.637
2024-01-22,58.1298
2024-01-19,55.2635
2024-01-18,51.2789
2024-01-17,41.1705
2024-01-16,42.5083
2024-01-12,45.9255
2024-01-11,45.3237
2024-01-10,46.212
2024-01-09,44.4005
2024-01-08,44.9761
2024-01-05,36.868
2024-01-04,37.7487
2024-01-03,40.7102
2024-01-02,42.5961
2023-12-29,54.4802
2023-12-28,56.7733
2023-12-27,56.0537
2023-12-26,55.8914
2023-12-22,56.9907
2023-12-21,59.1614
2023-12-20,59.4602
2023-12-19,63.7641
2023-12-18,62.4802
2023-12-15,66.0366
2023-12-14,67.2047
2023-12-13,67.0509
2023-12-12,63.5305
2023-12-11,61.7004
2023-12-08,66.9806
2023-12-07,65.3786
2023-12-06,63.0738
2023-12-05,65.4072
2023-12-04,60.3529
2023-12-01,64.4084
2023-11-30,62.7119
2023-11-29,61.937
2023-11-28,64.1875
2023-11-27,63.4401
2023-11-24,63.8134
2023-11-22,66.5846
2023-11-21,65.8808
2023-11-20,67.514
2023-11-17,65.762
2023-11-16,65.8003
2023-11-15,64.1122
2023-11-14,63.5389
2023-11-13,60.7824
2023-11-10,63.5485
2023-11-09,58.8514
2023-11-08,59.6804
2023-11-07,58.4406
2023-11-06,55.2784
2023-11-03,51.8083
2023-11-02,53.2068
2023-11-01,47.9873
2023-10-31,42.5786
2023-10-30,41.7149
2023-10-27,37.8874
2023-10-26,35.2937
2023-10-25,40.362
2023-10-24,43.6735
2023-10-23,42.8357
2023-10-20,42.6146
2023-10-19,46.2708
2023-10-18,46.833
2023-10-17,48.7739
2023-10-16,51.1893
2023-10-13,51.3895
2023-10-12,54.2745
2023-10-11,53.0495
2023-10-10,51.1218
2023-10-09,51.9846
2023-10-06,49.9796
2023-10-05,46.3166
2023-10-04,44.4441
2023-10-03,42.5243
2023-10-02,44.0746
2023-09-29,40.1764
2023-09-28,39.3542
2023-09-27,38.9557
2023-09-26,40.4413
2023-09-25,44.8128
2023-09-22,42.9794
2023-09-21,41.7539
2023-09-20,43.3598
2023-09-19,47.3284
2023-09-18,45.8826
2023-09-15,41.7985
2023-09-14,42.5508
2023-09-13,40.4154
2023-09-12,42.4637
2023-09-11,45.6842
2023-09-08,44.132
2023-09-07,43.3235
2023-09-06,49.1545
2023-09-05,58.6765
2023-09-01,58.4059
2023-08-31,56.6183
2023-08-30,56.3718
2023-08-29,52.2353
2023-08-28,46.9116
2023-08-25,44.5512
2023-08-24,41.0361
2023-08-23,47.0603
2023-08-22,40.218
2023-08-21,37.4747
2023-08-18,34.7105
2023-08-17,33.6998
2023-08-16,36.5164
2023-08-15,37.537
2023-08-14,39.9603
2023-08-11,36.7366
2023-08-10,36.6206
2023-08-09,36.856
2023-08-08,38.5801
2023-08-07,36.9262
2023-08-04,40.3368
2023-08-03,54.2547
2023-08-02,57.131
2023-08-01,64.0521
2023-07-31,66.1796
2023-07-28,65.378
2023-07-27,61.7527
2023-07-26,64.9198
2023-07-25,63.704
2023-07-24,62.4828
2023-07-21,61.332
2023-07-20,64.075
2023-07-19,68.9228
2023-07-18,67.2877
2023-07-17,67.9321
2023-07-14,63.7457
2023-07-13,63.5402
2023-07-12,62.5035
2023-07-11,60.1404
2023-07-10,61.2912
2023-07-07,65.9753
2023-07-06,68.6981
2023-07-05,68.1679
2023-07-03,70.8515
2023-06-30,74.5786
2023-06-29,70.2689
2023-06-28,69.8924
2023-06-27,68.5694
2023-06-26,65.1591
2023-06-23,68.7399
2023-06-22,69.5641
2023-06-21,65.8709
2023-06-20,68.6024
2023-06-16,68.496
2023-06-15,71.2744
2023-06-14,69.0181
2023-06-13,68.2828
2023-06-12,69.4573
2023-06-09,66.201
2023-06-08,65.7226
2023-06-07,62.1318
2023-06-06,65.4227
2023-06-05,66.3109
2023-06-02,69.6363
2023-06-01,68.7002
2023-05-31,65.349
2023-05-30,65.4662
2023-05-26,63.1152
2023-05-25,59.7156
2023-05-24,57.9816
2023-05-23,57.5591
2023-05-22,63.257
2023-05-19,65.4968
2023-05-18,65.3633
2023-05-17,62.3979
2023-05-16,61.5769
2023-05-15,61.5769
2023-05-12,62.5713
2023-05-11,64.4267
2023-05-10,64.2176
2023-05-09,62.2899
2023-05-08,65.5409
2023-05-05,65.6727
2023-05-04,56.4235
2023-05-03,59.6831
2023-05-02,61.9143
2023-05-01,64.1075
2023-04-28,64.293
2023-04-27,62.8524
2023-04-26,56.7884
2023-04-25,56.8073
2023-04-24,59.7621
2023-04-21,59.363
2023-04-20,62.4568
2023-04-19,64.373
2023-04-18,63.1
2023-04-17,61.7106
2023-04-14,61.6885
2023-04-13,62.2863
2023-04-12,55.9619
2023-04-11,57.1287
2023-04-10,59.1888
2023-04-06,63.8669
2023-04-05,62.914
2023-04-04,66.3689
2023-04-03,67.384
2023-03-31,66.23
2023-03-30,63.7961
2023-03-29,62.1749
2023-03-28,58.7298
2023-03-27,59.7742
2023-03-24,63.1078
2023-03-23,61.7499
2023-03-22,60.6019
2023-03-21,62.9685
2023-03-20,61.0972
2023-03-17,58.5574
2023-03-16,59.8726
2023-03-15,56.769
2023-03-14,56.3202
2023-03-13,53.9107
2023-03-10,51.5514
2023-03-09,54.3557
2023-03-08,57.6032
2023-03-07,56.2191
2023-03-06,59.457
2023-03-03,56.4662
2023-03-02,50.0675
2023-03-01,49.2368
2023-02-28,52.1197
2023-02-27,52.8334
2023-02-24,51.3313
2023-02-23,55.0329
2023-02-22,54.4647
2023-02-21,53.9799
2023-02-17,59.6947
2023-02-16,61.4564
2023-02-15,63.9607
2023-02-14,62.028
2023-02-13,63.0076
2023-02-10,60.4125
2023-02-09,60.0663
2023-02-08,61.5167
2023-02-07,65.4181
2023-02-06,63.036
2023-02-03,67.2081
2023-02-02,64.2192
2023-02-01,59.0223
2023-01-31,57.7905
2023-01-30,56.3809
2023-01-27,60.759
2023-01-26,58.7111
2023-01-25,56.4073
2023-01-24,57.3777
2023-01-23,55.8483
2023-01-20,52.1248
