date,SMA
2024-10-04,224.69
2024-10-03,224.391
2024-10-02,224.2265
2024-10-01,223.93
2024-09-30,223.758
2024-09-27,223.558
2024-09-26,223.658
2024-09-25,223.6065
2024-09-24,223.6895
2024-09-23,223.68
2024-09-20,223.6985
2024-09-19,223.515
2024-09-18,223.3915
2024-09-17,223.6825
2024-09-16,224.1375
2024-09-13,224.624
2024-09-12,224.735
2024-09-11,224.6825
2024-09-10,224.613
2024-09-09,224.484
2024-09-06,224.2381
2024-09-05,223.8503
2024-09-04,223.2103
2024-09-03,222.5174
2024-08-30,221.8304
2024-08-29,221.3608
2024-08-28,220.7767
2024-08-27,220.5435
2024-08-26,220.0694
2024-08-23,219.6099
2024-08-22,219.1534
2024-08-21,218.7889
2024-08-20,218.3834
2024-08-19,218.2955
2024-08-16,218.1861
2024-08-15,218.0862
2024-08-14,218.0464
2024-08-13,218.3912
2024-08-12,219.0552
2024-08-09,219.8853
2024-08-08,220.5995
2024-08-07,221.3117
2024-08-06,222.4683
2024-08-05,223.5396
2024-08-02,224.466
2024-08-01,224.7897
2024-07-31,224.949
2024-07-30,224.8586
2024-07-29,224.7562
2024-07-26,224.3756
2024-07-25,224.1829
2024-07-24,223.9711
2024-07-23,223.4981
2024-07-22,222.6556
2024-07-19,221.8331
2024-07-18,221.1024
2024-07-17,220.6085
2024-07-16,219.9987
2024-07-15,218.8834
2024-07-12,217.8766
2024-07-11,217.0041
2024-07-10,215.9843
2024-07-09,213.9936
2024-07-08,212.4059
2024-07-05,210.7408
2024-07-03,209.2191
2024-07-02,207.8606
2024-07-01,206.5501
2024-06-28,205.3265
2024-06-27,204.3611
2024-06-26,203.172
2024-06-25,202.0103
2024-06-24,201.0569
2024-06-21,199.9952
2024-06-20,199.1666
2024-06-18,198.3011
2024-06-17,197.1399
2024-06-14,195.8015
2024-06-13,194.6703
2024-06-12,193.4457
2024-06-11,192.1652
2024-06-10,191.1228
2024-06-07,190.6199
2024-06-06,189.9921
2024-06-05,189.3933
2024-06-04,188.7081
2024-06-03,188.0645
2024-05-31,187.5201
2024-05-30,186.5484
2024-05-29,185.4387
2024-05-28,184.4302
2024-05-24,183.5948
2024-05-23,182.5505
2024-05-22,181.6904
2024-05-21,180.5861
2024-05-20,179.3037
2024-05-17,178.0339
2024-05-16,176.7806
2024-05-15,175.6305
2024-05-14,174.5343
2024-05-13,173.6213
2024-05-10,172.9308
2024-05-09,172.5942
2024-05-08,172.1188
2024-05-07,171.3727
2024-05-06,170.7378
2024-05-03,170.0765
2024-05-02,169.3882
2024-05-01,169.1782
2024-04-30,169.1957
2024-04-29,169.1214
2024-04-26,168.9483
2024-04-25,169.0571
2024-04-24,169.2276
2024-04-23,169.262
2024-04-22,169.459
2024-04-19,169.7802
2024-04-18,170.0979
2024-04-17,170.678
2024-04-16,171.081
2024-04-15,171.2974
2024-04-12,171.2939
2024-04-11,171.1169
2024-04-10,170.9219
2024-04-09,171.1937
2024-04-08,171.3473
2024-04-05,171.461
2024-04-04,171.4321
2024-04-03,171.447
2024-04-02,171.4705
2024-04-01,171.7827
2024-03-28,172.263
2024-03-27,172.7253
2024-03-26,173.1298
2024-03-25,173.7742
2024-03-22,174.2884
2024-03-21,174.7991
2024-03-20,175.4475
2024-03-19,175.6295
2024-03-18,175.9028
2024-03-15,176.3312
2024-03-14,176.8918
2024-03-13,177.4479
2024-03-12,178.1417
2024-03-11,178.8359
2024-03-08,179.6389
2024-03-07,180.5043
2024-03-06,181.5102
2024-03-05,182.5047
2024-03-04,183.3686
2024-03-01,183.893
2024-02-29,184.2403
2024-02-28,184.4107
2024-02-27,184.7289
2024-02-26,185.1707
2024-02-23,185.7201
2024-02-22,186.2888
2024-02-21,186.7817
