date,ADX
2024-10-04,12.3625
2024-10-03,12.9446
2024-10-02,13.173
2024-10-01,13.7897
2024-09-30,14.387
2024-09-27,15.1303
2024-09-26,15.5809
2024-09-25,15.7671
2024-09-24,15.5994
2024-09-23,15.4228
2024-09-20,15.3219
2024-09-19,15.4629
2024-09-18,15.4784
2024-09-17,15.7002
2024-09-16,15.8046
2024-09-13,16.2591
2024-09-12,16.4375
2024-09-11,16.7265
2024-09-10,17.2596
2024-09-09,18.0524
2024-09-06,18.3378
2024-09-05,18.6381
2024-09-04,19.3325
2024-09-03,19.585
2024-08-30,20.1237
2024-08-29,20.6907
2024-08-28,20.6991
2024-08-27,20.6266
2024-08-26,20.8473
2024-08-23,21.2741
2024-08-22,21.8136
2024-08-21,22.4227
2024-08-20,23.3714
2024-08-19,23.9884
2024-08-16,24.5551
2024-08-15,25.1602
2024-08-14,25.751
2024-08-13,25.7313
2024-08-12,25.5585
2024-08-09,25.0665
2024-08-08,24.5485
2024-08-07,23.7777
2024-08-06,22.9664
2024-08-05,21.8186
2024-08-02,20.3562
2024-08-01,19.2261
2024-07-31,19.6825
2024-07-30,19.7668
2024-07-29,19.5248
2024-07-26,19.5832
2024-07-25,19.3926
2024-07-24,19.192
2024-07-23,19.3538
2024-07-22,19.8898
2024-07-19,19.7571
2024-07-18,19.5952
2024-07-17,19.5673
2024-07-16,20.0752
2024-07-15,20.7031
2024-07-12,21.4282
2024-07-11,21.6484
2024-07-10,21.8802
2024-07-09,21.1176
2024-07-08,19.9888
2024-07-05,18.8005
2024-07-03,17.6103
2024-07-02,16.4054
2024-07-01,15.137
2024-06-28,13.9925
2024-06-27,12.7877
2024-06-26,11.1899
2024-06-25,9.9507
2024-06-24,9.331
2024-06-21,8.6787
2024-06-20,8.2184
2024-06-18,8.1305
2024-06-17,8.3929
2024-06-14,8.6692
2024-06-13,9.0844
2024-06-12,9.5342
2024-06-11,9.5475
2024-06-10,9.6457
2024-06-07,9.8261
2024-06-06,10.1491
2024-06-05,10.6733
2024-06-04,10.7015
2024-06-03,10.4442
2024-05-31,9.9765
2024-05-30,9.4841
2024-05-29,9.5283
2024-05-28,10.0111
2024-05-24,10.258
2024-05-23,10.6395
2024-05-22,11.0411
2024-05-21,11.5038
2024-05-20,11.9376
2024-05-17,12.3594
2024-05-16,13.0036
2024-05-15,13.6656
2024-05-14,14.3247
2024-05-13,15.0421
2024-05-10,15.5371
2024-05-09,15.8364
2024-05-08,16.0795
2024-05-07,16.7191
2024-05-06,17.2695
2024-05-03,17.9895
2024-05-02,18.8499
2024-05-01,19.5934
2024-04-30,20.3759
2024-04-29,20.9367
2024-04-26,22.0335
2024-04-25,22.8529
2024-04-24,22.6968
2024-04-23,23.8118
2024-04-22,24.9183
2024-04-19,25.9031
2024-04-18,26.9398
2024-04-17,27.8299
2024-04-16,28.5448
2024-04-15,28.803
2024-04-12,28.9169
2024-04-11,28.5752
2024-04-10,28.1171
2024-04-09,28.029
2024-04-08,27.58
2024-04-05,26.9625
2024-04-04,26.4182
2024-04-03,25.9686
2024-04-02,25.7438
2024-04-01,25.7598
2024-03-28,25.4332
2024-03-27,25.2418
2024-03-26,25.2487
2024-03-25,25.1218
2024-03-22,24.9882
2024-03-21,25.0473
2024-03-20,24.8364
2024-03-19,24.9479
2024-03-18,25.3797
2024-03-15,25.6904
2024-03-14,26.0174
2024-03-13,25.8789
2024-03-12,25.9487
2024-03-11,26.1223
2024-03-08,26.5819
2024-03-07,26.5232
2024-03-06,26.5517
2024-03-05,26.7585
2024-03-04,26.9683
2024-03-01,26.3725
2024-02-29,25.8827
2024-02-28,25.5183
2024-02-27,25.4815
2024-02-26,25.3256
2024-02-23,24.8814
2024-02-22,24.4757
2024-02-21,24.1426
2024-02-20,24.2941
2024-02-16,24.6423
2024-02-15,24.746
2024-02-14,24.7778
2024-02-13,24.6868
2024-02-12,24.6176
2024-02-09,23.4173
2024-02-08,22.1842
2024-02-07,21.1821
2024-02-06,20.1759
2024-02-05,19.1314
2024-02-02,18.045
2024-02-01,16.9014
2024-01-31,17.0512
2024-01-30,17.3196
2024-01-29,16.8436
2024-01-26,16.4001
2024-01-25,16.0064
2024-01-24,15.8874
2024-01-23,15.3576
2024-01-22,15.1094
2024-01-19,14.8482
2024-01-18,14.7494
2024-01-17,14.9314
2024-01-16,15.3724
2024-01-12,15.4147
2024-01-11,15.0786
2024-01-10,14.7248
2024-01-09,14.7309
2024-01-08,15.1606
2024-01-05,15.898
