date,EMA
2024-10-04,185.5128
2024-10-03,185.4078
2024-10-02,185.7708
2024-10-01,185.8772
2024-09-30,185.9558
2024-09-27,185.9164
2024-09-26,185.7003
2024-09-25,185.1256
2024-09-24,184.3461
2024-09-23,183.3342
2024-09-20,182.2241
2024-09-19,181.2371
2024-09-18,180.3284
2024-09-17,179.6861
2024-09-16,178.9289
2024-09-13,178.3014
2024-09-12,177.4394
2024-09-11,176.433
2024-09-10,175.5818
2024-09-09,175.1641
2024-09-06,175.1393
2024-09-05,175.5339
2024-09-04,175.2859
2024-09-03,175.4918
2024-08-30,175.412
2024-08-29,175.0869
2024-08-28,175.3992
2024-08-27,175.8834
2024-08-26,176.1742
2024-08-23,176.2452
2024-08-22,176.1615
2024-08-21,176.1649
2024-08-20,175.7496
2024-08-19,175.4201
2024-08-16,175.1253
2024-08-15,174.9217
2024-08-14,174.6408
2024-08-13,175.1188
2024-08-12,175.6334
2024-08-09,176.5632
2024-08-08,177.5762
2024-08-07,178.8158
2024-08-06,180.5048
2024-08-05,182.4601
2024-08-02,184.7169
2024-08-01,186.4871
2024-07-31,186.7416
2024-07-30,186.7165
2024-07-29,187.2435
2024-07-26,187.6691
2024-07-25,188.2132
2024-07-24,189.0936
2024-07-23,189.9634
2024-07-22,190.3374
2024-07-19,191.1572
2024-07-18,192.0021
2024-07-17,192.8708
2024-07-16,193.3909
2024-07-15,193.4299
2024-07-12,193.5046
2024-07-11,193.4009
2024-07-10,193.2273
2024-07-09,192.5365
2024-07-08,191.8204
2024-07-05,191.0341
2024-07-03,190.0903
2024-07-02,189.3009
2024-07-01,188.1746
2024-06-28,187.2246
2024-06-27,186.5903
2024-06-26,185.4051
2024-06-25,184.5415
2024-06-24,184.3521
2024-06-21,184.2239
2024-06-20,183.7128
2024-06-18,183.4615
2024-06-17,183.5301
2024-06-14,183.4743
2024-06-13,183.4547
2024-06-12,183.4152
2024-06-11,183.0495
2024-06-10,182.6094
2024-06-07,182.1409
2024-06-06,181.9136
2024-06-05,181.5888
2024-06-04,181.6213
2024-06-03,181.8614
2024-05-31,182.2321
2024-05-30,182.8418
2024-05-29,183.2125
2024-05-28,183.338
2024-05-24,183.4631
2024-05-23,183.7486
2024-05-22,184.0327
2024-05-21,184.1277
2024-05-20,184.2306
2024-05-17,184.3033
2024-05-16,184.2616
2024-05-15,184.3281
2024-05-14,184.1531
2024-05-13,183.8461
2024-05-10,183.5594
2024-05-09,183.1467
2024-05-08,182.4779
2024-05-07,181.8966
2024-05-06,181.1742
2024-05-03,180.382
2024-05-02,179.7685
2024-05-01,179.2473
2024-04-30,179.2733
2024-04-29,179.7231
2024-04-26,179.5929
2024-04-25,179.5901
2024-04-24,180.2133
2024-04-23,180.5947
2024-04-22,180.7057
2024-04-19,181.0715
2024-04-18,181.7496
2024-04-17,182.0159
2024-04-16,182.0933
2024-04-15,181.9642
2024-04-12,181.7899
2024-04-11,181.3331
2024-04-10,180.5208
2024-04-09,179.9493
2024-04-08,179.3471
2024-04-05,178.732
2024-04-04,178.0649
2024-04-03,177.8612
2024-04-02,177.3824
2024-04-01,177.0342
2024-03-28,176.6199
2024-03-27,176.2241
2024-03-26,175.8445
2024-03-25,175.586
2024-03-22,175.1519
2024-03-21,174.7606
2024-03-20,174.4038
2024-03-19,174.0094
2024-03-18,173.8104
2024-03-15,173.74
2024-03-14,173.6684
2024-03-13,173.1335
2024-03-12,172.7733
2024-03-11,172.4979
2024-03-08,172.5545
2024-03-07,172.2602
2024-03-06,171.7802
2024-03-05,171.5982
2024-03-04,171.3327
2024-03-01,170.6751
2024-02-29,169.8809
2024-02-28,169.1568
2024-02-27,168.7354
2024-02-26,168.2296
2024-02-23,167.5454
2024-02-22,166.7617
2024-02-21,165.9388
2024-02-20,165.6597
2024-02-16,165.5102
2024-02-15,165.0892
2024-02-14,164.5933
2024-02-13,163.921
2024-02-12,163.4242
2024-02-09,162.4857
2024-02-08,161.2264
2024-02-07,160.3197
2024-02-06,159.2449
2024-02-05,158.2022
2024-02-02,156.9277
2024-02-01,155.3612
2024-01-31,154.9487
2024-01-30,154.9222
2024-01-29,154.493
2024-01-26,153.7807
2024-01-25,153.2186
2024-01-24,152.7416
2024-01-23,152.3071
2024-01-22,151.9162
2024-01-19,151.6148
2024-01-18,151.2227
2024-01-17,150.9829
2024-01-16,150.9064
