date,RSI
2024-10-04,53.1975
2024-10-03,48.3303
2024-10-02,51.4588
2024-10-01,51.8804
2024-09-30,53.2239
2024-09-27,55.0756
2024-09-26,58.8597
2024-09-25,60.5573
2024-09-24,62.3401
2024-09-23,62.2811
2024-09-20,60.6098
2024-09-19,59.3101
2024-09-18,56.6055
2024-09-17,57.077
2024-09-16,55.5206
2024-09-13,57.1021
2024-09-12,57.599
2024-09-11,55.8233
2024-09-10,51.9962
2024-09-09,48.4538
2024-09-06,44.7084
2024-09-05,50.3411
2024-09-04,45.7892
2024-09-03,48.4933
2024-08-30,50.6843
2024-08-29,43.8503
2024-08-28,42.2781
2024-08-27,44.3516
2024-08-26,46.5779
2024-08-23,48.0609
2024-08-22,47.1157
2024-08-21,50.9697
2024-08-20,49.7632
2024-08-19,49.1251
2024-08-16,48.0227
2024-08-15,48.4787
2024-08-14,40.9517
2024-08-13,41.0506
2024-08-12,37.2527
2024-08-09,37.346
2024-08-08,36.1082
2024-08-07,32.7538
2024-08-06,31.8109
2024-08-05,30.8125
2024-08-02,34.4336
2024-08-01,46.683
2024-07-31,49.7061
2024-07-30,43.4002
2024-07-29,44.9127
2024-07-26,44.0424
2024-07-25,40.6711
2024-07-24,41.5506
2024-07-23,47.0543
2024-07-22,42.0061
2024-07-19,42.5857
2024-07-18,43.1909
2024-07-17,47.5159
2024-07-16,53.7414
2024-07-15,53.3995
2024-07-12,55.707
2024-07-11,56.44
2024-07-10,63.1187
2024-07-09,62.7209
2024-07-08,62.6784
2024-07-05,63.6573
2024-07-03,61.7299
2024-07-02,65.0051
2024-07-01,62.8283
2024-06-28,59.4477
2024-06-27,66.0982
2024-06-26,62.4165
2024-06-25,54.3393
2024-06-24,53.3301
2024-06-21,58.9748
2024-06-20,55.1456
2024-06-18,50.2781
2024-06-17,52.3277
2024-06-14,51.7295
2024-06-13,51.9929
2024-06-12,56.9521
2024-06-11,57.5313
2024-06-10,57.3252
2024-06-07,53.8714
2024-06-06,54.9428
2024-06-05,49.914
2024-06-04,46.9824
2024-06-03,45.4179
2024-05-31,42.3472
2024-05-30,46.0803
2024-05-29,50.0064
2024-05-28,50.202
2024-05-24,48.1256
2024-05-23,48.5376
2024-05-22,51.4381
2024-05-21,51.4662
2024-05-20,51.9922
2024-05-17,53.5384
2024-05-16,52.2952
2024-05-15,55.4013
2024-05-14,56.8699
2024-05-13,56.3611
2024-05-10,57.5345
2024-05-09,60.1764
2024-05-08,58.8432
2024-05-07,59.807
2024-05-06,59.7575
2024-05-03,57.7069
2024-05-02,56.4451
2024-05-01,51.1279
2024-04-30,46.8144
2024-04-29,53.4981
2024-04-26,52.0355
2024-04-25,44.698
2024-04-24,48.1308
2024-04-23,51.9606
2024-04-22,48.9381
2024-04-19,45.2551
2024-04-18,51.4828
2024-04-17,54.6918
2024-04-16,58.0987
2024-04-15,58.6088
2024-04-12,63.0052
2024-04-11,68.7007
2024-04-10,65.5608
2024-04-09,65.2618
2024-04-08,64.7635
2024-04-05,64.6431
2024-04-04,59.021
2024-04-03,63.5869
2024-04-02,61.5713
2024-04-01,62.1029
2024-03-28,61.4364
2024-03-27,60.8262
2024-03-26,59.1167
2024-03-25,61.465
2024-03-22,60.5787
2024-03-21,59.8264
2024-03-20,59.8264
2024-03-19,57.541
2024-03-18,56.0416
2024-03-15,55.9792
2024-03-14,62.0142
2024-03-13,59.9341
2024-03-12,58.7964
2024-03-11,55.2416
2024-03-08,60.1109
2024-03-07,62.3758
2024-03-06,59.0774
2024-03-05,59.9983
2024-03-04,65.4998
2024-03-01,66.5725
2024-02-29,65.3425
2024-02-28,62.0733
2024-02-27,62.666
2024-02-26,64.4984
2024-02-23,64.8922
2024-02-22,64.5681
2024-02-21,59.3609
2024-02-20,57.8784
2024-02-16,61.2969
2024-02-15,61.7102
2024-02-14,63.3613
2024-02-13,61.4164
2024-02-12,66.7379
2024-02-09,70.0249
2024-02-08,66.6117
2024-02-07,67.708
2024-02-06,66.6656
2024-02-05,68.4295
2024-02-02,70.7283
2024-02-01,60.088
2024-01-31,55.0314
2024-01-30,61.9791
2024-01-29,66.7397
2024-01-26,64.2711
2024-01-25,62.582
2024-01-24,61.4705
2024-01-23,60.3908
2024-01-22,58.7905
2024-01-19,59.8275
2024-01-18,57.4866
2024-01-17,55.0668
2024-01-16,57.5893
2024-01-12,60.2284
2024-01-11,61.2512
2024-01-10,59.562
2024-01-09,56.6393
2024-01-08,53.5731
2024-01-05,47.5857
2024-01-04,46.4468
2024-01-03,52.7896
2024-01-02,55.4843
2023-12-29,59.4535
2023-12-28,62.4963
2023-12-27,62.4456
2023-12-26,62.5863
2023-12-22,62.6055
2023-12-21,63.3791
2023-12-20,61.5296
