date,SMA
2024-10-04,186.841
2024-10-03,186.085
2024-10-02,185.8815
2024-10-01,185.31
2024-09-30,184.866
2024-09-27,184.4745
2024-09-26,183.682
2024-09-25,182.664
2024-09-24,181.6935
2024-09-23,180.7705
2024-09-20,179.9285
2024-09-19,179.155
2024-09-18,178.667
2024-09-17,178.2895
2024-09-16,177.8565
2024-09-13,177.465
2024-09-12,177.02
2024-09-11,176.175
2024-09-10,175.4605
2024-09-09,174.823
2024-09-06,174.4
2024-09-05,174.1205
2024-09-04,173.3645
2024-09-03,172.7945
2024-08-30,172.033
2024-08-29,171.503
2024-08-28,172.1005
2024-08-27,172.9095
2024-08-26,173.339
2024-08-23,173.724
2024-08-22,173.997
2024-08-21,174.183
2024-08-20,174.219
2024-08-19,174.5955
2024-08-16,174.812
2024-08-15,175.1155
2024-08-14,175.4235
2024-08-13,176.315
2024-08-12,177.4545
2024-08-09,178.7505
2024-08-08,180.128
2024-08-07,181.5905
2024-08-06,183.4415
2024-08-05,185.312
2024-08-02,187.2255
2024-08-01,188.8305
2024-07-31,189.5065
2024-07-30,190.1575
2024-07-29,190.932
2024-07-26,191.4345
2024-07-25,192.202
2024-07-24,192.89
2024-07-23,193.1655
2024-07-22,193.1235
2024-07-19,193.45
2024-07-18,193.5985
2024-07-17,193.5515
2024-07-16,193.358
2024-07-15,192.89
2024-07-12,192.4455
2024-07-11,192.0655
2024-07-10,191.6745
2024-07-09,191.038
2024-07-08,190.286
2024-07-05,189.5715
2024-07-03,188.6355
2024-07-02,187.723
2024-07-01,186.64
2024-06-28,185.602
2024-06-27,184.9055
2024-06-26,184.114
2024-06-25,183.541
2024-06-24,183.2615
2024-06-21,183.0355
2024-06-20,182.738
2024-06-18,182.5905
2024-06-17,182.627
2024-06-14,182.659
2024-06-13,182.6575
2024-06-12,182.7655
2024-06-11,182.7745
2024-06-10,182.7415
2024-06-07,182.7625
2024-06-06,183.0225
2024-06-05,183.1725
2024-06-04,183.5465
2024-06-03,184.0145
2024-05-31,184.408
2024-05-30,184.822
2024-05-29,184.806
2024-05-28,184.455
2024-05-24,184.3955
2024-05-23,184.339
2024-05-22,183.97
2024-05-21,183.643
2024-05-20,183.4625
2024-05-17,183.147
2024-05-16,182.6435
2024-05-15,182.423
2024-05-14,182.1875
2024-05-13,182.0
2024-05-10,181.8525
2024-05-09,181.785
2024-05-08,181.7625
2024-05-07,181.66
2024-05-06,181.5055
2024-05-03,181.33
2024-05-02,181.273
2024-05-01,181.037
2024-04-30,181.2075
2024-04-29,181.492
2024-04-26,181.4925
2024-04-25,181.5305
2024-04-24,181.8385
2024-04-23,181.924
2024-04-22,181.9325
2024-04-19,182.0145
2024-04-18,182.1905
2024-04-17,182.137
2024-04-16,181.868
2024-04-15,181.426
2024-04-12,180.966
2024-04-11,180.597
2024-04-10,179.9723
2024-04-09,179.4443
2024-04-08,178.7588
2024-04-05,178.2668
2024-04-04,177.8543
2024-04-03,177.5298
2024-04-02,177.1153
2024-04-01,176.9598
2024-03-28,176.8223
2024-03-27,176.6413
2024-03-26,176.3078
2024-03-25,176.0698
2024-03-22,175.8208
2024-03-21,175.6268
2024-03-20,175.4483
2024-03-19,174.9703
2024-03-18,174.5293
2024-03-15,174.2808
2024-03-14,174.0498
2024-03-13,173.6613
2024-03-12,173.2655
2024-03-11,173.113
2024-03-08,173.2375
2024-03-07,172.962
2024-03-06,172.6475
2024-03-05,172.4295
2024-03-04,172.239
2024-03-01,171.9505
2024-02-29,171.0035
2024-02-28,169.9255
2024-02-27,169.2175
2024-02-26,168.6035
2024-02-23,167.823
2024-02-22,166.961
2024-02-21,166.0755
2024-02-20,165.447
2024-02-16,164.832
2024-02-15,164.1235
2024-02-14,163.3085
2024-02-13,162.345
2024-02-12,161.571
2024-02-09,160.685
2024-02-08,159.7215
2024-02-07,158.916
2024-02-06,157.958
2024-02-05,156.9555
2024-02-02,155.702
2024-02-01,154.34
2024-01-31,153.7995
2024-01-30,153.536
2024-01-29,153.183
2024-01-26,152.789
2024-01-25,152.5
2024-01-24,152.283
2024-01-23,152.1105
2024-01-22,152.0015
2024-01-19,151.8685
2024-01-18,151.791
2024-01-17,151.8195
2024-01-16,151.7325
2024-01-12,151.4455
2024-01-11,151.1565
2024-01-10,150.7715
2024-01-09,150.3795
2024-01-08,150.182
2024-01-05,150.071
2024-01-04,150.035
2024-01-03,150.1505
2024-01-02,149.969
2023-12-29,149.824
2023-12-28,149.5315
2023-12-27,149.1785
2023-12-26,148.863
2023-12-22,148.579
2023-12-21,148.245
2023-12-20,147.8885
2023-12-19,147.4775
2023-12-18,147.0945
2023-12-15,146.65
2023-12-14,146.293
2023-12-13,146.082
2023-12-12,145.93
2023-12-11,145.6855
2023-12-08,145.569
2023-12-07,145.228
2023-12-06,144.988
2023-12-05,144.8975
2023-12-04,144.5405
2023-12-01,144.2285
2023-11-30,143.7805
2023-11-29,143.326
2023-11-28,142.6645
2023-11-27,141.9485
2023-11-24,140.949
2023-11-22,139.5905
2023-11-21,138.3245
2023-11-20,137.5575
2023-11-17,136.579
2023-11-16,135.5785
2023-11-15,134.857
2023-11-14,134.1035
2023-11-13,133.387
2023-11-10,132.885
2023-11-09,132.1965
2023-11-08,131.783
2023-11-07,131.2705
2023-11-06,130.609
2023-11-03,130.035
2023-11-02,129.503
2023-11-01,128.8975
2023-10-31,128.3975
2023-10-30,127.979
2023-10-27,127.8165
2023-10-26,127.7855
2023-10-25,128.106
2023-10-24,128.3355
2023-10-23,128.2065
2023-10-20,128.442
2023-10-19,128.6395
2023-10-18,128.686
2023-10-17,129.044
2023-10-16,129.352
2023-10-13,129.7235
2023-10-12,130.2535
2023-10-11,130.873
2023-10-10,131.524
2023-10-09,132.1115
2023-10-06,132.8535
2023-10-05,133.367
2023-10-04,133.9615
2023-10-03,134.3795
2023-10-02,135.007
2023-09-29,135.44
2023-09-28,135.9845
2023-09-27,136.439
2023-09-26,136.8855
2023-09-25,137.2435
2023-09-22,137.343
2023-09-21,137.479
2023-09-20,137.7885
2023-09-19,137.7365
2023-09-18,137.589
2023-09-15,137.251
2023-09-14,136.9305
2023-09-13,136.448
2023-09-12,136.089
2023-09-11,136.056
2023-09-08,135.8215
2023-09-07,135.838
2023-09-06,135.838
2023-09-05,136.067
2023-09-01,136.3145
2023-08-31,136.387
2023-08-30,135.932
2023-08-29,135.589
2023-08-28,135.428
2023-08-25,135.455
2023-08-24,135.4025
2023-08-23,135.223
2023-08-22,134.8545
2023-08-21,134.5985
2023-08-18,134.3045
2023-08-17,134.1435
2023-08-16,133.9425
2023-08-15,133.957
2023-08-14,133.715
2023-08-11,133.3645
2023-08-10,133.178
2023-08-09,132.965
2023-08-08,132.6125
2023-08-07,132.0545
2023-08-04,131.3
2023-08-03,130.8105
2023-08-02,130.783
2023-08-01,130.8915
2023-07-31,130.818
2023-07-28,130.652
2023-07-27,130.4365
2023-07-26,130.476
2023-07-25,130.5275
2023-07-24,130.4375
2023-07-21,130.464
2023-07-20,130.4715
2023-07-19,130.215
2023-07-18,129.736
2023-07-17,129.369
2023-07-14,129.0465
2023-07-13,128.6335
2023-07-12,128.2515
2023-07-11,128.04
2023-07-10,127.7725
2023-07-07,127.6285
2023-07-06,127.201
2023-07-05,127.1135
2023-07-03,126.8595
2023-06-30,126.561
2023-06-29,126.1815
2023-06-28,125.8155
2023-06-27,125.4465
2023-06-26,124.993
2023-06-23,124.3765
2023-06-22,123.7475
2023-06-21,122.9895
2023-06-20,122.4985
2023-06-16,122.022
2023-06-15,121.655
2023-06-14,121.0745
2023-06-13,120.4235
2023-06-12,119.6505
2023-06-09,118.835
2023-06-08,118.2725
2023-06-07,117.5695
2023-06-06,116.839
2023-06-05,115.8
2023-06-02,114.8177
2023-06-01,113.8052
2023-05-31,112.8492
2023-05-30,112.0017
2023-05-26,111.0212
2023-05-25,110.2882
2023-05-24,110.0292
2023-05-23,109.4408
2023-05-22,108.8198
2023-05-19,108.3798
2023-05-18,107.9153
2023-05-17,107.1982
2023-05-16,106.6382
2023-05-15,106.0832
2023-05-12,105.6602
2023-05-11,105.2728
2023-05-10,104.7838
2023-05-09,104.1658
2023-05-08,103.8308
2023-05-05,103.6478
2023-05-04,103.468
2023-05-03,103.323
2023-05-02,103.338
2023-05-01,103.277
2023-04-28,103.339
2023-04-27,103.1665
2023-04-26,102.688
2023-04-25,102.301
2023-04-24,102.0745
2023-04-21,101.6705
2023-04-20,101.258
2023-04-19,101.0025
2023-04-18,100.818
2023-04-17,100.5885
2023-04-14,100.399
2023-04-13,100.2755
2023-04-12,99.9655
2023-04-11,99.818
2023-04-10,99.4435
2023-04-06,98.8715
2023-04-05,98.381
2023-04-04,98.022
2023-04-03,97.502
2023-03-31,97.069
2023-03-30,96.6495
2023-03-29,96.156
2023-03-28,95.752
2023-03-27,95.6015
2023-03-24,95.3875
2023-03-23,95.156
2023-03-22,95.0115
2023-03-21,94.866
2023-03-20,94.5645
2023-03-17,94.539
2023-03-16,94.499
2023-03-15,94.555
2023-03-14,94.73
2023-03-13,94.963
2023-03-10,95.222
2023-03-09,95.5975
2023-03-08,95.9875
2023-03-07,96.397
2023-03-06,96.8285
2023-03-03,97.3105
2023-03-02,98.211
2023-03-01,98.862
2023-02-28,99.41
2023-02-27,99.726
2023-02-24,100.15
2023-02-23,100.436
2023-02-22,100.504
2023-02-21,100.5305
2023-02-17,100.6775
2023-02-16,100.68
2023-02-15,100.4565
2023-02-14,100.1715
2023-02-13,99.989
2023-02-10,99.918
2023-02-09,99.801
2023-02-08,99.6435
2023-02-07,99.1345
2023-02-06,98.397
2023-02-03,97.592
2023-02-02,96.5785
2023-02-01,95.19
2023-01-31,94.2235
2023-01-30,93.267
2023-01-27,92.4485
2023-01-26,91.4275
2023-01-25,90.6185
2023-01-24,90.022
2023-01-23,89.3955
2023-01-20,88.858
2023-01-19,88.255
2023-01-18,87.817
2023-01-17,87.437
2023-01-13,87.057
2023-01-12,86.73
2023-01-11,86.591
2023-01-10,86.364
2023-01-09,86.325
2023-01-06,86.4745
2023-01-05,86.5935
2023-01-04,86.85
2023-01-03,87.1435
2022-12-30,87.559
2022-12-29,88.134
2022-12-28,88.752
2022-12-27,89.282
2022-12-23,89.8275
2022-12-22,90.2355
2022-12-21,90.7525
2022-12-20,91.074
2022-12-19,91.4375
2022-12-16,91.8985
2022-12-15,92.248
2022-12-14,92.6815
2022-12-13,93.0495
2022-12-12,93.3495
2022-12-09,93.8615
2022-12-08,94.2385
2022-12-07,94.028
2022-12-06,94.104
2022-12-05,94.218
2022-12-02,94.2165
2022-12-01,93.975
2022-11-30,93.806
2022-11-29,93.8185
2022-11-28,94.3195
2022-11-25,94.7925
2022-11-23,95.67
2022-11-22,96.7465
2022-11-21,98.1165
2022-11-18,99.4845
2022-11-17,100.7435
2022-11-16,101.7635
2022-11-15,102.661
2022-11-14,103.532
2022-11-11,104.297
2022-11-10,104.6025
2022-11-09,105.3975
2022-11-08,106.7355
2022-11-07,107.847
2022-11-04,109.004
2022-11-03,110.183
2022-11-02,111.733
2022-11-01,113.1745
2022-10-31,114.3895
2022-10-28,115.0615
2022-10-27,115.541
2022-10-26,115.733
2022-10-25,115.8505
2022-10-24,115.541
2022-10-21,115.3075
2022-10-20,115.0305
