date,ADX
2024-10-04,19.3688
2024-10-03,19.6298
2024-10-02,20.1435
2024-10-01,20.5325
2024-09-30,20.9419
2024-09-27,21.8182
2024-09-26,22.811
2024-09-25,23.9109
2024-09-24,24.8606
2024-09-23,25.8603
2024-09-20,27.0502
2024-09-19,28.0324
2024-09-18,29.0662
2024-09-17,29.6319
2024-09-16,30.2274
2024-09-13,30.4721
2024-09-12,30.7297
2024-09-11,30.3814
2024-09-10,29.3601
2024-09-09,28.3425
2024-09-06,27.2713
2024-09-05,26.3622
2024-09-04,25.8532
2024-09-03,25.2299
2024-08-30,24.6183
2024-08-29,24.4693
2024-08-28,24.3125
2024-08-27,24.2776
2024-08-26,24.5575
2024-08-23,24.8522
2024-08-22,24.9432
2024-08-21,25.039
2024-08-20,25.2708
2024-08-19,25.7283
2024-08-16,25.9273
2024-08-15,25.8929
2024-08-14,25.3104
2024-08-13,24.6972
2024-08-12,24.4772
2024-08-09,24.2457
2024-08-08,23.8322
2024-08-07,23.4872
2024-08-06,23.0208
2024-08-05,22.1747
2024-08-02,21.2841
2024-08-01,21.0789
2024-07-31,21.2704
2024-07-30,21.5898
2024-07-29,21.4787
2024-07-26,21.2383
2024-07-25,20.6165
2024-07-24,20.2298
2024-07-23,20.2761
2024-07-22,21.0323
2024-07-19,21.9701
2024-07-18,22.8998
2024-07-17,23.8784
2024-07-16,24.8035
2024-07-15,25.1093
2024-07-12,25.0983
2024-07-11,25.2373
2024-07-10,25.2587
2024-07-09,24.3575
2024-07-08,23.4495
2024-07-05,22.6175
2024-07-03,21.7417
2024-07-02,21.3654
2024-07-01,21.0366
2024-06-28,20.9146
2024-06-27,20.6414
2024-06-26,19.8836
2024-06-25,19.2671
2024-06-24,18.6442
2024-06-21,18.4198
2024-06-20,18.1891
2024-06-18,18.4615
2024-06-17,18.7482
2024-06-14,18.9119
2024-06-13,19.272
2024-06-12,19.5146
2024-06-11,19.5382
2024-06-10,20.0677
2024-06-07,20.6251
