date,EMA
2024-10-04,162.8197
2024-10-03,162.3733
2024-10-02,162.0063
2024-10-01,161.6006
2024-09-30,161.0333
2024-09-27,160.5263
2024-09-26,160.1659
2024-09-25,159.896
2024-09-24,159.7282
2024-09-23,159.4586
2024-09-20,159.2068
2024-09-19,158.7454
2024-09-18,158.3881
2024-09-17,158.2384
2024-09-16,158.1246
2024-09-13,158.1314
2024-09-12,158.2021
2024-09-11,158.5718
2024-09-10,159.352
2024-09-09,160.4774
2024-09-06,161.7161
2024-09-05,162.8739
2024-09-04,163.4891
2024-09-03,164.2522
2024-08-30,165.0
2024-08-29,165.1936
2024-08-28,165.5758
2024-08-27,165.8857
2024-08-26,166.0359
2024-08-23,166.0464
2024-08-22,166.1147
2024-08-21,166.3815
2024-08-20,166.4608
2024-08-19,166.4088
2024-08-16,166.4048
2024-08-15,166.7905
2024-08-14,167.3913
2024-08-13,168.153
2024-08-12,168.5965
2024-08-09,169.2833
2024-08-08,169.8973
2024-08-07,170.7484
2024-08-06,172.0138
2024-08-05,173.4808
2024-08-02,175.0013
2024-08-01,175.9029
2024-07-31,176.4684
2024-07-30,177.0115
2024-07-29,177.7431
2024-07-26,178.6316
2024-07-25,179.8796
2024-07-24,181.2295
2024-07-23,182.1591
2024-07-22,182.2236
2024-07-19,182.3076
2024-07-18,182.8219
2024-07-17,183.3873
2024-07-16,183.662
2024-07-15,183.6609
2024-07-12,183.3852
2024-07-11,183.2341
2024-07-10,183.0144
2024-07-09,182.1819
2024-07-08,181.493
2024-07-05,180.7264
2024-07-03,179.714
2024-07-02,179.0976
2024-07-01,178.4772
2024-06-28,178.028
2024-06-27,177.6199
2024-06-26,176.8261
2024-06-25,176.1095
2024-06-24,175.3018
2024-06-21,174.9147
2024-06-20,174.4438
2024-06-18,174.2733
2024-06-17,174.2121
2024-06-14,173.9184
2024-06-13,173.6412
2024-06-12,173.5061
2024-06-11,173.0802
2024-06-10,172.7326
2024-06-07,172.5176
2024-06-06,172.3588
2024-06-05,171.9448
2024-06-04,171.6259
2024-06-03,171.4435
2024-05-31,171.3071
2024-05-30,171.2266
2024-05-29,171.1786
2024-05-28,170.7276
2024-05-24,170.1766
2024-05-23,169.7156
2024-05-22,169.3574
2024-05-21,168.6643
2024-05-20,167.7438
2024-05-17,166.8242
2024-05-16,165.898
2024-05-15,165.0717
2024-05-14,164.3338
2024-05-13,163.7461
2024-05-10,163.2226
2024-05-09,162.6953
2024-05-08,161.9751
2024-05-07,161.2399
2024-05-06,160.2309
2024-05-03,159.4465
2024-05-02,158.6699
2024-05-01,157.8766
2024-04-30,157.2896
2024-04-29,156.7542
2024-04-26,155.8086
2024-04-25,154.1544
2024-04-24,154.0009
2024-04-23,153.5026
2024-04-22,153.0432
2024-04-19,152.7434
2024-04-18,152.6419
2024-04-17,152.3281
2024-04-16,152.038
2024-04-15,151.8298
2024-04-12,151.5513
2024-04-11,150.9421
2024-04-10,150.0924
2024-04-09,149.4966
2024-04-08,148.7898
2024-04-05,148.1924
2024-04-04,147.7788
2024-04-03,147.5286
2024-04-02,146.791
2024-04-01,146.0136
2024-03-28,145.0568
2024-03-27,144.478
2024-03-26,143.8446
2024-03-25,143.1655
2024-03-22,142.4779
2024-03-21,141.6445
2024-03-20,141.0562
2024-03-19,140.2862
2024-03-18,139.6148
2024-03-15,138.8044
2024-03-14,138.5912
2024-03-13,138.154
2024-03-12,138.0183
2024-03-11,138.0038
2024-03-08,138.075
2024-03-07,138.3909
2024-03-06,138.8482
2024-03-05,139.6666
2024-03-04,140.4377
2024-03-01,141.2187
2024-02-29,141.6838
2024-02-28,142.0594
