date,RSI
2024-10-04,56.3199
2024-10-03,54.6603
2024-10-02,54.6603
2024-10-01,56.4842
2024-09-30,55.0466
2024-09-27,52.5653
2024-09-26,50.9126
2024-09-25,49.2037
2024-09-24,50.2765
2024-09-23,49.7035
2024-09-20,51.9525
2024-09-19,50.1674
2024-09-18,47.1711
2024-09-17,46.5288
2024-09-16,44.892
2024-09-13,44.1181
2024-09-12,40.4507
2024-09-11,35.3109
2024-09-10,31.3227
2024-09-09,31.3595
2024-09-06,32.8277
2024-09-05,38.1655
2024-09-04,36.948
2024-09-03,37.7616
2024-08-30,43.8266
2024-08-29,41.4523
2024-08-28,42.5961
2024-08-27,44.5955
2024-08-26,46.2639
2024-08-23,45.5579
2024-08-22,43.1671
2024-08-21,45.2956
2024-08-20,46.7153
2024-08-19,46.0999
2024-08-16,41.4246
2024-08-15,39.1822
2024-08-14,37.9173
2024-08-13,41.2378
2024-08-12,38.7225
2024-08-09,39.9205
2024-08-08,37.7461
2024-08-07,33.4338
2024-08-06,32.4994
2024-08-05,33.1523
2024-08-02,38.8802
2024-08-01,42.7639
2024-07-31,43.5501
2024-07-30,41.9246
2024-07-29,40.9423
2024-07-26,37.6048
2024-07-25,37.8295
2024-07-24,42.4335
2024-07-23,52.9064
2024-07-22,52.7613
2024-07-19,47.6398
2024-07-18,47.6766
2024-07-17,51.8966
2024-07-16,55.9973
2024-07-15,60.0545
2024-07-12,58.4549
2024-07-11,59.2265
2024-07-10,68.9243
2024-07-09,66.9055
2024-07-08,66.9995
2024-07-05,69.9295
2024-07-03,65.5752
2024-07-02,64.9908
2024-07-01,62.6545
2024-06-28,61.7491
2024-06-27,67.8099
2024-06-26,66.3367
2024-06-25,66.6207
2024-06-24,61.6152
2024-06-21,62.3726
2024-06-20,58.4299
2024-06-18,56.8698
2024-06-17,60.7161
2024-06-14,60.1806
2024-06-13,58.2209
2024-06-12,62.9713
2024-06-11,61.6489
2024-06-10,59.7706
2024-06-07,58.8804
2024-06-06,62.8813
2024-06-05,61.4336
2024-06-04,59.5964
2024-06-03,58.8842
2024-05-31,58.1266
2024-05-30,57.6955
2024-05-29,63.7552
2024-05-28,64.6056
2024-05-24,63.2939
2024-05-23,61.9249
2024-05-22,66.5597
2024-05-21,69.1122
2024-05-20,68.3835
2024-05-17,67.7144
2024-05-16,66.23
2024-05-15,64.867
2024-05-14,63.0247
2024-05-13,61.9772
2024-05-10,61.5548
2024-05-09,63.3423
2024-05-08,62.889
2024-05-07,65.3646
2024-05-06,63.0361
2024-05-03,62.3801
2024-05-02,61.9172
2024-05-01,59.8269
2024-04-30,58.9901
2024-04-29,62.8722
2024-04-26,70.453
2024-04-25,56.8657
2024-04-24,62.1979
2024-04-23,61.2381
2024-04-22,58.9868
2024-04-19,56.3212
2024-04-18,59.5445
2024-04-17,58.9162
2024-04-16,57.6791
2024-04-15,58.3973
2024-04-12,63.0504
2024-04-11,65.9737
2024-04-10,62.783
2024-04-09,63.5798
2024-04-08,61.829
2024-04-05,59.3353
2024-04-04,57.1035
2024-04-03,64.6105
2024-04-02,64.2443
2024-04-01,65.9183
2024-03-28,61.2103
2024-03-27,61.1432
2024-03-26,60.9292
2024-03-25,60.3061
2024-03-22,61.3912
2024-03-21,58.1519
2024-03-20,59.8679
2024-03-19,58.1062
2024-03-18,59.0421
2024-03-15,51.6426
2024-03-14,54.4005
2024-03-13,50.0299
2024-03-12,48.1914
2024-03-11,46.9995
2024-03-08,43.6458
2024-03-07,42.0584
2024-03-06,37.196
2024-03-05,38.5042
2024-03-04,39.2056
2024-03-01,43.3907
2024-02-29,44.9793
2024-02-28,41.7889
2024-02-27,44.7519
2024-02-26,42.7305
2024-02-23,51.4544
2024-02-22,51.6582
2024-02-21,49.4025
2024-02-20,47.2304
2024-02-16,46.3117
2024-02-15,49.374
2024-02-14,54.1679
2024-02-13,53.0756
2024-02-12,56.9262
2024-02-09,59.4461
2024-02-08,55.5136
2024-02-07,55.0174
2024-02-06,53.0825
2024-02-05,52.5166
2024-02-02,50.7706
2024-02-01,49.1019
2024-01-31,47.637
2024-01-30,67.3827
2024-01-29,72.5372
2024-01-26,71.1837
2024-01-25,70.8593
2024-01-24,67.3452
2024-01-23,65.2611
2024-01-22,63.8758
2024-01-19,64.7874
2024-01-18,60.8391
2024-01-17,57.7174
2024-01-16,60.0241
2024-01-12,60.3838
2024-01-11,59.5638
2024-01-10,59.9776
2024-01-09,58.1405
2024-01-08,55.0295
2024-01-05,49.8059
2024-01-04,51.0002
2024-01-03,55.8799
2024-01-02,54.6582
2023-12-29,57.7364
2023-12-28,58.8551
2023-12-27,59.1373
2023-12-26,61.4362
2023-12-22,61.399
2023-12-21,60.0952
2023-12-20,57.4404
2023-12-19,55.1366
2023-12-18,53.9454
2023-12-15,49.1132
2023-12-14,48.0451
2023-12-13,48.9773
2023-12-12,48.9026
2023-12-11,49.9737
2023-12-08,52.3801
2023-12-07,55.2652
2023-12-06,45.0179
2023-12-05,46.4364
2023-12-04,43.4339
2023-12-01,47.2204
2023-11-30,48.2543
2023-11-29,52.244
2023-11-28,56.2104
2023-11-27,55.0516
2023-11-24,55.5465
2023-11-22,58.7738
2023-11-21,56.7583
2023-11-20,55.7856
2023-11-17,54.5167
2023-11-16,57.2047
2023-11-15,54.1418
2023-11-14,52.751
2023-11-13,50.5723
2023-11-10,51.3068
2023-11-09,47.9301
2023-11-08,50.1809
2023-11-07,48.9424
2023-11-06,47.9245
2023-11-03,46.3001
2023-11-02,43.9759
2023-11-01,42.4473
2023-10-31,38.8342
2023-10-30,39.2092
2023-10-27,35.6524
2023-10-26,35.7479
2023-10-25,38.7296
2023-10-24,56.4657
2023-10-23,52.8782
2023-10-20,51.3957
2023-10-19,55.3474
2023-10-18,55.7451
2023-10-17,59.128
2023-10-16,58.2738
2023-10-13,55.8397
2023-10-12,58.867
2023-10-11,62.0006
2023-10-10,58.7099
2023-10-09,59.4166
2023-10-06,58.304
2023-10-05,54.7853
2023-10-04,55.0844
2023-10-03,50.8728
2023-10-02,53.8427
2023-09-29,48.3986
2023-09-28,50.8969
2023-09-27,47.7704
2023-09-26,43.99
2023-09-25,48.2667
2023-09-22,46.6001
2023-09-21,46.9174
2023-09-20,52.854
2023-09-19,62.6704
2023-09-18,63.1106
2023-09-15,61.8992
2023-09-14,63.6143
2023-09-13,61.6075
2023-09-12,59.5169
2023-09-11,63.293
2023-09-08,62.521
2023-09-07,60.9006
2023-09-06,59.7188
2023-09-05,62.6652
2023-09-01,62.5177
2023-08-31,63.625
2023-08-30,63.2736
2023-08-29,61.6852
2023-08-28,56.8694
2023-08-25,55.1703
