date,SMA
2024-10-04,160.3765
2024-10-03,159.5594
2024-10-02,159.1178
2024-10-01,158.6368
2024-09-30,158.1447
2024-09-27,158.0103
2024-09-26,157.8909
2024-09-25,157.886
2024-09-24,158.0344
2024-09-23,158.2167
2024-09-20,158.3941
2024-09-19,158.3936
2024-09-18,158.568
2024-09-17,158.9253
2024-09-16,159.2816
2024-09-13,159.5156
2024-09-12,159.6968
2024-09-11,159.97
2024-09-10,160.609
2024-09-09,161.2796
2024-09-06,162.0166
2024-09-05,162.5714
2024-09-04,162.6562
2024-09-03,162.7481
2024-08-30,162.8425
2024-08-29,163.0063
2024-08-28,163.4547
2024-08-27,163.8886
2024-08-26,164.1687
2024-08-23,164.337
2024-08-22,164.4059
2024-08-21,164.5797
2024-08-20,164.9182
2024-08-19,165.6477
2024-08-16,166.3967
2024-08-15,167.1307
2024-08-14,167.9491
2024-08-13,168.9802
2024-08-12,169.9669
2024-08-09,171.1773
2024-08-08,172.2458
2024-08-07,173.4213
2024-08-06,175.0311
2024-08-05,176.5635
2024-08-02,178.0505
2024-08-01,179.2459
2024-07-31,179.9979
2024-07-30,180.682
2024-07-29,181.3161
2024-07-26,181.9463
2024-07-25,182.8656
2024-07-24,183.6944
2024-07-23,184.2637
2024-07-22,184.1354
2024-07-19,184.0335
2024-07-18,183.9656
2024-07-17,183.8358
2024-07-16,183.647
2024-07-15,183.291
2024-07-12,182.7233
2024-07-11,182.3597
2024-07-10,181.9128
2024-07-09,181.1054
2024-07-08,180.3705
2024-07-05,179.7462
2024-07-03,178.9777
2024-07-02,178.3671
2024-07-01,177.7546
2024-06-28,177.221
2024-06-27,176.7098
2024-06-26,176.2249
2024-06-25,175.8414
2024-06-24,175.38
2024-06-21,175.087
2024-06-20,174.9147
2024-06-18,174.9819
2024-06-17,175.0632
2024-06-14,174.9943
2024-06-13,174.854
2024-06-12,174.7119
2024-06-11,174.3301
2024-06-10,173.947
2024-06-07,173.6198
2024-06-06,173.3954
2024-06-05,173.0288
2024-06-04,172.8213
2024-06-03,172.5375
2024-05-31,172.2418
2024-05-30,171.9485
2024-05-29,171.537
2024-05-28,170.8826
2024-05-24,170.3714
2024-05-23,170.2198
2024-05-22,169.3445
2024-05-21,168.4841
2024-05-20,167.507
2024-05-17,166.4776
2024-05-16,165.3818
2024-05-15,164.4756
2024-05-14,163.6257
2024-05-13,162.8307
2024-05-10,162.1185
2024-05-09,161.5738
2024-05-08,161.0476
2024-05-07,160.3873
2024-05-06,159.6566
2024-05-03,158.9957
2024-05-02,158.2606
2024-05-01,157.4581
2024-04-30,157.0122
2024-04-29,156.6022
2024-04-26,156.0705
2024-04-25,155.0221
2024-04-24,154.7663
2024-04-23,154.3443
2024-04-22,153.9358
2024-04-19,153.661
2024-04-18,153.3373
2024-04-17,152.9747
2024-04-16,152.5538
2024-04-15,152.2186
2024-04-12,151.5363
2024-04-11,150.8066
2024-04-10,149.828
2024-04-09,148.9482
2024-04-08,148.0041
2024-04-05,147.0345
2024-04-04,146.1307
2024-04-03,145.1766
2024-04-02,144.0669
2024-04-01,143.009
2024-03-28,142.0938
2024-03-27,141.4718
2024-03-26,140.7491
2024-03-25,140.1611
2024-03-22,139.5377
2024-03-21,139.198
2024-03-20,139.0229
2024-03-19,138.7142
2024-03-18,138.4194
2024-03-15,138.0623
2024-03-14,138.1416
2024-03-13,138.2833
2024-03-12,138.5501
2024-03-11,139.0005
2024-03-08,139.5656
2024-03-07,140.0893
2024-03-06,140.6459
2024-03-05,141.2793
2024-03-04,141.8285
2024-03-01,142.2788
2024-02-29,142.4793
2024-02-28,142.5611
2024-02-27,143.3133
2024-02-26,144.0429
2024-02-23,144.7719
2024-02-22,145.1664
2024-02-21,145.3963
2024-02-20,145.6203
2024-02-16,145.8632
2024-02-15,146.1554
2024-02-14,146.1908
2024-02-13,145.9679
2024-02-12,145.8357
2024-02-09,145.5923
2024-02-08,145.2472
2024-02-07,145.0661
2024-02-06,144.8372
2024-02-05,144.5749
2024-02-02,144.1784
2024-02-01,143.8796
2024-01-31,143.7679
2024-01-30,143.6716
2024-01-29,143.0846
2024-01-26,142.4222
2024-01-25,141.8329
2024-01-24,141.3167
2024-01-23,140.9571
2024-01-22,140.6269
2024-01-19,140.2454
2024-01-18,139.7601
2024-01-17,139.3771
2024-01-16,138.9347
2024-01-12,138.4085
2024-01-11,137.9057
2024-01-10,137.4289
2024-01-09,136.9805
2024-01-08,136.6833
2024-01-05,136.588
2024-01-04,136.3032
2024-01-03,136.0339
2024-01-02,135.5526
2023-12-29,135.2379
2023-12-28,134.8808
2023-12-27,134.6194
2023-12-26,134.4613
2023-12-22,134.2064
2023-12-21,133.967
2023-12-20,133.8708
2023-12-19,133.8024
2023-12-18,133.7825
2023-12-15,133.758
2023-12-14,133.974
2023-12-13,134.1077
2023-12-12,134.16
2023-12-11,134.1386
2023-12-08,134.1037
2023-12-07,133.8668
2023-12-06,133.6129
2023-12-05,133.6603
2023-12-04,133.6234
2023-12-01,133.6149
2023-11-30,133.3969
2023-11-29,133.0937
2023-11-28,132.5496
