date,ADX
2024-10-04,14.286
2024-10-03,14.4682
2024-10-02,14.6426
2024-10-01,14.9925
2024-09-30,15.5071
2024-09-27,16.1063
2024-09-26,16.5678
2024-09-25,16.9195
2024-09-24,17.4346
2024-09-23,17.9768
2024-09-20,18.2243
2024-09-19,18.1803
2024-09-18,17.9135
2024-09-17,17.9283
2024-09-16,17.794
2024-09-13,18.1325
2024-09-12,18.595
2024-09-11,19.3689
2024-09-10,20.3642
2024-09-09,20.8411
2024-09-06,20.6716
2024-09-05,20.4931
2024-09-04,20.6144
2024-09-03,20.5784
2024-08-30,20.6941
2024-08-29,21.127
2024-08-28,21.5827
2024-08-27,21.4743
2024-08-26,21.5249
2024-08-23,21.6394
2024-08-22,21.8009
2024-08-21,22.1073
2024-08-20,22.8423
2024-08-19,23.5773
2024-08-16,24.056
2024-08-15,24.6053
2024-08-14,25.2022
2024-08-13,25.5495
2024-08-12,25.7221
2024-08-09,25.452
2024-08-08,25.1146
2024-08-07,24.5991
2024-08-06,24.0564
2024-08-05,23.1738
2024-08-02,21.9058
2024-08-01,21.164
2024-07-31,20.7354
2024-07-30,19.8147
2024-07-29,19.0507
2024-07-26,18.5698
2024-07-25,17.7888
2024-07-24,16.9767
2024-07-23,16.5777
2024-07-22,17.0874
2024-07-19,17.3006
2024-07-18,17.2131
2024-07-17,17.2736
2024-07-16,17.6583
2024-07-15,18.5384
2024-07-12,19.0445
2024-07-11,19.6461
2024-07-10,20.2004
2024-07-09,20.0966
2024-07-08,19.9874
2024-07-05,19.1932
2024-07-03,18.3573
2024-07-02,17.8918
2024-07-01,17.4898
2024-06-28,17.2043
2024-06-27,17.0287
2024-06-26,16.3009
2024-06-25,15.6825
2024-06-24,15.1594
2024-06-21,14.6089
2024-06-20,14.1519
2024-06-18,13.9081
2024-06-17,13.3232
2024-06-14,12.7074
2024-06-13,12.5084
2024-06-12,12.0652
2024-06-11,11.5987
2024-06-10,11.7703
2024-06-07,12.3017
2024-06-06,12.8979
2024-06-05,13.4512
2024-06-04,13.9413
2024-06-03,13.841
2024-05-31,13.7344
2024-05-30,13.6223
2024-05-29,14.1241
2024-05-28,14.146
2024-05-24,14.0841
2024-05-23,14.0188
2024-05-22,13.8622
2024-05-21,13.5512
2024-05-20,13.2239
2024-05-17,13.2356
2024-05-16,13.4876
2024-05-15,13.5761
2024-05-14,13.7658
2024-05-13,14.4149
2024-05-10,15.0982
2024-05-09,15.7749
2024-05-08,16.311
2024-05-07,16.8431
2024-05-06,17.5381
2024-05-03,18.2252
2024-05-02,18.5291
2024-05-01,18.3542
2024-04-30,18.17
2024-04-29,17.9761
2024-04-26,18.2265
2024-04-25,18.8275
2024-04-24,18.5444
2024-04-23,19.3803
2024-04-22,19.9062
2024-04-19,19.9727
2024-04-18,20.1766
2024-04-17,20.8332
2024-04-16,21.8065
2024-04-15,22.517
2024-04-12,23.2649
2024-04-11,23.4321
2024-04-10,23.3295
2024-04-09,23.5926
2024-04-08,23.6618
2024-04-05,23.5511
2024-04-04,23.4838
2024-04-03,23.4129
2024-04-02,23.681
2024-04-01,24.0215
2024-03-28,23.957
2024-03-27,24.276
2024-03-26,24.6117
2024-03-25,24.7434
2024-03-22,24.8578
2024-03-21,24.5542
2024-03-20,24.1281
2024-03-19,23.9285
2024-03-18,23.9562
2024-03-15,24.0383
2024-03-14,24.1248
2024-03-13,23.7612
2024-03-12,23.8936
2024-03-11,24.19
2024-03-08,25.1813
2024-03-07,25.954
2024-03-06,26.8133
2024-03-05,28.0593
2024-03-04,29.1845
2024-03-01,29.2235
2024-02-29,29.3593
2024-02-28,29.6094
2024-02-27,30.2051
2024-02-26,30.9017
2024-02-23,31.2764
2024-02-22,31.5012
2024-02-21,31.9254
2024-02-20,33.1473
2024-02-16,34.354
2024-02-15,35.0455
2024-02-14,35.6773
2024-02-13,36.3118
2024-02-12,37.0134
2024-02-09,36.3837
2024-02-08,35.6734
2024-02-07,35.1831
2024-02-06,34.7326
2024-02-05,34.6183
2024-02-02,34.3531
2024-02-01,34.074
2024-01-31,34.0492
2024-01-30,34.023
2024-01-29,32.7277
2024-01-26,31.4945
2024-01-25,30.3718
2024-01-24,29.1749
2024-01-23,27.9779
2024-01-22,27.03
2024-01-19,26.0322
2024-01-18,25.0842
2024-01-17,24.3495
2024-01-16,23.819
2024-01-12,22.8713
2024-01-11,22.2117
2024-01-10,21.5174
2024-01-09,21.2555
2024-01-08,21.7422
2024-01-05,22.3398
2024-01-04,23.3213
2024-01-03,24.2705
2024-01-02,25.1029
2023-12-29,25.979
2023-12-28,26.0026
2023-12-27,26.0898
2023-12-26,26.305
2023-12-22,26.437
2023-12-21,26.7246
2023-12-20,27.0926
2023-12-19,27.4196
2023-12-18,27.9891
2023-12-15,28.6099
2023-12-14,29.3107
2023-12-13,30.0483
2023-12-12,30.0959
2023-12-11,30.3641
2023-12-08,30.8487
2023-12-07,31.1155
2023-12-06,31.607
2023-12-05,31.932
2023-12-04,32.3478
2023-12-01,33.0289
2023-11-30,32.7498
2023-11-29,31.8701
2023-11-28,30.6487
2023-11-27,29.42
2023-11-24,28.2317
2023-11-22,27.1044
2023-11-21,25.9179
2023-11-20,24.835
2023-11-17,23.6952
2023-11-16,22.7118
2023-11-15,21.269
2023-11-14,19.8952
2023-11-13,18.5392
2023-11-10,17.2798
2023-11-09,15.9542
2023-11-08,14.8254
2023-11-07,13.6856
2023-11-06,12.559
2023-11-03,11.6402
2023-11-02,10.8569
2023-11-01,10.3858
2023-10-31,9.985
2023-10-30,10.1948
2023-10-27,10.4158
2023-10-26,10.8697
2023-10-25,11.3476
2023-10-24,10.8451
2023-10-23,11.2028
2023-10-20,11.5793
2023-10-19,12.084
2023-10-18,12.2196
2023-10-17,12.4912
2023-10-16,12.9937
2023-10-13,13.1582
2023-10-12,13.5616
2023-10-11,13.7118
2023-10-10,13.9469
2023-10-09,14.3575
2023-10-06,14.8655
2023-10-05,15.5036
2023-10-04,15.4703
2023-10-03,15.4352
2023-10-02,15.3983
2023-09-29,15.7001
2023-09-28,15.7476
2023-09-27,15.3192
2023-09-26,14.7199
2023-09-25,14.1124
2023-09-22,13.8436
2023-09-21,13.6517
2023-09-20,13.4497
2023-09-19,13.6799
2023-09-18,14.2842
2023-09-15,14.9747
2023-09-14,15.3732
2023-09-13,14.9981
2023-09-12,14.9454
2023-09-11,14.8521
2023-09-08,14.2557
2023-09-07,13.807
2023-09-06,13.5928
2023-09-05,13.2244
2023-09-01,12.8366
2023-08-31,12.6562
2023-08-30,12.5543
2023-08-29,12.5356
2023-08-28,12.5812
2023-08-25,12.8554
2023-08-24,13.2078
2023-08-23,13.4751
2023-08-22,14.0511
2023-08-21,14.6659
2023-08-18,15.0264
2023-08-17,14.9975
2023-08-16,15.3147
2023-08-15,15.94
2023-08-14,16.6328
2023-08-11,17.2751
2023-08-10,17.8136
2023-08-09,18.5235
2023-08-08,19.1802
2023-08-07,20.0064
2023-08-04,20.918
2023-08-03,21.8776
2023-08-02,22.8019
2023-08-01,23.8015
2023-07-31,24.747
2023-07-28,25.7971
2023-07-27,26.9025
2023-07-26,28.0661
2023-07-25,29.0271
2023-07-24,29.1453
2023-07-21,29.5202
2023-07-20,29.9148
2023-07-19,29.8809
2023-07-18,29.209
2023-07-17,28.5017
2023-07-14,28.6797
2023-07-13,28.6567
2023-07-12,29.0965
2023-07-11,29.6984
2023-07-10,30.9943
2023-07-07,32.304
2023-07-06,32.7042
2023-07-05,33.1255
2023-07-03,33.6602
2023-06-30,34.0223
2023-06-29,34.3355
2023-06-28,35.0935
2023-06-27,35.767
2023-06-26,36.5971
2023-06-23,37.4736
2023-06-22,37.9025
2023-06-21,38.3541
2023-06-20,38.9603
2023-06-16,39.2247
2023-06-15,38.8441
2023-06-14,38.5121
2023-06-13,38.685
2023-06-12,38.9826
2023-06-09,39.587
2023-06-08,40.3572
2023-06-07,41.3888
2023-06-06,42.4747
2023-06-05,42.5338
2023-06-02,42.2721
2023-06-01,42.046
2023-05-31,41.9997
2023-05-30,41.6167
2023-05-26,40.7861
2023-05-25,40.0001
2023-05-24,39.4433
2023-05-23,39.4142
2023-05-22,38.9822
2023-05-19,38.0833
2023-05-18,37.3261
2023-05-17,36.5291
2023-05-16,35.9333
2023-05-15,35.3851
2023-05-12,35.0348
2023-05-11,34.6661
2023-05-10,34.278
2023-05-09,33.6738
2023-05-08,33.195
2023-05-05,32.6911
2023-05-04,32.1605
2023-05-03,31.8189
2023-05-02,31.3765
2023-05-01,30.9108
2023-04-28,30.2823
2023-04-27,29.6208
2023-04-26,29.0856
2023-04-25,28.786
2023-04-24,29.6292
2023-04-21,30.1395
2023-04-20,30.1406
2023-04-19,29.8749
2023-04-18,29.5952
2023-04-17,28.9808
2023-04-14,28.3424
2023-04-13,27.8383
2023-04-12,27.3077
2023-04-11,26.9042
2023-04-10,26.5354
2023-04-06,25.8055
2023-04-05,25.0372
2023-04-04,24.4654
2023-04-03,23.5652
2023-03-31,22.7174
2023-03-30,21.8249
