date,EMA
2024-10-04,423.6841
2024-10-03,424.4866
2024-10-02,425.3231
2024-10-01,426.1856
2024-09-30,426.764
2024-09-27,426.3918
2024-09-26,426.2204
2024-09-25,425.6847
2024-09-24,425.0084
2024-09-23,424.5703
2024-09-20,423.6293
2024-09-19,422.4039
2024-09-18,420.6896
2024-09-17,419.6243
2024-09-16,417.99
2024-09-13,416.5848
2024-09-12,415.1105
2024-09-11,413.859
2024-09-10,412.8926
2024-09-09,412.7549
2024-09-06,413.4955
2024-09-05,414.7371
2024-09-04,415.4052
2024-09-03,416.09
2024-08-30,416.79
2024-08-29,416.7531
2024-08-28,417.1356
2024-08-27,417.8235
2024-08-26,418.2428
2024-08-23,418.7431
2024-08-22,418.9487
2024-08-21,419.3065
2024-08-20,418.7977
2024-08-19,418.1659
2024-08-16,417.8117
2024-08-15,417.7424
2024-08-14,417.3964
2024-08-13,417.5309
2024-08-12,417.979
2024-08-09,419.2308
2024-08-08,420.6974
2024-08-07,422.6683
2024-08-06,425.2943
2024-08-05,428.0727
2024-08-02,431.6122
2024-08-01,434.1226
2024-07-31,435.9915
2024-07-30,437.9268
2024-07-29,439.5856
2024-07-26,441.0187
2024-07-25,442.7561
2024-07-24,445.3982
2024-07-23,447.2151
2024-07-22,447.5473
2024-07-19,448.1152
2024-07-18,449.3555
2024-07-17,450.3837
2024-07-16,451.1892
2024-07-15,451.4491
2024-07-12,451.2698
2024-07-11,451.1146
2024-07-10,450.8223
2024-07-09,449.2856
2024-07-08,448.2922
2024-07-05,446.4903
2024-07-03,444.3599
2024-07-02,442.7188
2024-07-01,441.0615
2024-06-28,439.4976
2024-06-27,438.7968
2024-06-26,437.4023
2024-06-25,435.9335
2024-06-24,434.4372
2024-06-21,433.1281
2024-06-20,431.4595
2024-06-18,430.0439
2024-06-17,428.4121
2024-06-14,426.3951
2024-06-13,424.7754
2024-06-12,423.0891
2024-06-11,421.28
2024-06-10,420.161
2024-06-07,419.4296
2024-06-06,419.0436
2024-06-05,418.5466
2024-06-04,418.0509
2024-06-03,418.3373
2024-05-31,418.9218
2024-05-30,419.3986
2024-05-29,419.974
2024-05-28,419.0863
2024-05-24,417.9844
2024-05-23,416.7832
2024-05-22,415.7877
2024-05-21,414.3175
2024-05-20,412.8481
2024-05-17,411.6128
2024-05-16,410.7865
2024-05-15,409.7912
2024-05-14,408.4716
2024-05-13,407.7756
2024-05-10,407.3042
2024-05-09,406.6763
2024-05-08,406.236
2024-05-07,405.9361
2024-05-06,405.7306
2024-05-03,405.0628
2024-05-02,405.0464
2024-05-01,405.9534
2024-04-30,407.2601
2024-04-29,409.2928
2024-04-26,410.1842
2024-04-25,410.7426
2024-04-24,412.1233
2024-04-23,412.5984
2024-04-22,413.2797
2024-04-19,414.7262
2024-04-18,416.5178
2024-04-17,417.9579
2024-04-16,418.7556
2024-04-15,419.3498
2024-04-12,420.1052
2024-04-11,420.0737
2024-04-10,419.4063
2024-04-09,419.1586
2024-04-08,418.5681
2024-04-05,418.0926
2024-04-04,417.4695
2024-04-03,417.5822
2024-04-02,417.4372
2024-04-01,417.1731
2024-03-28,416.5529
2024-03-27,416.2713
2024-03-26,415.8855
2024-03-25,415.436
2024-03-22,414.8123
2024-03-21,413.5062
2024-03-20,411.9966
2024-03-19,410.7623
2024-03-18,409.7987
2024-03-15,409.1627
2024-03-14,408.5541
2024-03-13,406.9585
2024-03-12,406.2563
2024-03-11,405.4614
2024-03-08,405.7115
2024-03-07,405.8095
2024-03-06,405.6116
2024-03-05,406.1323
2024-03-04,406.6491
2024-03-01,405.9333
2024-02-29,405.0813
2024-02-28,404.3347
2024-02-27,404.1305
2024-02-26,403.9299
2024-02-23,403.702
2024-02-22,403.1563
2024-02-21,402.4159
2024-02-20,402.5908
2024-02-16,402.7201
2024-02-15,402.7298
2024-02-14,402.4783
2024-02-13,401.893
2024-02-12,401.6565
2024-02-09,400.4592
2024-02-08,398.5819
2024-02-07,397.1813
2024-02-06,395.6395
2024-02-05,394.8317
2024-02-02,393.922
2024-02-01,392.3335
2024-01-31,391.3567
2024-01-30,390.9262
2024-01-29,389.2976
2024-01-26,387.3793
2024-01-25,385.8653
2024-01-24,384.0936
2024-01-23,382.3771
2024-01-22,380.8632
2024-01-19,379.4401
2024-01-18,377.6411
2024-01-17,376.1553
2024-01-16,374.9738
2024-01-12,373.5841
2024-01-11,372.2366
2024-01-10,371.1493
2024-01-09,370.1423
2024-01-08,369.7601
2024-01-05,369.4528
2024-01-04,369.8398
2024-01-03,370.2476
2024-01-02,370.4199
2023-12-29,370.582
2023-12-28,370.2199
2023-12-27,369.8992
2023-12-26,369.6715
2023-12-22,369.358
2023-12-21,369.0199
2023-12-20,368.7551
2023-12-19,368.7682
2023-12-18,368.5062
2023-12-15,368.2805
2023-12-14,368.2321
2023-12-13,368.6811
2023-12-12,368.2937
2023-12-11,367.8646
2023-12-08,367.7127
2023-12-07,367.238
2023-12-06,367.0568
2023-12-05,367.0817
2023-12-04,366.7196
2023-12-01,366.6734
2023-11-30,366.06
2023-11-29,364.9214
2023-11-28,363.6693
2023-11-27,361.8822
2023-11-24,360.3353
2023-11-22,358.749
2023-11-21,356.9518
2023-11-20,355.4659
2023-11-17,353.3661
2023-11-16,351.8398
2023-11-15,349.4913
2023-11-14,347.576
2023-11-13,345.4748
2023-11-10,343.5275
2023-11-09,341.0629
2023-11-08,339.2771
2023-11-07,337.041
2023-11-06,334.8486
2023-11-03,332.8433
2023-11-02,331.0167
2023-11-01,329.4659
2023-10-31,327.9869
2023-10-30,327.184
2023-10-27,326.3801
2023-10-26,326.2753
2023-10-25,326.3601
2023-10-24,325.1184
2023-10-23,324.8055
2023-10-20,324.5862
2023-10-19,324.6206
2023-10-18,324.1728
2023-10-17,323.8043
2023-10-16,323.1932
2023-10-13,322.4572
2023-10-12,322.1568
2023-10-11,321.4663
2023-10-10,320.5716
2023-10-09,320.0037
2023-10-06,319.2266
2023-10-05,318.6352
2023-10-04,318.807
2023-10-03,319.0393
2023-10-02,319.8774
2023-09-29,319.925
2023-09-28,320.6098
2023-09-27,321.5871
2023-09-26,322.7561
2023-09-25,324.116
2023-09-22,325.0549
