date,RSI
2024-10-04,44.8908
2024-10-03,45.1806
2024-10-02,45.5239
2024-10-01,47.5966
2024-09-30,53.8888
2024-09-27,52.4727
2024-09-26,54.7788
2024-09-25,55.3407
2024-09-24,53.6821
2024-09-23,56.6316
2024-09-20,57.8563
2024-09-19,60.262
2024-09-18,56.2831
2024-09-17,59.3948
2024-09-16,57.4321
2024-09-13,57.0438
2024-09-12,55.1848
2024-09-11,53.056
2024-09-10,47.7972
2024-09-09,41.862
2024-09-06,38.7245
2024-09-05,42.3366
2024-09-04,42.6245
2024-09-03,42.9182
2024-08-30,47.3351
2024-08-29,44.5023
2024-08-28,42.6658
2024-08-27,44.463
2024-08-26,44.2218
2024-08-23,46.0111
2024-08-22,45.2199
2024-08-21,50.0467
2024-08-20,50.4397
2024-08-19,48.5377
2024-08-16,46.7198
2024-08-15,48.0693
2024-08-14,45.1836
2024-08-13,43.4545
2024-08-12,38.823
2024-08-09,38.2962
2024-08-08,36.0925
2024-08-07,33.1927
2024-08-06,33.5938
2024-08-05,30.5818
2024-08-02,35.1065
2024-08-01,38.6135
2024-07-31,39.148
2024-07-30,41.1417
2024-07-29,42.8709
2024-07-26,41.9832
2024-07-25,37.6525
2024-07-24,42.2295
2024-07-23,51.2134
2024-07-22,50.0034
2024-07-19,46.129
2024-07-18,48.1095
2024-07-17,50.0832
2024-07-16,54.0995
2024-07-15,57.3316
2024-07-12,57.1068
2024-07-11,57.9199
2024-07-10,67.0259
2024-07-09,63.8929
2024-07-08,70.2218
2024-07-05,71.5482
2024-07-03,68.6548
2024-07-02,67.9759
2024-07-01,66.807
2024-06-28,61.7155
2024-06-27,67.6638
2024-06-26,67.3138
2024-06-25,66.7135
2024-06-24,65.0613
2024-06-21,67.0966
2024-06-20,65.0905
2024-06-18,65.6873
2024-06-17,67.5538
2024-06-14,64.8423
2024-06-13,64.3593
2024-06-12,64.1133
2024-06-11,59.8732
2024-06-10,57.1098
2024-06-07,54.6291
2024-06-06,55.134
2024-06-05,54.8321
2024-06-04,49.8405
2024-06-03,48.0902
2024-05-31,49.1182
2024-05-30,48.8213
2024-05-29,59.1608
2024-05-28,60.1202
2024-05-24,60.0345
2024-05-23,58.3563
2024-05-22,61.07
2024-05-21,60.3332
2024-05-20,58.4663
2024-05-17,55.7213
2024-05-16,56.2583
2024-05-15,57.6733
2024-05-14,53.8438
2024-05-13,52.2402
2024-05-10,52.8669
2024-05-09,51.5571
2024-05-08,50.5977
2024-05-07,49.9631
2024-05-06,52.1924
2024-05-03,48.6251
2024-05-02,43.4898
2024-05-01,41.6685
2024-04-30,37.9961
2024-04-29,44.066
2024-04-26,46.2784
2024-04-25,41.2676
2024-04-24,46.9997
2024-04-23,45.9389
2024-04-22,40.9587
2024-04-19,39.4844
2024-04-18,42.2924
2024-04-17,46.9553
2024-04-16,48.8057
2024-04-15,48.1396
2024-04-12,54.0048
2024-04-11,58.9893
2024-04-10,56.0015
