date,SMA
2024-10-04,426.3325
2024-10-03,425.6145
2024-10-02,425.207
2024-10-01,424.7955
2024-09-30,424.233
2024-09-27,423.575
2024-09-26,422.83
2024-09-25,421.7945
2024-09-24,420.881
2024-09-23,420.097
2024-09-20,419.261
2024-09-19,418.275
2024-09-18,417.5475
2024-09-17,417.247
2024-09-16,416.566
2024-09-13,415.9225
2024-09-12,415.4445
2024-09-11,414.9004
2024-09-10,414.4121
2024-09-09,414.0065
2024-09-06,413.9854
2024-09-05,413.9991
2024-09-04,413.4656
2024-09-03,412.9656
2024-08-30,412.216
2024-08-29,411.7472
2024-08-28,411.9096
2024-08-27,412.2599
2024-08-26,412.6763
2024-08-23,413.3003
2024-08-22,413.6865
2024-08-21,413.7918
2024-08-20,413.9917
2024-08-19,414.9546
2024-08-16,415.9858
2024-08-15,416.8789
2024-08-14,417.8067
2024-08-13,419.1374
2024-08-12,420.9097
2024-08-09,423.263
2024-08-08,425.6353
2024-08-07,428.2312
2024-08-06,431.6161
2024-08-05,434.6073
2024-08-02,438.1555
2024-08-01,441.1037
2024-07-31,443.2829
2024-07-30,445.3257
2024-07-29,447.0132
2024-07-26,448.0224
2024-07-25,449.399
2024-07-24,451.084
2024-07-23,452.1845
2024-07-22,452.3253
2024-07-19,452.6666
2024-07-18,453.0954
2024-07-17,453.3933
2024-07-16,453.6354
2024-07-15,453.2885
2024-07-12,452.6706
2024-07-11,452.0472
2024-07-10,450.9482
2024-07-09,449.0326
2024-07-08,447.2513
2024-07-05,445.169
2024-07-03,442.9954
2024-07-02,440.7643
2024-07-01,438.4804
2024-06-28,436.4041
2024-06-27,434.793
2024-06-26,433.6111
2024-06-25,432.521
2024-06-24,431.4834
2024-06-21,430.4517
2024-06-20,429.4904
2024-06-18,428.6589
2024-06-17,427.6108
2024-06-14,426.2053
2024-06-13,425.1282
2024-06-12,424.2048
2024-06-11,422.9452
2024-06-10,421.9624
2024-06-07,421.2704
2024-06-06,420.6585
2024-06-05,419.9245
