date,ADX
2024-10-04,14.2593
2024-10-03,14.3714
2024-10-02,14.7338
2024-10-01,15.1644
2024-09-30,15.6177
2024-09-27,15.6354
2024-09-26,15.4194
2024-09-25,15.1709
2024-09-24,15.2668
2024-09-23,15.4607
2024-09-20,15.8038
2024-09-19,16.236
2024-09-18,16.5319
2024-09-17,17.3098
2024-09-16,18.2109
2024-09-13,18.9263
2024-09-12,19.8286
2024-09-11,20.6138
2024-09-10,21.1207
2024-09-09,20.8568
2024-09-06,20.2502
2024-09-05,19.6118
2024-09-04,19.4133
2024-09-03,19.1267
2024-08-30,18.9097
2024-08-29,19.3076
2024-08-28,19.7264
2024-08-27,20.0992
2024-08-26,20.7148
2024-08-23,21.4534
2024-08-22,22.3508
2024-08-21,23.2954
2024-08-20,24.4349
2024-08-19,25.7164
2024-08-16,26.9827
2024-08-15,28.0348
2024-08-14,29.0498
2024-08-13,29.5146
2024-08-12,29.8528
2024-08-09,29.6064
2024-08-08,29.1724
2024-08-07,28.4823
2024-08-06,27.7559
2024-08-05,26.8523
2024-08-02,25.5525
2024-08-01,24.7859
2024-07-31,24.42
2024-07-30,24.5267
2024-07-29,24.0965
2024-07-26,24.0193
2024-07-25,23.7566
2024-07-24,23.48
2024-07-23,23.541
2024-07-22,24.7378
2024-07-19,25.9899
2024-07-18,27.1676
2024-07-17,28.5925
2024-07-16,29.6398
2024-07-15,29.5186
2024-07-12,29.2731
2024-07-11,29.0994
2024-07-10,28.9164
2024-07-09,27.7588
2024-07-08,26.7062
2024-07-05,25.7022
2024-07-03,24.71
2024-07-02,23.9547
2024-07-01,23.4069
2024-06-28,23.1335
2024-06-27,22.5607
2024-06-26,22.2369
2024-06-25,22.0548
2024-06-24,21.9547
2024-06-21,21.8493
2024-06-20,21.2508
2024-06-18,20.5032
2024-06-17,19.2296
2024-06-14,17.8891
2024-06-13,16.8857
2024-06-12,15.8808
2024-06-11,14.9342
2024-06-10,14.4978
2024-06-07,14.2689
2024-06-06,13.992
2024-06-05,13.7917
2024-06-04,13.6504
2024-06-03,14.1704
2024-05-31,14.7177
2024-05-30,15.4075
2024-05-29,15.5795
2024-05-28,15.1394
2024-05-24,14.5
2024-05-23,13.8643
2024-05-22,13.1953
2024-05-21,12.7602
2024-05-20,12.3636
2024-05-17,11.9756
2024-05-16,11.7728
2024-05-15,11.3269
2024-05-14,10.9633
2024-05-13,11.0794
2024-05-10,11.3972
2024-05-09,11.7316
2024-05-08,12.3024
2024-05-07,12.9129
2024-05-06,13.3935
2024-05-03,14.0203
2024-05-02,14.5423
2024-05-01,14.3374
2024-04-30,14.1237
2024-04-29,14.1496
2024-04-26,14.5661
2024-04-25,14.902
2024-04-24,14.5948
2024-04-23,14.6962
2024-04-22,14.4573
2024-04-19,13.6464
2024-04-18,12.7928
2024-04-17,12.5661
2024-04-16,12.4935
2024-04-15,12.8317
2024-04-12,13.2337
2024-04-11,13.5497
2024-04-10,13.7661
2024-04-09,14.2858
2024-04-08,14.9513
2024-04-05,15.6438
2024-04-04,16.3728
2024-04-03,17.1401
2024-04-02,17.5734
2024-04-01,18.2524
2024-03-28,18.4502
2024-03-27,18.8157
2024-03-26,19.2005
2024-03-25,19.4896
2024-03-22,19.8659
2024-03-21,20.0766
2024-03-20,20.1863
2024-03-19,20.6636
2024-03-18,21.5623
2024-03-15,22.152
2024-03-14,22.9875
2024-03-13,23.5259
2024-03-12,23.8238
2024-03-11,24.1374
2024-03-08,24.8447
2024-03-07,25.3157
2024-03-06,25.5654
2024-03-05,26.1522
2024-03-04,26.844
2024-03-01,26.5052
2024-02-29,26.1486
2024-02-28,26.1801
2024-02-27,26.4545
2024-02-26,26.6633
2024-02-23,26.739
2024-02-22,26.8186
2024-02-21,26.9923
2024-02-20,28.1687
2024-02-16,29.2209
2024-02-15,29.6323
2024-02-14,29.8875
2024-02-13,30.2524
2024-02-12,30.8116
2024-02-09,30.196
2024-02-08,29.6264
2024-02-07,29.3019
2024-02-06,29.0096
2024-02-05,28.8801
2024-02-02,28.786
2024-02-01,28.687
2024-01-31,29.1568
2024-01-30,29.6513
2024-01-29,29.1711
2024-01-26,28.6656
2024-01-25,28.2692
2024-01-24,27.739
2024-01-23,26.9991
2024-01-22,26.5913
2024-01-19,26.0882
2024-01-18,25.7763
2024-01-17,26.0353
2024-01-16,26.8775
2024-01-12,27.2276
2024-01-11,27.4022
2024-01-10,27.5904
2024-01-09,27.9354
2024-01-08,28.5558
2024-01-05,29.3464
2024-01-04,30.7751
2024-01-03,32.1926
2024-01-02,33.4647
2023-12-29,34.5098
2023-12-28,34.527
2023-12-27,33.9412
2023-12-26,33.4051
2023-12-22,32.8719
2023-12-21,32.4217
2023-12-20,32.0792
2023-12-19,31.7186
2023-12-18,30.5858
2023-12-15,29.4653
2023-12-14,28.4151
2023-12-13,27.3234
2023-12-12,26.285
2023-12-11,25.5465
2023-12-08,24.9879
2023-12-07,24.6524
2023-12-06,24.4126
2023-12-05,24.2356
2023-12-04,24.2077
2023-12-01,24.3447
2023-11-30,23.996
2023-11-29,23.6289
2023-11-28,22.6906
2023-11-27,21.9356
2023-11-24,21.1053
2023-11-22,20.2925
2023-11-21,19.3596
2023-11-20,18.6334
2023-11-17,17.8691
2023-11-16,17.3705
2023-11-15,16.9108
2023-11-14,16.3435
2023-11-13,15.8494
2023-11-10,15.9539
2023-11-09,16.0639
2023-11-08,16.5083
2023-11-07,16.8644
2023-11-06,17.2572
2023-11-03,18.0001
2023-11-02,18.8499
2023-11-01,19.4361
2023-10-31,19.3766
2023-10-30,18.4831
2023-10-27,17.4401
2023-10-26,16.0982
2023-10-25,14.6857
2023-10-24,13.6545
2023-10-23,13.0302
2023-10-20,12.2818
2023-10-19,11.7631
2023-10-18,11.6641
2023-10-17,11.8598
2023-10-16,12.2464
2023-10-13,12.8039
2023-10-12,13.3908
2023-10-11,13.5715
2023-10-10,14.0091
2023-10-09,14.4839
2023-10-06,15.0462
2023-10-05,15.4964
2023-10-04,15.2183
2023-10-03,14.9403
2023-10-02,14.6477
2023-09-29,14.7693
2023-09-28,14.8972
2023-09-27,14.6848
2023-09-26,14.0332
2023-09-25,13.4976
2023-09-22,13.1646
2023-09-21,12.9603
2023-09-20,12.7208
2023-09-19,13.1071
2023-09-18,13.7663
2023-09-15,14.2695
2023-09-14,14.766
2023-09-13,14.8162
2023-09-12,15.1029
2023-09-11,15.3319
2023-09-08,15.4387
2023-09-07,15.7902
2023-09-06,16.3483
2023-09-05,16.5442
2023-09-01,16.377
2023-08-31,16.1707
2023-08-30,16.0404
2023-08-29,16.0826
2023-08-28,16.3157
2023-08-25,17.1011
2023-08-24,17.7213
2023-08-23,18.6108
2023-08-22,19.2873
2023-08-21,20.2388
2023-08-18,21.0311
2023-08-17,21.2626
2023-08-16,21.8308
2023-08-15,22.8788
2023-08-14,23.7958
2023-08-11,24.7612
2023-08-10,26.0436
2023-08-09,27.1255
2023-08-08,28.4676
2023-08-07,29.6913
2023-08-04,30.6649
2023-08-03,31.6875
2023-08-02,32.9635
2023-08-01,34.1576
2023-07-31,34.4761
2023-07-28,34.5775
2023-07-27,34.71
2023-07-26,34.8495
2023-07-25,35.3905
2023-07-24,35.7327
2023-07-21,36.3082
2023-07-20,36.8066
2023-07-19,37.2661
2023-07-18,36.5577
2023-07-17,35.8559
2023-07-14,35.3117
2023-07-13,34.7742
2023-07-12,34.3697
2023-07-11,34.3107
2023-07-10,34.6692
2023-07-07,35.1789
2023-07-06,35.339
2023-07-05,35.7104
2023-07-03,35.4587
2023-06-30,35.2695
2023-06-29,35.1006
2023-06-28,35.3398
2023-06-27,35.5916
2023-06-26,36.0109
2023-06-23,36.4522
2023-06-22,36.4642
2023-06-21,36.4769
2023-06-20,36.389
2023-06-16,35.889
2023-06-15,34.9062
2023-06-14,33.9199
2023-06-13,33.1492
2023-06-12,32.4472
2023-06-09,31.9038
2023-06-08,31.5069
2023-06-07,31.3516
2023-06-06,31.1882
2023-06-05,30.3383
2023-06-02,29.3045
2023-06-01,28.3001
2023-05-31,27.3704
2023-05-30,26.541
2023-05-26,25.3828
2023-05-25,24.41
2023-05-24,23.9156
2023-05-23,24.0964
2023-05-22,23.7266
2023-05-19,22.745
2023-05-18,21.7477
2023-05-17,20.752
2023-05-16,20.1918
2023-05-15,19.8828
2023-05-12,19.7591
2023-05-11,19.6288
2023-05-10,19.2964
2023-05-09,19.0184
2023-05-08,19.0428
2023-05-05,19.0686
2023-05-04,19.1235
2023-05-03,19.7799
2023-05-02,20.1803
2023-05-01,20.5406
2023-04-28,20.4045
2023-04-27,20.357
2023-04-26,20.4844
2023-04-25,21.2905
2023-04-24,22.139
2023-04-21,22.4764
2023-04-20,22.7767
2023-04-19,22.9632
2023-04-18,22.9641
2023-04-17,22.7603
2023-04-14,22.7445
2023-04-13,22.7279
2023-04-12,22.7717
2023-04-11,22.9229
2023-04-10,22.7207
2023-04-06,22.5079
2023-04-05,22.2838
2023-04-04,21.8955
