date,EMA
2024-10-04,479.5394
2024-10-03,478.7204
2024-10-02,478.4183
2024-10-01,478.0465
2024-09-30,477.7072
2024-09-27,476.6164
2024-09-26,475.5497
2024-09-25,474.0844
2024-09-24,472.8491
2024-09-23,471.5311
2024-09-20,470.3196
2024-09-19,469.1149
2024-09-18,467.6866
2024-09-17,467.3609
2024-09-16,466.7855
2024-09-13,466.1758
2024-09-12,465.2811
2024-09-11,464.5152
2024-09-10,464.1521
2024-09-09,464.7978
2024-09-06,465.9529
2024-09-05,467.8361
2024-09-04,468.6194
2024-09-03,469.5304
2024-08-30,470.411
2024-08-29,469.8645
2024-08-28,469.8501
2024-08-27,469.7616
2024-08-26,469.0951
2024-08-23,468.5078
2024-08-22,467.3688
2024-08-21,466.6512
2024-08-20,465.054
2024-08-19,463.5241
2024-08-16,461.727
2024-08-15,460.3967
2024-08-14,458.9904
2024-08-13,458.665
2024-08-12,458.321
2024-08-09,459.1181
2024-08-08,460.1011
2024-08-07,461.4335
2024-08-06,464.3042
2024-08-05,466.9768
2024-08-02,470.3679
2024-08-01,472.7096
2024-07-31,474.151
2024-07-30,474.5447
2024-07-29,476.4031
2024-07-26,477.7875
2024-07-25,479.4154
2024-07-24,481.7088
2024-07-23,483.7064
2024-07-22,484.102
2024-07-19,484.3607
2024-07-18,485.3907
2024-07-17,486.0825
2024-07-16,486.6074
2024-07-15,485.656
2024-07-12,484.6245
2024-07-11,483.6241
2024-07-10,482.8223
2024-07-09,480.7766
2024-07-08,479.0612
2024-07-05,477.2103
2024-07-03,475.2887
2024-07-02,473.703
2024-07-01,472.3771
2024-06-28,471.4436
2024-06-27,470.7072
2024-06-26,469.6305
2024-06-25,468.5708
2024-06-24,467.5036
2024-06-21,466.8937
2024-06-20,465.6469
2024-06-18,464.1334
2024-06-17,462.0681
2024-06-14,459.8011
2024-06-13,457.9116
2024-06-12,456.0823
2024-06-11,454.3302
2024-06-10,453.0371
2024-06-07,451.9426
2024-06-06,450.9291
2024-06-05,449.7659
2024-06-04,448.4635
2024-06-03,447.9853
2024-05-31,447.5869
2024-05-30,447.4005
2024-05-29,447.1064
2024-05-28,446.2681
2024-05-24,445.0015
2024-05-23,443.7832
2024-05-22,442.8868
2024-05-21,441.681
2024-05-20,440.3387
2024-05-17,438.9486
2024-05-16,437.7428
2024-05-15,436.3869
2024-05-14,434.7918
2024-05-13,433.7602
2024-05-10,432.9191
2024-05-09,432.0966
2024-05-08,431.2966
2024-05-07,430.5132
2024-05-06,429.62
2024-05-03,428.6401
2024-05-02,428.0577
2024-05-01,428.3144
2024-04-30,429.1628
2024-04-29,429.7783
2024-04-26,429.6022
2024-04-25,429.5912
2024-04-24,430.2665
2024-04-23,430.7966
2024-04-22,431.5337
2024-04-19,433.0043
2024-04-18,435.0673
2024-04-17,436.4281
2024-04-16,437.6772
2024-04-15,438.5057
2024-04-12,439.4257
2024-04-11,439.6858
2024-04-10,439.2281
2024-04-09,439.457
2024-04-08,439.3048
2024-04-05,439.3076
2024-04-04,439.3244
2024-04-03,439.8813
2024-04-02,439.7875
2024-04-01,439.7876
2024-03-28,439.3848
2024-03-27,439.0382
2024-03-26,438.569
2024-03-25,438.209
2024-03-22,437.6599
2024-03-21,436.883
2024-03-20,436.0779
2024-03-19,435.4083
2024-03-18,435.2141
2024-03-15,435.1138
2024-03-14,435.4361
2024-03-13,435.2453
2024-03-12,434.9181
2024-03-11,434.199
2024-03-08,434.0613
2024-03-07,433.7384
2024-03-06,432.7075
2024-03-05,432.2661
2024-03-04,432.0655
2024-03-01,431.0084
2024-02-29,429.6734
2024-02-28,428.8906
2024-02-27,428.4164
2024-02-26,427.6481
2024-02-23,426.9089
2024-02-22,426.0679
2024-02-21,425.003
2024-02-20,425.1321
2024-02-16,425.0955
2024-02-15,424.7144
2024-02-14,423.8802
2024-02-13,423.0935
2024-02-12,422.7134
2024-02-09,421.5816
2024-02-08,420.1514
2024-02-07,419.0173
2024-02-06,417.8475
2024-02-05,417.0158
2024-02-02,416.0064
2024-02-01,414.8321
2024-01-31,414.2815
2024-01-30,414.1875
2024-01-29,413.2105
2024-01-26,411.832
2024-01-25,410.7633
2024-01-24,409.3158
2024-01-23,407.7705
2024-01-22,406.3089
2024-01-19,404.8768
2024-01-18,403.3515
2024-01-17,402.5242
2024-01-16,402.2155
2024-01-12,401.6323
2024-01-11,400.9834
2024-01-10,400.2883
2024-01-09,399.609
2024-01-08,399.1466
2024-01-05,398.7192
2024-01-04,399.1064
2024-01-03,399.5835
2024-01-02,399.896
2023-12-29,399.7949
2023-12-28,398.9569
2023-12-27,397.844
2023-12-26,396.5931
2023-12-22,395.298
2023-12-21,394.1285
2023-12-20,392.8998
2023-12-19,392.0331
2023-12-18,390.4382
2023-12-15,388.8933
2023-12-14,387.4523
2023-12-13,386.0634
2023-12-12,384.4917
2023-12-11,383.2846
2023-12-08,382.2798
2023-12-07,381.5194
2023-12-06,380.8609
2023-12-05,380.6956
2023-12-04,380.2787
2023-12-01,379.9193
2023-11-30,379.1436
2023-11-29,378.4023
2023-11-28,377.4806
2023-11-27,376.4221
2023-11-24,375.3587
2023-11-22,374.1479
2023-11-21,372.7522
2023-11-20,371.3758
2023-11-17,369.6171
2023-11-16,368.1648
2023-11-15,366.5689
2023-11-14,364.8395
2023-11-13,362.9585
2023-11-10,361.7283
2023-11-09,360.2453
2023-11-08,359.4761
2023-11-07,358.3258
2023-11-06,357.0795
2023-11-03,356.0669
2023-11-02,355.1045
2023-11-01,354.4872
2023-10-31,354.4825
2023-10-30,355.1139
2023-10-27,355.9864
2023-10-26,357.3574
2023-10-25,359.0452
2023-10-24,360.2123
2023-10-23,360.5833
2023-10-20,361.3551
2023-10-19,362.32
2023-10-18,362.825
2023-10-17,363.0278
2023-10-16,362.7469
2023-10-13,362.3099
2023-10-12,362.2588
2023-10-11,361.7161
2023-10-10,360.9814
2023-10-09,360.4443
2023-10-06,360.063
2023-10-05,359.8359
2023-10-04,360.2133
2023-10-03,360.5196
2023-10-02,361.3631
2023-09-29,361.6325
2023-09-28,362.2429
2023-09-27,362.9448
2023-09-26,364.031
2023-09-25,365.3184
2023-09-22,366.1767
2023-09-21,367.303
2023-09-20,368.5532
2023-09-19,369.2366
2023-09-18,369.4347
2023-09-15,369.571
2023-09-14,369.7623
2023-09-13,369.2993
2023-09-12,369.1071
2023-09-11,369.0428
2023-09-08,368.5354
2023-09-07,368.4329
2023-09-06,368.3739
2023-09-05,368.0289
2023-09-01,367.3
2023-08-31,366.5444
2023-08-30,365.6676
2023-08-29,364.8164
2023-08-28,364.0938
2023-08-25,364.1313
2023-08-24,364.4589
2023-08-23,365.1132
2023-08-22,365.0127
2023-08-21,365.4998
2023-08-18,365.984
2023-08-17,367.1214
2023-08-16,368.3316
2023-08-15,369.2558
2023-08-14,369.8722
2023-08-11,370.1432
2023-08-10,370.8718
2023-08-09,371.4318
2023-08-08,372.1217
2023-08-07,372.4572
2023-08-04,372.4951
2023-08-03,372.8657
2023-08-02,373.0927
2023-08-01,373.281
2023-07-31,372.6122
2023-07-28,371.78
2023-07-27,370.8811
2023-07-26,370.6038
2023-07-25,370.2033
2023-07-24,369.6291
2023-07-21,369.2607
2023-07-20,368.9161
2023-07-19,368.4173
2023-07-18,366.9379
2023-07-17,365.2934
2023-07-14,363.8026
2023-07-13,362.5244
2023-07-12,361.1032
2023-07-11,360.1933
2023-07-10,359.6731
2023-07-07,359.2871
2023-07-06,358.8729
2023-07-05,358.2878
2023-07-03,357.3468
2023-06-30,356.3056
2023-06-29,355.2456
2023-06-28,354.6597
2023-06-27,353.936
2023-06-26,353.2101
2023-06-23,353.05
2023-06-22,352.3655
2023-06-21,351.2301
2023-06-20,350.4209
2023-06-16,349.0046
2023-06-15,347.3844
2023-06-14,345.3507
2023-06-13,343.5574
2023-06-12,341.8507
2023-06-09,340.253
2023-06-08,339.1116
2023-06-07,337.9909
2023-06-06,337.2035
2023-06-05,335.7057
2023-06-02,334.044
2023-06-01,332.2334
2023-05-31,330.5075
2023-05-30,329.019
2023-05-26,327.1663
2023-05-25,325.2833
2023-05-24,324.1071
2023-05-23,323.6483
2023-05-22,322.963
2023-05-19,321.7593
2023-05-18,320.5467
2023-05-17,319.1273
2023-05-16,318.1996
