date,RSI
2024-10-04,57.8759
2024-10-03,54.6353
2024-10-02,54.8874
2024-10-01,54.5108
2024-09-30,59.2053
2024-09-27,58.547
2024-09-26,60.4569
2024-09-25,58.7411
2024-09-24,58.5303
2024-09-23,57.4615
2024-09-20,56.8838
2024-09-19,57.4175
2024-09-18,51.8571
2024-09-17,52.9876
2024-09-16,52.8685
2024-09-13,53.9588
2024-09-12,53.0298
2024-09-11,50.9916
2024-09-10,46.1884
2024-09-09,43.9893
2024-09-06,40.8337
2024-09-05,46.1168
2024-09-04,45.8853
2024-09-03,46.4141
2024-08-30,53.469
2024-08-29,50.7076
2024-08-28,51.0617
2024-08-27,53.8632
2024-08-26,53.2232
2024-08-23,55.6288
2024-08-22,53.4184
2024-08-21,57.4576
2024-08-20,56.5435
2024-08-19,57.0688
2024-08-16,54.5932
2024-08-15,54.3488
2024-08-14,49.3878
2024-08-13,49.3207
2024-08-12,44.0572
2024-08-09,43.575
2024-08-08,42.438
2024-08-07,35.4104
2024-08-06,36.9439
2024-08-05,34.5921
2024-08-02,39.0414
2024-08-01,43.3616
2024-07-31,48.7178
2024-07-30,40.4212
2024-07-29,43.5717
2024-07-26,42.9551
2024-07-25,39.7963
2024-07-24,42.2104
2024-07-23,52.3984
2024-07-22,53.6105
2024-07-19,48.9369
2024-07-18,51.9198
2024-07-17,53.5845
2024-07-16,66.5346
2024-07-15,66.4341
2024-07-12,65.7501
2024-07-11,64.2462
2024-07-10,76.4118
2024-07-09,74.2305
2024-07-08,74.0416
2024-07-05,73.5358
2024-07-03,71.2244
2024-07-02,69.1978
2024-07-01,66.3958
2024-06-28,64.7017
2024-06-27,67.5812
2024-06-26,66.8868
2024-06-25,66.34
2024-06-24,63.1771
2024-06-21,69.4068
2024-06-20,70.9781
2024-06-18,75.6982
2024-06-17,75.6365
2024-06-14,73.0957
2024-06-13,71.9253
2024-06-12,70.6639
2024-06-11,67.3385
2024-06-10,65.3996
2024-06-07,64.2165
2024-06-06,64.6772
2024-06-05,64.8496
2024-06-04,58.888
2024-06-03,57.9713
2024-05-31,56.1589
2024-05-30,56.969
2024-05-29,61.9077
2024-05-28,65.4809
2024-05-24,64.4398
2024-05-23,61.7199
2024-05-22,63.9401
2024-05-21,64.0361
2024-05-20,63.5212
2024-05-17,61.6763
2024-05-16,61.884
2024-05-15,62.7229
2024-05-14,58.6924
2024-05-13,56.8814
2024-05-10,56.229
2024-05-09,55.5779
2024-05-08,54.9907
2024-05-07,55.1784
2024-05-06,55.1392
2024-05-03,52.4505
2024-05-02,47.0249
2024-05-01,43.1616
2024-04-30,44.9382
2024-04-29,50.1506
2024-04-26,48.9441
2024-04-25,44.1364
2024-04-24,45.4141
2024-04-23,44.3442
2024-04-22,39.4505
2024-04-19,35.8768
2024-04-18,40.6669
2024-04-17,42.1499
2024-04-16,45.567
2024-04-15,45.5351
2024-04-12,50.6141
2024-04-11,56.511
2024-04-10,51.1841
2024-04-09,54.6936
2024-04-08,53.4121
2024-04-05,53.3121
2024-04-04,49.2241
2024-04-03,55.2838
2024-04-02,54.5046
2024-04-01,58.2446
2024-03-28,57.5675
2024-03-27,58.3516
2024-03-26,57.335
2024-03-25,58.6316
2024-03-22,60.0839
2024-03-21,59.786
2024-03-20,58.5767
2024-03-19,55.4233
2024-03-18,54.7372
2024-03-15,52.0836
2024-03-14,56.0241
2024-03-13,56.8936
2024-03-12,59.593
2024-03-11,55.9415
2024-03-08,57.2185
2024-03-07,62.5712
2024-03-06,58.7766
2024-03-05,57.0757
2024-03-04,64.4205
2024-03-01,66.0309
2024-02-29,62.3099
2024-02-28,59.9585
2024-02-27,62.2636
2024-02-26,61.6321
2024-02-23,61.8475
2024-02-22,63.021
2024-02-21,55.2258
2024-02-20,56.7865
2024-02-16,59.8398
2024-02-15,63.79
2024-02-14,63.0309
2024-02-13,60.1586
2024-02-12,67.3909
2024-02-09,69.3867
2024-02-08,67.0793
2024-02-07,66.6306
2024-02-06,64.072
2024-02-05,64.9974
2024-02-02,65.5834
2024-02-01,61.3713
2024-01-31,58.0093
2024-01-30,67.4741
2024-01-29,71.2528
2024-01-26,68.7185
2024-01-25,72.2603
2024-01-24,71.9794
2024-01-23,70.706
2024-01-22,69.7328
2024-01-19,69.4296
2024-01-18,64.3818
2024-01-17,59.9479
2024-01-16,62.9218
2024-01-12,62.9732
2024-01-11,62.8217
2024-01-10,62.2277
2024-01-09,60.2768
2024-01-08,59.7016
2024-01-05,53.0868
2024-01-04,52.6637
2024-01-03,54.7081
2024-01-02,59.2487
2023-12-29,67.9665
2023-12-28,70.4976
2023-12-27,70.779
2023-12-26,70.3088
2023-12-22,68.8861
2023-12-21,68.5367
2023-12-20,65.7249
2023-12-19,73.8531
2023-12-18,72.7582
2023-12-15,71.3654
2023-12-14,70.26
2023-12-13,70.7255
2023-12-12,67.7883
2023-12-11,65.7607
2023-12-08,63.4353
2023-12-07,62.1674
2023-12-06,57.8772
2023-12-05,60.5952
2023-12-04,59.8189
2023-12-01,64.3105
2023-11-30,63.5124
2023-11-29,64.7264
2023-11-28,65.1853
2023-11-27,64.5442
2023-11-24,64.9228
2023-11-22,65.5133
2023-11-21,64.6298
2023-11-20,66.9564
2023-11-17,64.4383
2023-11-16,64.3889
2023-11-15,64.2159
2023-11-14,64.0701
2023-11-13,59.7042
2023-11-10,60.7228
2023-11-09,55.6549
2023-11-08,58.1121
2023-11-07,57.9647
2023-11-06,55.8163
2023-11-03,54.8746
2023-11-02,52.1146
2023-11-01,47.4838
2023-10-31,42.521
2023-10-30,41.0703
2023-10-27,37.5842
2023-10-26,36.0601
2023-10-25,39.7978
2023-10-24,45.7222
2023-10-23,42.5226
2023-10-20,41.5097
2023-10-19,45.3174
2023-10-18,47.9639
2023-10-17,52.0674
2023-10-16,53.1496
2023-10-13,49.7639
2023-10-12,53.9327
2023-10-11,55.1503
2023-10-10,53.0995
2023-10-09,51.4724
2023-10-06,49.9614
2023-10-05,44.6732
2023-10-04,45.4785
2023-10-03,40.864
2023-10-02,45.6858
2023-09-29,42.6541
2023-09-28,42.3885
2023-09-27,39.3391
2023-09-26,38.4745
2023-09-25,42.1912
2023-09-22,40.4714
2023-09-21,40.4219
2023-09-20,45.194
2023-09-19,49.6358
2023-09-18,50.3324
2023-09-15,50.0048
2023-09-14,55.8149
2023-09-13,53.3772
2023-09-12,52.215
2023-09-11,56.1277
2023-09-08,52.5825
2023-09-07,52.1474
2023-09-06,54.6006
2023-09-05,57.8109
2023-09-01,57.4684
2023-08-31,57.8401
2023-08-30,57.0954
2023-08-29,55.7212
2023-08-28,49.876
2023-08-25,47.6294
2023-08-24,45.2469
2023-08-23,51.5213
2023-08-22,46.3925
2023-08-21,46.8196
2023-08-18,41.105
2023-08-17,41.4349
2023-08-16,44.4148
2023-08-15,47.6012
2023-08-14,51.131
2023-08-11,47.2444
2023-08-10,49.3775
2023-08-09,48.7413
2023-08-08,52.5123
2023-08-07,55.7057
2023-08-04,53.026
2023-08-03,54.7749
2023-08-02,55.3697
2023-08-01,64.7169
2023-07-31,65.8356
2023-07-28,65.7091
2023-07-27,61.0024
2023-07-26,62.0642
2023-07-25,63.5349
2023-07-24,61.7942
2023-07-21,61.3822
2023-07-20,62.5899
2023-07-19,73.3813
2023-07-18,73.5031
2023-07-17,71.9647
2023-07-14,70.0994
2023-07-13,70.1996
2023-07-12,66.6092
2023-07-11,63.544
2023-07-10,62.263
2023-07-07,62.1793
2023-07-06,63.5405
2023-07-05,66.7493
2023-07-03,66.7606
2023-06-30,66.2865
2023-06-29,63.0587
2023-06-28,63.8139
2023-06-27,63.409
2023-06-26,59.6977
2023-06-23,64.618
2023-06-22,68.6317
2023-06-21,66.2919
2023-06-20,72.2903
2023-06-16,72.9491
