date,SMA
2024-10-04,477.9162
2024-10-03,475.9533
2024-10-02,474.8935
2024-10-01,473.7943
2024-09-30,472.789
2024-09-27,472.1657
2024-09-26,471.3282
2024-09-25,470.3893
2024-09-24,469.9029
2024-09-23,469.3681
2024-09-20,469.1826
2024-09-19,468.8036
2024-09-18,468.7606
2024-09-17,469.201
2024-09-16,469.5895
2024-09-13,469.6789
2024-09-12,469.6329
2024-09-11,469.1092
2024-09-10,468.8076
2024-09-09,468.4441
2024-09-06,468.2419
2024-09-05,468.2109
2024-09-04,466.8993
2024-09-03,465.8467
2024-08-30,464.5266
2024-08-29,463.1525
2024-08-28,462.6033
2024-08-27,462.5893
2024-08-26,461.6291
2024-08-23,461.0579
2024-08-22,460.2076
2024-08-21,459.3798
2024-08-20,458.4251
2024-08-19,458.4431
2024-08-16,458.4955
2024-08-15,458.506
2024-08-14,458.7592
2024-08-13,459.7098
2024-08-12,461.3955
2024-08-09,463.6308
2024-08-08,465.8482
2024-08-07,468.0382
2024-08-06,471.4429
2024-08-05,474.3508
2024-08-02,477.445
2024-08-01,479.8122
2024-07-31,481.379
2024-07-30,482.1734
2024-07-29,483.3911
2024-07-26,484.1506
2024-07-25,485.0813
2024-07-24,486.1847
2024-07-23,486.9836
2024-07-22,486.6511
2024-07-19,486.5058
2024-07-18,486.7783
2024-07-17,487.025
2024-07-16,487.1504
2024-07-15,486.2558
2024-07-12,485.2474
2024-07-11,484.1774
2024-07-10,482.9461
2024-07-09,481.005
2024-07-08,479.2299
2024-07-05,477.4966
2024-07-03,475.8303
2024-07-02,473.963
2024-07-01,472.2366
2024-06-28,470.6421
2024-06-27,469.2299
2024-06-26,467.9366
2024-06-25,466.8667
2024-06-24,465.7601
2024-06-21,464.7101
2024-06-20,463.4903
2024-06-18,462.2107
2024-06-17,460.7002
2024-06-14,459.0402
2024-06-13,457.6838
2024-06-12,456.4964
2024-06-11,455.0896
2024-06-10,453.8463
2024-06-07,452.7113
2024-06-06,451.6176
2024-06-05,450.4555
2024-06-04,449.2985
2024-06-03,448.5947
2024-05-31,447.7148
2024-05-30,446.5279
2024-05-29,445.0309
2024-05-28,443.4432
2024-05-24,442.1007
2024-05-23,440.7572
2024-05-22,439.3011
2024-05-21,437.8455
2024-05-20,436.3136
2024-05-17,434.5145
2024-05-16,432.6646
2024-05-15,431.2404
2024-05-14,429.8915
2024-05-13,429.1522
2024-05-10,428.553
2024-05-09,428.364
2024-05-08,428.5809
2024-05-07,428.4966
2024-05-06,428.5919
2024-05-03,428.6093
2024-05-02,428.8581
2024-05-01,429.2788
2024-04-30,430.3047
2024-04-29,431.1282
2024-04-26,431.7364
2024-04-25,432.3849
2024-04-24,433.4009
2024-04-23,434.2389
2024-04-22,435.2204
2024-04-19,436.5943
2024-04-18,438.1506
2024-04-17,439.1655
2024-04-16,439.8001
2024-04-15,440.1182
2024-04-12,440.2324
2024-04-11,440.2471
2024-04-10,439.9632
2024-04-09,440.1979
2024-04-08,439.9281
2024-04-05,439.8207
2024-04-04,440.0399
2024-04-03,440.1832
2024-04-02,439.8532
2024-04-01,439.9693
2024-03-28,439.9731
2024-03-27,439.6947
2024-03-26,439.1897
2024-03-25,438.876
2024-03-22,438.4383
2024-03-21,437.9312
2024-03-20,437.5138
2024-03-19,436.5807
2024-03-18,435.992
2024-03-15,435.6195
2024-03-14,435.6489
2024-03-13,435.3541
2024-03-12,434.7716
2024-03-11,434.3574
2024-03-08,434.3405
2024-03-07,434.0304
2024-03-06,433.3602
2024-03-05,432.8027
2024-03-04,432.4243
2024-03-01,431.677
2024-02-29,430.4956
2024-02-28,429.3989
2024-02-27,428.9025
2024-02-26,428.4321
2024-02-23,427.7978
2024-02-22,427.2786
2024-02-21,426.6692
2024-02-20,426.5631
2024-02-16,426.2848
2024-02-15,425.8174
2024-02-14,424.746
2024-02-13,423.4511
2024-02-12,422.5037
2024-02-09,421.2203
2024-02-08,419.8412
2024-02-07,418.6319
2024-02-06,417.3256
2024-02-05,416.1985
2024-02-02,414.6203
2024-02-01,412.9908
2024-01-31,411.8184
2024-01-30,411.1025
2024-01-29,410.3169
2024-01-26,409.478
2024-01-25,408.8652
2024-01-24,408.0843
2024-01-23,407.2049
2024-01-22,406.4121
2024-01-19,405.4731
2024-01-18,404.864
2024-01-17,404.5592
2024-01-16,404.4155
2024-01-12,404.0601
2024-01-11,403.72
2024-01-10,403.1386
2024-01-09,402.443
2024-01-08,401.718
2024-01-05,400.9465
2024-01-04,400.316
2024-01-03,399.8201
2024-01-02,399.174
2023-12-29,398.4956
2023-12-28,397.4171
2023-12-27,396.2986
2023-12-26,395.1891
2023-12-22,394.0704
2023-12-21,393.0931
2023-12-20,392.1734
2023-12-19,391.4081
2023-12-18,390.453
2023-12-15,389.3681
2023-12-14,388.4051
2023-12-13,387.5227
2023-12-12,386.6084
2023-12-11,385.5427
2023-12-08,384.6921
2023-12-07,383.5946
2023-12-06,382.726
2023-12-05,382.1127
2023-12-04,381.2149
