date,ADX
2024-10-04,16.2459
2024-10-03,16.0869
2024-10-02,16.2621
2024-10-01,16.4466
2024-09-30,16.5508
2024-09-27,16.4027
2024-09-26,15.9456
2024-09-25,15.4645
2024-09-24,15.1749
2024-09-23,14.9114
2024-09-20,14.7121
2024-09-19,14.5789
2024-09-18,14.3162
2024-09-17,14.3453
2024-09-16,14.5381
2024-09-13,15.0194
2024-09-12,15.5324
2024-09-11,16.3319
2024-09-10,16.8205
2024-09-09,16.7253
2024-09-06,16.4726
2024-09-05,16.2067
2024-09-04,16.4751
2024-09-03,16.9467
2024-08-30,17.4471
2024-08-29,18.1048
2024-08-28,18.8409
2024-08-27,19.7848
2024-08-26,20.4904
2024-08-23,21.1682
2024-08-22,21.9426
2024-08-21,22.7578
2024-08-20,23.6896
2024-08-19,24.4728
2024-08-16,25.3758
2024-08-15,26.6266
2024-08-14,28.0009
2024-08-13,28.8344
2024-08-12,29.4967
2024-08-09,29.629
2024-08-08,29.6571
2024-08-07,29.3915
2024-08-06,29.1119
2024-08-05,28.655
2024-08-02,27.6026
2024-08-01,27.2678
2024-07-31,27.5798
2024-07-30,28.5637
2024-07-29,28.8644
2024-07-26,29.5493
2024-07-25,30.2702
2024-07-24,31.029
2024-07-23,32.0734
2024-07-22,32.8671
2024-07-19,33.8562
2024-07-18,35.0238
2024-07-17,35.9029
2024-07-16,35.8257
2024-07-15,34.6075
2024-07-12,33.3444
2024-07-11,32.0832
2024-07-10,30.8352
2024-07-09,29.3232
2024-07-08,27.9941
2024-07-05,26.6545
2024-07-03,25.3215
2024-07-02,24.1386
2024-07-01,23.1083
2024-06-28,22.2899
2024-06-27,21.3419
2024-06-26,20.6435
2024-06-25,19.9773
2024-06-24,19.3753
2024-06-21,18.7093
2024-06-20,18.1267
2024-06-18,17.4459
2024-06-17,16.4727
2024-06-14,15.4553
2024-06-13,14.8631
2024-06-12,14.2397
2024-06-11,13.4759
2024-06-10,13.3516
2024-06-07,13.333
2024-06-06,13.3134
2024-06-05,13.4474
2024-06-04,13.6653
2024-06-03,14.2373
2024-05-31,14.8394
2024-05-30,15.2516
2024-05-29,16.0193
2024-05-28,16.3919
2024-05-24,16.548
2024-05-23,16.737
2024-05-22,16.9359
2024-05-21,16.7742
2024-05-20,16.4067
2024-05-17,16.0067
2024-05-16,15.7487
2024-05-15,15.3263
2024-05-14,14.9913
2024-05-13,15.162
2024-05-10,15.4481
2024-05-09,15.7524
2024-05-08,16.2877
2024-05-07,17.0781
2024-05-06,17.7845
2024-05-03,18.7039
2024-05-02,19.3207
2024-05-01,19.2445
2024-04-30,19.1886
2024-04-29,19.2916
2024-04-26,19.8376
2024-04-25,20.3206
2024-04-24,20.1957
2024-04-23,20.5358
2024-04-22,20.7403
2024-04-19,20.4895
2024-04-18,19.9687
2024-04-17,19.7836
2024-04-16,19.6344
2024-04-15,19.735
2024-04-12,19.9594
2024-04-11,20.7141
2024-04-10,21.7809
2024-04-09,22.571
2024-04-08,23.6439
2024-04-05,24.5969
2024-04-04,25.6002
2024-04-03,26.6562
2024-04-02,27.1924
2024-04-01,27.9375
2024-03-28,28.1406
2024-03-27,28.1005
2024-03-26,28.1683
2024-03-25,28.3691
2024-03-22,28.4216
2024-03-21,28.2985
2024-03-20,28.0464
2024-03-19,28.0168
2024-03-18,28.3315
2024-03-15,28.4983
2024-03-14,28.9687
2024-03-13,29.2049
2024-03-12,29.1122
2024-03-11,29.0146
2024-03-08,29.3015
2024-03-07,29.2705
2024-03-06,29.404
2024-03-05,29.8356
2024-03-04,30.3992
2024-03-01,30.0581
2024-02-29,29.7604
2024-02-28,29.6963
2024-02-27,29.8479
2024-02-26,30.0074
2024-02-23,30.0326
2024-02-22,29.9008
2024-02-21,29.8688
2024-02-20,30.7129
2024-02-16,31.49
2024-02-15,31.7389
2024-02-14,32.0548
2024-02-13,32.6463
2024-02-12,33.4417
2024-02-09,32.8328
2024-02-08,32.3224
2024-02-07,32.0059
2024-02-06,31.6867
2024-02-05,31.6919
2024-02-02,31.6975
2024-02-01,31.7033
2024-01-31,32.3221
2024-01-30,32.9885
2024-01-29,32.4558
2024-01-26,31.9109
2024-01-25,31.5169
2024-01-24,31.1675
2024-01-23,30.7999
2024-01-22,30.7087
2024-01-19,30.6127
2024-01-18,30.7222
2024-01-17,31.3871
2024-01-16,32.5912
2024-01-12,33.3417
2024-01-11,33.7446
2024-01-10,34.2205
2024-01-09,34.4325
2024-01-08,34.9129
2024-01-05,35.4372
2024-01-04,36.4705
2024-01-03,37.4549
2024-01-02,38.3057
2023-12-29,38.8017
2023-12-28,38.7974
2023-12-27,38.1775
2023-12-26,37.589
2023-12-22,36.9752
2023-12-21,36.4118
2023-12-20,35.9914
2023-12-19,35.5489
2023-12-18,34.1542
2023-12-15,32.7882
2023-12-14,31.4776
2023-12-13,30.0979
2023-12-12,28.8155
2023-12-11,27.9226
2023-12-08,27.152
2023-12-07,26.4656
2023-12-06,25.9111
2023-12-05,25.333
2023-12-04,24.8367
2023-12-01,24.3143
2023-11-30,23.6196
2023-11-29,23.1297
2023-11-28,22.4658
2023-11-27,21.9374
2023-11-24,21.4472
2023-11-22,20.8281
2023-11-21,20.1765
2023-11-20,19.6623
2023-11-17,19.121
2023-11-16,18.8401
2023-11-15,18.6143
2023-11-14,18.2899
2023-11-13,18.0486
2023-11-10,18.5617
2023-11-09,19.1419
2023-11-08,20.0005
2023-11-07,20.7432
2023-11-06,21.5735
2023-11-03,22.5837
2023-11-02,23.647
2023-11-01,24.4965
2023-10-31,24.5244
2023-10-30,23.8492
2023-10-27,22.8514
2023-10-26,21.4681
2023-10-25,20.1481
2023-10-24,19.104
2023-10-23,18.2805
2023-10-20,17.3548
2023-10-19,16.634
2023-10-18,16.2835
2023-10-17,16.2532
2023-10-16,16.5998
2023-10-13,17.0984
2023-10-12,17.5287
2023-10-11,18.1359
2023-10-10,19.0032
2023-10-09,19.9162
2023-10-06,20.3307
2023-10-05,20.5263
2023-10-04,19.8374
2023-10-03,19.1123
2023-10-02,18.349
2023-09-29,17.9035
2023-09-28,17.566
2023-09-27,16.9681
2023-09-26,15.9302
2023-09-25,15.0523
2023-09-22,14.4491
2023-09-21,13.9317
2023-09-20,13.5027
2023-09-19,13.8325
2023-09-18,14.3723
2023-09-15,14.9639
2023-09-14,15.5369
2023-09-13,15.6803
2023-09-12,16.2499
2023-09-11,16.8051
2023-09-08,17.2375
2023-09-07,17.8926
2023-09-06,18.7753
2023-09-05,19.5687
2023-09-01,19.6414
2023-08-31,19.6384
2023-08-30,19.7216
2023-08-29,19.9278
2023-08-28,20.3783
2023-08-25,21.3125
2023-08-24,21.9991
2023-08-23,22.9552
2023-08-22,24.0674
2023-08-21,25.0886
2023-08-18,26.0108
2023-08-17,26.604
2023-08-16,27.5576
2023-08-15,28.9422
2023-08-14,29.9734
2023-08-11,30.7107
2023-08-10,31.6659
2023-08-09,32.4438
2023-08-08,33.5786
2023-08-07,34.723
2023-08-04,35.4741
2023-08-03,36.2647
2023-08-02,37.3351
2023-08-01,38.1351
2023-07-31,37.773
2023-07-28,37.2672
2023-07-27,36.7644
2023-07-26,36.2352
2023-07-25,35.8649
2023-07-24,35.3783
2023-07-21,34.9933
2023-07-20,34.6547
2023-07-19,34.2982
2023-07-18,33.4407
2023-07-17,32.6357
2023-07-14,31.9806
2023-07-13,31.3295
2023-07-12,30.7095
2023-07-11,30.257
2023-07-10,30.1306
2023-07-07,30.2736
2023-07-06,30.3088
2023-07-05,30.574
2023-07-03,30.026
2023-06-30,29.3134
2023-06-29,28.5633
2023-06-28,28.2421
2023-06-27,27.9775
2023-06-26,27.7532
2023-06-23,27.7098
2023-06-22,27.4557
2023-06-21,27.0035
2023-06-20,26.4092
2023-06-16,25.6722
2023-06-15,24.2387
2023-06-14,22.8039
2023-06-13,21.5813
2023-06-12,20.4074
2023-06-09,19.4125
2023-06-08,18.5068
2023-06-07,17.741
2023-06-06,16.8891
2023-06-05,16.0717
2023-06-02,15.1558
2023-06-01,14.2541
2023-05-31,13.7538
2023-05-30,13.5577
2023-05-26,13.004
2023-05-25,12.5807
2023-05-24,12.5796
2023-05-23,12.9439
2023-05-22,12.8048
2023-05-19,12.0845
2023-05-18,11.3263
2023-05-17,10.6248
2023-05-16,10.2604
2023-05-15,10.2104
2023-05-12,10.1577
2023-05-11,10.1023
2023-05-10,10.1698
2023-05-09,10.241
2023-05-08,10.5638
2023-05-05,10.8379
2023-05-04,11.1264
2023-05-03,11.3257
2023-05-02,11.8862
2023-05-01,12.4708
2023-04-28,12.191
2023-04-27,12.059
2023-04-26,12.2526
2023-04-25,12.7726
2023-04-24,13.2908
2023-04-21,13.1976
2023-04-20,13.1426
2023-04-19,13.0705
2023-04-18,12.7291
2023-04-17,12.282
2023-04-14,11.9732
2023-04-13,11.6481
2023-04-12,11.4164
2023-04-11,11.3212
2023-04-10,11.0472
2023-04-06,10.8848
2023-04-05,10.7313
2023-04-04,10.6324
2023-04-03,10.3896
2023-03-31,10.0128
2023-03-30,9.7339
2023-03-29,9.8418
2023-03-28,10.1789
2023-03-27,10.4464
2023-03-24,10.8863
2023-03-23,11.069
2023-03-22,11.3369
2023-03-21,11.7548
2023-03-20,12.2666
2023-03-17,12.5725
2023-03-16,12.8946
2023-03-15,13.2336
2023-03-14,12.9782
2023-03-13,12.9347
2023-03-10,12.6033
2023-03-09,12.4987
2023-03-08,12.8458
2023-03-07,13.3171
2023-03-06,13.7192
2023-03-03,13.5197
2023-03-02,13.538
2023-03-01,14.0425
2023-02-28,14.7569
2023-02-27,15.2438
2023-02-24,15.6984
2023-02-23,16.5212
2023-02-22,17.153
2023-02-21,17.9095
2023-02-17,18.5439
2023-02-16,18.71
2023-02-15,18.4493
2023-02-14,18.0275
2023-02-13,17.5835
2023-02-10,17.244
2023-02-09,17.1798
2023-02-08,17.0346
2023-02-07,16.4719
2023-02-06,15.8797
2023-02-03,15.56
2023-02-02,14.9308
2023-02-01,14.0898
2023-01-31,13.4596
2023-01-30,13.2411
2023-01-27,13.1055
2023-01-26,12.6644
2023-01-25,12.4069
2023-01-24,12.4223
2023-01-23,12.0577
2023-01-20,11.6738
2023-01-19,11.7118
2023-01-18,12.1277
2023-01-17,12.2058
2023-01-13,11.7125
2023-01-12,11.2704
2023-01-11,10.846
2023-01-10,10.5924
2023-01-09,10.681
2023-01-06,10.6481
2023-01-05,10.9456
2023-01-04,11.1507
2023-01-03,11.4673
2022-12-30,11.8005
2022-12-29,11.8128
2022-12-28,11.8719
2022-12-27,11.852
2022-12-23,12.0489
2022-12-22,12.2491
2022-12-21,12.4598
2022-12-20,13.017
2022-12-19,13.4208
2022-12-16,13.8749
2022-12-15,14.5377
2022-12-14,15.0143
2022-12-13,14.8432
2022-12-12,14.4191
2022-12-09,14.7209
2022-12-08,15.1377
2022-12-07,15.5951
2022-12-06,16.1985
2022-12-05,16.8336
2022-12-02,16.9947
2022-12-01,16.8258
2022-11-30,16.4166
2022-11-29,16.1124
2022-11-28,16.4339
2022-11-25,16.6181
2022-11-23,16.2249
2022-11-22,15.811
2022-11-21,15.5404
2022-11-18,15.5133
2022-11-17,15.4524
2022-11-16,15.5606
2022-11-15,15.2889
2022-11-14,15.0028
2022-11-11,14.8163
2022-11-10,14.6639
2022-11-09,14.7346
2022-11-08,15.3199
2022-11-07,16.0218
2022-11-04,16.6339
2022-11-03,17.1485
2022-11-02,17.3204
2022-11-01,17.8946
2022-10-31,18.5165
2022-10-28,19.3218
2022-10-27,20.1694
2022-10-26,21.0608
2022-10-25,22.1473
2022-10-24,23.1169
2022-10-21,23.7282
2022-10-20,23.9151
2022-10-19,23.9167
2022-10-18,23.9709
2022-10-17,24.1367
2022-10-14,23.6319
2022-10-13,23.1006
2022-10-12,22.2824
2022-10-11,21.7963
2022-10-10,21.2846
2022-10-07,20.8388
2022-10-06,20.5267
2022-10-05,20.8523
2022-10-04,21.195
2022-10-03,21.439
2022-09-30,20.864
2022-09-29,19.9988
2022-09-28,19.2104
2022-09-27,18.517
2022-09-26,17.6096
2022-09-23,16.7501
2022-09-22,15.8567
2022-09-21,15.3934
2022-09-20,15.1164
2022-09-19,15.0394
2022-09-16,15.0143
2022-09-15,14.8107
2022-09-14,14.8737
2022-09-13,15.0727
2022-09-12,15.3271
2022-09-09,15.5784
2022-09-08,16.123
2022-09-07,16.7592
2022-09-06,17.2498
2022-09-02,17.3972
2022-09-01,17.6748
2022-08-31,17.5595
2022-08-30,17.7493
2022-08-29,18.0108
2022-08-26,18.6326
2022-08-25,19.5793
2022-08-24,19.9126
2022-08-23,20.5906
2022-08-22,21.2713
2022-08-19,21.9352
2022-08-18,21.8272
2022-08-17,21.2596
2022-08-16,20.6622
2022-08-15,19.7852
2022-08-12,18.9764
2022-08-11,18.2348
2022-08-10,17.5686
2022-08-09,17.1228
2022-08-08,17.098
2022-08-05,16.922
2022-08-04,16.9552
2022-08-03,16.7314
2022-08-02,16.4959
2022-08-01,16.4028
2022-07-29,16.1719
2022-07-28,15.9493
2022-07-27,16.0613
2022-07-26,16.4152
2022-07-25,17.1739
2022-07-22,17.9461
2022-07-21,18.7589
2022-07-20,19.7035
2022-07-19,20.6124
2022-07-18,21.3394
2022-07-15,21.839
2022-07-14,22.0835
2022-07-13,21.8529
2022-07-12,21.7876
2022-07-11,21.9418
2022-07-08,22.35
2022-07-07,22.9012
2022-07-06,23.4244
2022-07-05,23.6953
2022-07-01,23.6946
2022-06-30,23.7348
2022-06-29,23.7037
2022-06-28,23.928
2022-06-27,24.2597
2022-06-24,24.9364
2022-06-23,25.5703
2022-06-22,25.4841
2022-06-21,25.3854
2022-06-17,25.1284
2022-06-16,24.3366
2022-06-15,23.5142
2022-06-14,22.9127
2022-06-13,21.8353
2022-06-10,20.784
2022-06-09,20.2612
2022-06-08,20.2498
2022-06-07,20.741
2022-06-06,21.2581
2022-06-03,21.9761
2022-06-02,22.5524
2022-06-01,23.1589
2022-05-31,23.7183
2022-05-27,24.4654
2022-05-26,25.1854
2022-05-25,25.4056
2022-05-24,25.0855
2022-05-23,24.4101
2022-05-20,23.8245
2022-05-19,23.1545
2022-05-18,22.6891
2022-05-17,22.3319
2022-05-16,22.4774
2022-05-13,22.2921
2022-05-12,22.0385
2022-05-11,21.2013
2022-05-10,20.5838
2022-05-09,20.0513
2022-05-06,19.5597
2022-05-05,19.4497
2022-05-04,19.5139
2022-05-03,19.7975
2022-05-02,19.2788
2022-04-29,18.4763
2022-04-28,17.9047
2022-04-27,17.6168
2022-04-26,16.7163
2022-04-25,15.8163
2022-04-22,14.9943
2022-04-21,14.4487
2022-04-20,14.5606
2022-04-19,15.1393
2022-04-18,15.6011
2022-04-14,15.5484
2022-04-13,15.6348
2022-04-12,15.6701
2022-04-11,15.7072
2022-04-08,15.9182
2022-04-07,16.5842
2022-04-06,17.2854
2022-04-05,17.8945
2022-04-04,18.6978
2022-04-01,19.3631
2022-03-31,20.2954
2022-03-30,21.1334
2022-03-29,21.6217
2022-03-28,22.0812
2022-03-25,22.9409
2022-03-24,24.0369
2022-03-23,25.2489
2022-03-22,26.3905
2022-03-21,27.7257
2022-03-18,28.8638
