date,EMA
2024-10-04,565.3848
2024-10-03,564.5853
2024-10-02,564.2448
2024-10-01,563.759
2024-09-30,563.2473
2024-09-27,562.1407
2024-09-26,561.1587
2024-09-25,559.9859
2024-09-24,558.9276
2024-09-23,557.6252
2024-09-20,556.3574
2024-09-19,555.1055
2024-09-18,553.6186
2024-09-17,552.9804
2024-09-16,552.0999
2024-09-13,551.1508
2024-09-12,550.1889
2024-09-11,549.4321
2024-09-10,549.0858
2024-09-09,549.2939
2024-09-06,549.7736
2024-09-05,550.9386
2024-09-04,551.2557
2024-09-03,551.4654
2024-08-30,551.5787
2024-08-29,550.4866
2024-08-28,549.8389
2024-08-27,549.1282
2024-08-26,548.0006
2024-08-23,546.8351
2024-08-22,545.4063
2024-08-21,544.4474
2024-08-20,542.9257
2024-08-19,541.4453
2024-08-16,539.7137
2024-08-15,538.3559
2024-08-14,536.9853
2024-08-13,536.4485
2024-08-12,536.0347
2024-08-09,536.4976
2024-08-08,537.0386
2024-08-07,537.8822
2024-08-06,540.0728
2024-08-05,542.1277
2024-08-02,544.8995
2024-08-01,546.3344
2024-07-31,546.8594
2024-07-30,546.6211
2024-07-29,547.2822
2024-07-26,547.7233
2024-07-25,548.2444
2024-07-24,549.4532
2024-07-23,550.4932
2024-07-22,550.3258
2024-07-19,550.0494
2024-07-18,550.3379
2024-07-17,550.2716
2024-07-16,549.7492
2024-07-15,548.3407
2024-07-12,547.1333
2024-07-11,545.9605
2024-07-10,545.0326
2024-07-09,543.499
2024-07-08,542.3813
2024-07-05,541.2025
2024-07-03,539.9668
2024-07-02,538.9348
2024-07-01,538.0512
2024-06-28,537.4597
2024-06-27,536.9236
2024-06-26,536.1053
2024-06-25,535.2912
2024-06-24,534.4627
2024-06-21,533.7664
2024-06-20,532.811
2024-06-18,531.6786
2024-06-17,530.2712
2024-06-14,528.8609
2024-06-13,527.7541
2024-06-12,526.5654
2024-06-11,525.3655
2024-06-10,524.5006
2024-06-07,523.6796
2024-06-06,522.9448
2024-06-05,522.0646
2024-06-04,521.0908
2024-06-03,520.6713
2024-05-31,520.2694
2024-05-30,519.8702
2024-05-29,519.9269
2024-05-28,519.6244
2024-05-24,518.9021
2024-05-23,518.1424
2024-05-22,517.6668
2024-05-21,516.7363
2024-05-20,515.5478
2024-05-17,514.3702
2024-05-16,513.1324
2024-05-15,511.8438
2024-05-14,510.3056
2024-05-13,509.2833
2024-05-10,508.4034
2024-05-09,507.4381
2024-05-08,506.4414
2024-05-07,505.6514
2024-05-06,504.7836
2024-05-03,503.884
2024-05-02,503.442
2024-05-01,503.6083
2024-04-30,504.2816
2024-04-29,504.8553
2024-04-26,504.6443
2024-04-25,504.5992
2024-04-24,505.0484
2024-04-23,505.3441
2024-04-22,505.6458
2024-04-19,506.5995
2024-04-18,508.1306
2024-04-17,509.3668
2024-04-16,510.6253
2024-04-15,511.7047
2024-04-12,512.8014
2024-04-11,513.3441
2024-04-10,513.1961
2024-04-09,513.4383
2024-04-08,513.162
2024-04-05,512.9195
2024-04-04,512.6817
2024-04-03,512.9796
2024-04-02,512.6457
2024-04-01,512.3362
2024-03-28,511.6469
2024-03-27,510.7898
2024-03-26,509.8321
2024-03-25,509.2296
2024-03-22,508.4632
2024-03-21,507.4656
2024-03-20,506.2594
2024-03-19,505.1062
2024-03-18,504.3305
2024-03-15,503.7713
2024-03-14,503.4702
2024-03-13,502.7697
2024-03-12,501.8892
2024-03-11,500.8316
2024-03-08,500.2361
2024-03-07,499.5321
2024-03-06,498.4318
2024-03-05,497.7432
2024-03-04,497.2502
2024-03-01,496.1714
2024-02-29,494.9217
2024-02-28,494.0378
2024-02-27,493.2507
2024-02-26,492.3108
2024-02-23,491.37
2024-02-22,490.1363
2024-02-21,488.8092
2024-02-20,488.4154
2024-02-16,488.0271
2024-02-15,487.3111
2024-02-14,486.259
2024-02-13,485.455
2024-02-12,485.0345
2024-02-09,483.8502
2024-02-08,482.5184
2024-02-07,481.3466
2024-02-06,480.0745
2024-02-05,479.0981
2024-02-02,478.168
2024-02-01,476.9522
2024-01-31,476.1456
2024-01-30,475.9131
2024-01-29,474.8208
2024-01-26,473.5739
2024-01-25,472.5983
2024-01-24,471.4554
2024-01-23,470.4674
2024-01-22,469.4307
2024-01-19,468.4319
2024-01-18,467.4343
2024-01-17,466.9512
2024-01-16,466.8551
2024-01-12,466.4736
2024-01-11,465.8695
2024-01-10,465.2362
2024-01-09,464.5143
2024-01-08,463.996
2024-01-05,463.3479
2024-01-04,463.3283
2024-01-03,463.3733
2024-01-02,463.2655
2023-12-29,462.744
2023-12-28,461.8901
2023-12-27,460.8025
2023-12-26,459.6191
2023-12-22,458.4009
2023-12-21,457.2629
2023-12-20,456.1043
2023-12-19,455.2867
2023-12-18,453.6969
2023-12-15,452.239
2023-12-14,450.9029
2023-12-13,449.3458
2023-12-12,447.7816
2023-12-11,446.7175
2023-12-08,445.7605
2023-12-07,444.8886
2023-12-06,444.1296
2023-12-05,443.651
2023-12-04,442.931
2023-12-01,442.1258
2023-11-30,440.9856
