date,RSI
2024-10-04,60.993
2024-10-03,57.6305
2024-10-02,58.5977
2024-10-01,58.4448
2024-09-30,63.1926
2024-09-27,61.882
2024-09-26,62.6501
2024-09-25,61.4111
2024-09-24,62.5094
2024-09-23,61.6669
2024-09-20,60.9404
2024-09-19,61.7083
2024-09-18,56.6598
2024-09-17,57.9245
2024-09-16,57.8012
2024-09-13,57.3732
2024-09-12,55.8774
2024-09-11,53.3926
2024-09-10,50.1791
2024-09-09,48.7604
2024-09-06,44.9764
2024-09-05,50.3804
2024-09-04,51.2275
2024-09-03,51.9269
2024-08-30,59.9031
2024-08-29,57.0214
2024-08-28,56.9939
2024-08-27,59.3499
2024-08-26,58.9693
2024-08-23,59.8964
2024-08-22,57.0683
2024-08-21,60.0641
2024-08-20,59.1757
2024-08-19,59.7744
2024-08-16,57.3891
2024-08-15,56.8199
2024-08-14,52.2678
2024-08-13,51.3743
2024-08-12,46.4944
2024-08-09,46.331
2024-08-08,44.9977
2024-08-07,37.4315
2024-08-06,38.9117
2024-08-05,35.6055
2024-08-02,42.7586
2024-08-01,48.8294
2024-07-31,54.5008
2024-07-30,48.023
2024-07-29,50.1479
2024-07-26,49.9037
2024-07-25,45.0896
2024-07-24,47.1005
2024-07-23,58.045
2024-07-22,58.947
2024-07-19,54.585
2024-07-18,58.4079
2024-07-17,63.321
2024-07-16,74.3095
2024-07-15,72.3961
2024-07-12,71.4624
2024-07-11,69.2069
2024-07-10,77.1997
2024-07-09,73.9521
2024-07-08,73.6014
2024-07-05,73.195
2024-07-03,71.0947
2024-07-02,69.3361
2024-07-01,66.4297
2024-06-28,65.4812
2024-06-27,69.0387
2024-06-26,68.386
2024-06-25,67.8773
2024-06-24,66.2939
2024-06-21,69.0316
2024-06-20,70.1648
2024-06-18,72.4684
2024-06-17,71.6433
2024-06-14,68.8907
2024-06-13,68.67
2024-06-12,67.9567
2024-06-11,64.8837
2024-06-10,63.9222
2024-06-07,62.6806
2024-06-06,63.4984
2024-06-05,63.5105
2024-06-04,58.8252
2024-06-03,58.3479
2024-05-31,58.0109
2024-05-30,54.1056
