date,SMA
2024-10-04,564.434
2024-10-03,562.7202
2024-10-02,561.7256
2024-10-01,560.7457
2024-09-30,559.8342
2024-09-27,559.2439
2024-09-26,558.5024
2024-09-25,557.7169
2024-09-24,557.2069
2024-09-23,556.5955
2024-09-20,556.1325
2024-09-19,555.4458
2024-09-18,554.9294
2024-09-17,554.7948
2024-09-16,554.6223
2024-09-13,554.1971
2024-09-12,553.7515
2024-09-11,552.9869
2024-09-10,552.3697
2024-09-09,551.5961
2024-09-06,550.9272
2024-09-05,550.4432
2024-09-04,548.9004
2024-09-03,547.4648
2024-08-30,545.7351
2024-08-29,544.2008
2024-08-28,543.4362
2024-08-27,543.0628
2024-08-26,542.0878
2024-08-23,541.2888
2024-08-22,540.407
2024-08-21,539.5192
2024-08-20,538.5527
2024-08-19,538.3074
2024-08-16,538.0602
2024-08-15,537.795
2024-08-14,537.7746
2024-08-13,538.4321
2024-08-12,539.5696
2024-08-09,540.9782
2024-08-08,542.3241
2024-08-07,543.6117
2024-08-06,545.7381
2024-08-05,547.4165
2024-08-02,549.3057
2024-08-01,550.3893
2024-07-31,550.8105
2024-07-30,550.7208
2024-07-29,550.8873
2024-07-26,550.8604
2024-07-25,550.9566
2024-07-24,551.3105
2024-07-23,551.49
2024-07-22,550.9396
2024-07-19,550.4342
2024-07-18,550.2472
2024-07-17,549.9513
2024-07-16,549.373
2024-07-15,548.1853
2024-07-12,547.1471
2024-07-11,546.1316
2024-07-10,545.0719
2024-07-09,543.7068
2024-07-08,542.5339
2024-07-05,541.4203
2024-07-03,540.339
2024-07-02,539.1042
2024-07-01,537.9623
2024-06-28,536.9819
2024-06-27,535.8208
2024-06-26,534.726
2024-06-25,533.8583
2024-06-24,533.0062
2024-06-21,532.0853
2024-06-20,531.2685
2024-06-18,530.4915
2024-06-17,529.5757
2024-06-14,528.6988
2024-06-13,527.9987
2024-06-12,527.3692
2024-06-11,526.4718
2024-06-10,525.6749
2024-06-07,524.9385
2024-06-06,524.2508
2024-06-05,523.3828
2024-06-04,522.5118
2024-06-03,521.9245
2024-05-31,521.1042
2024-05-30,519.9942
2024-05-29,518.8882
2024-05-28,517.6898
2024-05-24,516.7085
2024-05-23,515.6561
2024-05-22,514.5396
2024-05-21,513.3263
2024-05-20,512.0489
2024-05-17,510.5414
2024-05-16,508.8376
2024-05-15,507.3883
2024-05-14,505.936
2024-05-13,504.9537
2024-05-10,504.1358
2024-05-09,503.6394
2024-05-08,503.5316
2024-05-07,503.3791
2024-05-06,503.4874
2024-05-03,503.5942
2024-05-02,503.949
2024-05-01,504.3485
2024-04-30,505.2955
2024-04-29,506.1332
2024-04-26,506.7344
2024-04-25,507.4703
2024-04-24,508.4481
2024-04-23,509.1139
2024-04-22,509.8155
