date,ADX
2024-10-04,18.1215
2024-10-03,18.3771
2024-10-02,18.7096
2024-10-01,18.8036
2024-09-30,18.3778
2024-09-27,17.3217
2024-09-26,16.3793
2024-09-25,15.3874
2024-09-24,14.5353
2024-09-23,13.6383
2024-09-20,12.9976
2024-09-19,12.6034
2024-09-18,12.1884
2024-09-17,12.1767
2024-09-16,12.2228
2024-09-13,12.517
2024-09-12,12.6516
2024-09-11,12.8555
2024-09-10,13.2211
2024-09-09,13.7108
2024-09-06,14.2958
2024-09-05,14.9115
2024-09-04,15.1995
2024-09-03,15.798
2024-08-30,16.2865
2024-08-29,16.4644
2024-08-28,16.6515
2024-08-27,16.6586
2024-08-26,16.865
2024-08-23,17.2747
2024-08-22,17.8607
2024-08-21,18.4776
2024-08-20,19.3562
2024-08-19,20.2456
2024-08-16,21.1869
2024-08-15,22.0199
2024-08-14,22.6997
2024-08-13,23.022
2024-08-12,23.3614
2024-08-09,23.2091
2024-08-08,23.0635
2024-08-07,22.9005
2024-08-06,22.729
2024-08-05,22.5827
2024-08-02,22.4288
2024-08-01,23.0106
2024-07-31,23.9463
2024-07-30,24.9529
2024-07-29,26.1063
2024-07-26,27.1132
2024-07-25,28.4078
2024-07-24,29.8081
2024-07-23,31.2818
2024-07-22,31.5034
2024-07-19,31.8272
2024-07-18,32.3026
2024-07-17,32.1676
2024-07-16,32.0254
2024-07-15,31.8757
2024-07-12,31.3586
2024-07-11,31.2
2024-07-10,30.6062
2024-07-09,28.5612
2024-07-08,26.4407
2024-07-05,24.3115
2024-07-03,22.198
2024-07-02,20.0503
2024-07-01,18.1777
2024-06-28,16.7928
2024-06-27,15.7806
2024-06-26,14.9483
2024-06-25,14.1239
2024-06-24,13.8427
2024-06-21,13.4933
2024-06-20,13.4525
2024-06-18,13.4095
2024-06-17,13.1177
2024-06-14,12.8104
2024-06-13,12.6573
2024-06-12,12.12
2024-06-11,12.2336
2024-06-10,12.8078
2024-06-07,12.8815
2024-06-06,12.7176
2024-06-05,12.5451
2024-06-04,12.6218
2024-06-03,12.528
2024-05-31,12.3842
2024-05-30,12.3882
2024-05-29,12.2577
2024-05-28,12.4202
2024-05-24,12.5912
2024-05-23,12.7272
2024-05-22,12.8703
2024-05-21,12.6576
2024-05-20,12.4337
2024-05-17,12.7181
2024-05-16,13.0174
2024-05-15,13.5641
2024-05-14,14.0311
2024-05-13,14.4621
2024-05-10,15.1468
2024-05-09,15.8855
2024-05-08,16.5733
2024-05-07,17.2972
2024-05-06,17.6404
2024-05-03,17.7033
2024-05-02,17.8969
2024-05-01,18.1088
2024-04-30,18.158
2024-04-29,17.9844
2024-04-26,17.7015
2024-04-25,18.6296
2024-04-24,19.5347
2024-04-23,20.32
2024-04-22,19.6642
2024-04-19,18.7217
2024-04-18,18.0552
2024-04-17,17.4711
2024-04-16,17.1079
2024-04-15,16.714
2024-04-12,16.7
2024-04-11,17.2413
2024-04-10,17.8112
2024-04-09,18.5073
2024-04-08,19.3618
2024-04-05,19.9366
2024-04-04,20.2779
2024-04-03,21.0902
2024-04-02,21.2948
2024-04-01,21.4154
2024-03-28,21.9512
2024-03-27,22.8582
2024-03-26,23.8615
2024-03-25,25.0112
2024-03-22,25.5265
2024-03-21,25.7151
2024-03-20,26.2489
2024-03-19,26.6408
2024-03-18,26.7433
2024-03-15,26.8513
2024-03-14,26.033
2024-03-13,25.1717
2024-03-12,24.6633
2024-03-11,24.2976
2024-03-08,24.041
