date,EMA
2024-10-04,242.5853
2024-10-03,241.7964
2024-10-02,241.916
2024-10-01,241.1682
2024-09-30,239.3943
2024-09-27,237.0537
2024-09-26,234.5899
2024-09-25,232.5235
2024-09-24,229.945
2024-09-23,227.3844
2024-09-20,225.0039
2024-09-19,223.6095
2024-09-18,221.4716
2024-09-17,220.8686
2024-09-16,220.1316
2024-09-13,219.4318
2024-09-12,218.2888
2024-09-11,217.076
2024-09-10,215.9125
2024-09-09,214.8327
2024-09-06,214.6814
2024-09-05,215.0974
2024-09-04,213.5108
2024-09-03,212.8898
2024-08-30,213.1309
2024-08-29,213.0278
2024-08-28,213.7381
2024-08-27,214.5789
2024-08-26,215.1441
2024-08-23,215.3477
2024-08-22,214.8243
2024-08-21,215.2626
2024-08-20,214.4197
2024-08-19,213.7165
2024-08-16,212.7688
2024-08-15,212.4161
2024-08-14,212.2346
2024-08-13,213.3772
2024-08-12,213.9611
2024-08-09,215.6949
2024-08-08,217.347
2024-08-07,219.2951
2024-08-06,222.1935
2024-08-05,224.4623
2024-08-02,227.1552
2024-08-01,229.2063
2024-07-31,230.5059
2024-07-30,230.3412
2024-07-29,231.154
2024-07-26,231.0544
2024-07-25,232.2391
2024-07-24,233.5011
2024-07-23,235.3444
2024-07-22,234.1827
2024-07-19,232.3588
2024-07-18,231.6387
2024-07-17,229.787
2024-07-16,227.8172
2024-07-15,224.7916
2024-07-12,221.8602
2024-07-11,219.0844
2024-07-10,216.7744
2024-07-09,211.8811
2024-07-08,206.5707
2024-07-05,201.6898
2024-07-03,196.4445
2024-07-02,191.187
2024-07-01,186.9688
2024-06-28,184.5592
2024-06-27,183.1571
2024-06-26,181.6557
2024-06-25,180.1068
2024-06-24,179.3444
2024-06-21,179.0038
2024-06-20,178.5821
2024-06-18,178.2676
2024-06-17,177.5736
2024-06-14,176.5351
2024-06-13,176.3798
2024-06-12,175.7387
2024-06-11,175.5755
2024-06-10,176.0929
2024-06-07,176.3353
2024-06-06,176.2148
2024-06-05,176.0332
2024-06-04,176.1419
2024-06-03,176.2863
2024-05-31,176.286
2024-05-30,176.0971
2024-05-29,175.8136
2024-05-28,175.774
2024-05-24,175.6713
2024-05-23,175.2956
2024-05-22,175.4594
2024-05-21,174.9699
2024-05-20,173.7456
2024-05-17,173.6189
2024-05-16,173.2145
2024-05-15,173.0434
2024-05-14,172.9438
2024-05-13,172.4589
2024-05-10,172.5188
2024-05-09,172.945
2024-05-08,173.0476
2024-05-07,172.8716
