date,RSI
2024-10-04,56.9202
2024-10-03,53.3996
2024-10-02,57.3511
2024-10-01,62.0468
2024-09-30,64.0449
2024-09-27,63.6848
2024-09-26,61.7437
2024-09-25,63.1834
2024-09-24,62.3646
2024-09-23,61.088
2024-09-20,57.302
2024-09-19,59.9772
2024-09-18,53.9551
2024-09-17,54.2659
2024-09-16,53.8551
2024-09-13,55.377
2024-09-12,55.2126
2024-09-11,54.657
2024-09-10,54.025
2024-09-09,50.7294
2024-09-06,48.7774
2024-09-05,56.1995
2024-09-04,52.3902
2024-09-03,48.9358
2024-08-30,50.3176
2024-08-29,47.1554
2024-08-28,46.9382
2024-08-27,48.1658
2024-08-26,49.5903
2024-08-23,52.1971
2024-08-22,48.7177
2024-08-21,53.5514
2024-08-20,52.7855
2024-08-19,53.4101
2024-08-16,51.1742
2024-08-15,50.4971
2024-08-14,45.9046
2024-08-13,48.045
2024-08-12,44.0736
2024-08-09,44.8644
2024-08-08,44.4266
2024-08-07,41.7443
2024-08-06,44.2915
2024-08-05,43.644
2024-08-02,46.1913
2024-08-01,49.0336
2024-07-31,54.2859
2024-07-30,51.2006
2024-07-29,54.7202
2024-07-26,50.5285
2024-07-25,50.6916
2024-07-24,49.2174
2024-07-23,61.7238
2024-07-22,64.3459
2024-07-19,60.5229
2024-07-18,66.0007
2024-07-17,65.7866
2024-07-16,70.4393
2024-07-15,69.4407
2024-07-12,68.2961
2024-07-11,66.3407
2024-07-10,80.9931
2024-07-09,80.8248
2024-07-08,79.0447
2024-07-05,78.7615
2024-07-03,77.7283
2024-07-02,74.2137
2024-07-01,67.2746
2024-06-28,61.8089
2024-06-27,61.5748
2024-06-26,61.0571
2024-06-25,56.247
2024-06-24,53.3524
2024-06-21,53.6564
2024-06-20,52.8008
2024-06-18,55.005
2024-06-17,56.7705
2024-06-14,51.3481
2024-06-13,54.4148
2024-06-12,51.199
2024-06-11,46.6201
2024-06-10,48.6681
2024-06-07,51.1864
2024-06-06,51.502
2024-06-05,49.6158
2024-06-04,49.4697
2024-06-03,50.3868
2024-05-31,51.4539
2024-05-30,51.8678
2024-05-29,50.482
2024-05-28,50.7812
2024-05-24,52.085
2024-05-23,49.3564
2024-05-22,52.6556
2024-05-21,56.298
2024-05-20,50.4533
2024-05-17,51.8733
2024-05-16,50.4916
2024-05-15,50.0496
2024-05-14,51.8929
2024-05-13,49.0593
2024-05-10,47.2766
2024-05-09,48.9417
2024-05-08,50.2631
2024-05-07,51.7548
2024-05-06,55.2587
2024-05-03,53.7301
2024-05-02,53.2283
2024-05-01,53.2201
2024-04-30,54.7134
2024-04-29,59.9444
2024-04-26,48.8278
2024-04-25,49.7909
2024-04-24,45.4359
2024-04-23,33.5699
2024-04-22,31.435
2024-04-19,33.3721
2024-04-18,34.5366
2024-04-17,36.8799
2024-04-16,37.6089
2024-04-15,39.5647
2024-04-12,44.3648
2024-04-11,46.3463
2024-04-10,44.4611
