date,SMA
2024-10-04,241.5035
2024-10-03,239.536
2024-10-02,239.0115
2024-10-01,237.531
2024-09-30,235.16
2024-09-27,232.784
2024-09-26,230.075
2024-09-25,227.6515
2024-09-24,225.261
2024-09-23,223.208
2024-09-20,221.724
2024-09-19,220.3445
2024-09-18,219.312
2024-09-17,219.007
2024-09-16,218.7495
2024-09-13,218.2165
2024-09-12,217.409
2024-09-11,215.9875
2024-09-10,214.9725
2024-09-09,213.5385
2024-09-06,212.725
2024-09-05,212.1305
2024-09-04,210.21
2024-09-03,209.2715
2024-08-30,208.6855
2024-08-29,208.3635
2024-08-28,208.8925
2024-08-27,210.2085
2024-08-26,210.879
2024-08-23,211.8235
2024-08-22,211.7975
2024-08-21,212.277
2024-08-20,211.913
2024-08-19,213.177
2024-08-16,214.6165
2024-08-15,215.7705
2024-08-14,217.525
2024-08-13,219.881
2024-08-12,222.3175
2024-08-09,225.075
2024-08-08,227.4865
2024-08-07,229.596
2024-08-06,233.171
2024-08-05,236.2555
2024-08-02,238.9585
2024-08-01,241.151
2024-07-31,242.6275
2024-07-30,242.587
2024-07-29,241.949
2024-07-26,240.238
2024-07-25,239.119
2024-07-24,237.925
2024-07-23,236.493
2024-07-22,233.303
2024-07-19,229.878
2024-07-18,226.9965
2024-07-17,223.778
2024-07-16,220.725
2024-07-15,216.7975
2024-07-12,213.289
2024-07-11,209.742
2024-07-10,206.2235
2024-07-09,201.75
2024-07-08,197.5075
2024-07-05,193.7575
2024-07-03,189.9315
2024-07-02,186.3505
2024-07-01,183.602
2024-06-28,182.013
2024-06-27,181.0585
2024-06-26,179.997
2024-06-25,179.016
2024-06-24,178.6105
2024-06-21,178.1685
2024-06-20,178.0235
2024-06-18,178.275
2024-06-17,177.7795
2024-06-14,177.2805
2024-06-13,177.122
2024-06-12,176.698
2024-06-11,176.711
2024-06-10,176.7725
2024-06-07,176.5065
2024-06-06,176.231
2024-06-05,176.07
2024-06-04,176.2105
2024-06-03,176.71
2024-05-31,176.955
2024-05-30,177.0515
2024-05-29,177.1115
2024-05-28,177.466
2024-05-24,178.331
2024-05-23,177.7835
2024-05-22,177.6055
2024-05-21,176.7065
2024-05-20,174.6105
2024-05-17,172.9655
2024-05-16,171.445
2024-05-15,170.1995
2024-05-14,169.2725
2024-05-13,168.2505
2024-05-10,167.73
2024-05-09,167.859
2024-05-08,167.9905
2024-05-07,167.8425
2024-05-06,167.796
2024-05-03,167.207
2024-05-02,166.3925
2024-05-01,165.9475
2024-04-30,165.367
2024-04-29,164.5345
2024-04-26,163.593
2024-04-25,163.968
2024-04-24,164.4505
2024-04-23,165.2275
2024-04-22,166.625
2024-04-19,168.064
2024-04-18,169.3525
2024-04-17,170.639
2024-04-16,171.4325
2024-04-15,172.267
2024-04-12,172.3715
2024-04-11,171.944
2024-04-10,171.688
2024-04-09,171.977
2024-04-08,172.0215
2024-04-05,172.1395
2024-04-04,172.827
2024-04-03,173.0985
2024-04-02,173.7165
2024-04-01,174.792
