date,ADX
2024-10-04,14.9359
2024-10-03,14.9918
2024-10-02,15.6888
2024-10-01,16.2312
2024-09-30,16.8021
2024-09-27,17.3318
2024-09-26,17.6586
2024-09-25,18.3053
2024-09-24,18.986
2024-09-23,19.4487
2024-09-20,19.4144
2024-09-19,19.5183
2024-09-18,19.6221
2024-09-17,19.8222
2024-09-16,20.1927
2024-09-13,20.8858
2024-09-12,21.9748
2024-09-11,22.9907
2024-09-10,23.9045
2024-09-09,24.933
2024-09-06,25.3084
2024-09-05,25.7035
2024-09-04,25.4643
2024-09-03,24.5757
2024-08-30,23.6403
2024-08-29,22.708
2024-08-28,21.9068
2024-08-27,21.2459
2024-08-26,20.7634
2024-08-23,20.262
2024-08-22,19.9073
2024-08-21,19.8743
2024-08-20,19.883
2024-08-19,19.6663
2024-08-16,19.4382
2024-08-15,19.3583
2024-08-14,19.3256
2024-08-13,19.6673
2024-08-12,20.4606
2024-08-09,21.2957
2024-08-08,22.2394
2024-08-07,23.4088
2024-08-06,24.6398
2024-08-05,25.6598
2024-08-02,26.1073
2024-08-01,27.422
2024-07-31,27.7651
2024-07-30,27.0375
2024-07-29,26.3436
2024-07-26,25.9405
2024-07-25,25.5162
2024-07-24,25.1967
2024-07-23,25.0409
2024-07-22,24.1012
2024-07-19,23.2576
2024-07-18,22.2916
2024-07-17,20.6412
2024-07-16,19.0121
2024-07-15,17.5192
2024-07-12,16.2545
2024-07-11,15.2937
2024-07-10,14.5006
2024-07-09,14.0456
2024-07-08,13.5667
2024-07-05,13.2344
2024-07-03,13.106
2024-07-02,12.6192
2024-07-01,12.1811
2024-06-28,11.8487
2024-06-27,11.6808
2024-06-26,11.8841
2024-06-25,11.9642
2024-06-24,11.5687
2024-06-21,11.0416
2024-06-20,11.096
2024-06-18,11.0894
2024-06-17,11.4648
2024-06-14,11.9551
2024-06-13,12.0662
2024-06-12,12.3404
2024-06-11,12.9451
2024-06-10,13.3368
2024-06-07,13.7917
2024-06-06,14.0197
2024-06-05,14.5287
2024-06-04,15.2513
2024-06-03,16.0118
2024-05-31,16.7933
2024-05-30,17.616
2024-05-29,17.9008
2024-05-28,17.9416
2024-05-24,18.3162
2024-05-23,19.2562
2024-05-22,20.2457
2024-05-21,20.3739
2024-05-20,20.3027
2024-05-17,20.2278
2024-05-16,19.6105
2024-05-15,19.0651
2024-05-14,18.6458
2024-05-13,18.5372
2024-05-10,18.423
2024-05-09,18.1271
2024-05-08,18.0586
2024-05-07,18.2461
2024-05-06,18.6017
2024-05-03,19.2338
2024-05-02,20.2404
2024-05-01,21.1753
2024-04-30,22.283
2024-04-29,23.351
2024-04-26,24.3788
2024-04-25,25.3218
2024-04-24,26.3307
2024-04-23,26.9032
2024-04-22,27.4527
2024-04-19,28.1529
2024-04-18,29.568
2024-04-17,30.8546
2024-04-16,31.9022
2024-04-15,33.0049
2024-04-12,34.3905
2024-04-11,35.5477
2024-04-10,37.2526
2024-04-09,38.8736
2024-04-08,39.9808
2024-04-05,40.5012
2024-04-04,41.1912
2024-04-03,41.9174
2024-04-02,41.958
2024-04-01,42.1188
2024-03-28,41.8834
2024-03-27,41.5278
2024-03-26,41.3797
2024-03-25,41.5236
2024-03-22,41.7316
2024-03-21,41.7058
2024-03-20,41.2488
2024-03-19,41.0633
2024-03-18,41.3068
2024-03-15,41.7345
2024-03-14,42.2803
2024-03-13,42.6771
2024-03-12,42.4665
2024-03-11,42.4027
2024-03-08,42.5601
2024-03-07,42.3601
2024-03-06,42.1496
2024-03-05,42.0111
2024-03-04,41.945
2024-03-01,41.9799
2024-02-29,42.0812
2024-02-28,42.1603
2024-02-27,42.281
2024-02-26,42.6233
2024-02-23,42.8235
2024-02-22,42.7019
2024-02-21,42.7227
2024-02-20,43.2168
2024-02-16,43.7369
2024-02-15,43.8786
2024-02-14,44.0278
2024-02-13,44.7735
2024-02-12,45.629
2024-02-09,45.4456
2024-02-08,45.5157
2024-02-07,45.5978
2024-02-06,45.5822
2024-02-05,45.7853
2024-02-02,46.0031
2024-02-01,46.0617
2024-01-31,46.3605
2024-01-30,45.6509
2024-01-29,45.0052
2024-01-26,44.6674
2024-01-25,44.3593
2024-01-24,44.1654
2024-01-23,43.9768
2024-01-22,44.048
2024-01-19,44.0916
2024-01-18,44.4193
2024-01-17,45.4442
2024-01-16,46.4156
2024-01-12,47.1557
2024-01-11,47.191
2024-01-10,47.4018
2024-01-09,47.0988
2024-01-08,46.6054
2024-01-05,46.0861
2024-01-04,45.5821
2024-01-03,45.0938
2024-01-02,44.7544
2023-12-29,44.2794
2023-12-28,43.6405
2023-12-27,42.855
2023-12-26,42.142
2023-12-22,41.4219
2023-12-21,40.7055
2023-12-20,40.0851
2023-12-19,39.4321
2023-12-18,38.2089
2023-12-15,36.9981
2023-12-14,35.806
2023-12-13,34.1915
2023-12-12,32.699
2023-12-11,31.4756
2023-12-08,30.3192
2023-12-07,29.2634
2023-12-06,28.3267
2023-12-05,27.3406
2023-12-04,26.5024
2023-12-01,25.3488
2023-11-30,24.1781
2023-11-29,23.1811
2023-11-28,22.2883
2023-11-27,21.6558
2023-11-24,21.0399
2023-11-22,20.2506
2023-11-21,19.5031
2023-11-20,18.8221
2023-11-17,18.1052
2023-11-16,17.5315
2023-11-15,17.0659
2023-11-14,16.6428
2023-11-13,16.2857
2023-11-10,16.6635
2023-11-09,17.0726
2023-11-08,17.6269
2023-11-07,18.3571
2023-11-06,19.0534
2023-11-03,19.7863
2023-11-02,20.3873
2023-11-01,21.2851
2023-10-31,21.3597
2023-10-30,20.9191
2023-10-27,19.9702
2023-10-26,18.8641
2023-10-25,18.2175
2023-10-24,17.5747
2023-10-23,16.9355
2023-10-20,16.2545
2023-10-19,15.7121
2023-10-18,15.641
2023-10-17,16.0187
2023-10-16,16.8541
2023-10-13,17.4193
2023-10-12,17.9169
2023-10-11,18.1277
2023-10-10,18.5806
2023-10-09,19.1187
2023-10-06,19.0992
2023-10-05,19.0787
2023-10-04,18.3674
2023-10-03,17.26
2023-10-02,16.1192
2023-09-29,15.3384
2023-09-28,14.9222
2023-09-27,14.6853
2023-09-26,14.0259
2023-09-25,13.6598
2023-09-22,13.6001
2023-09-21,13.791
2023-09-20,14.3908
2023-09-19,14.2052
2023-09-18,14.1597
2023-09-15,14.1828
2023-09-14,14.0303
2023-09-13,13.8697
2023-09-12,13.9361
2023-09-11,14.006
2023-09-08,14.5175
2023-09-07,15.0526
2023-09-06,15.624
2023-09-05,16.2254
2023-09-01,16.8936
2023-08-31,17.2101
2023-08-30,17.8122
2023-08-29,18.2813
2023-08-28,19.0982
2023-08-25,19.931
