date,EMA
2024-10-04,44.9706
2024-10-03,44.8991
2024-10-02,44.9001
2024-10-01,44.8759
2024-09-30,44.8544
2024-09-27,44.8054
2024-09-26,44.7691
2024-09-25,44.7427
2024-09-24,44.7377
2024-09-23,44.7038
2024-09-20,44.6263
2024-09-19,44.5349
2024-09-18,44.4307
2024-09-17,44.3681
2024-09-16,44.2841
2024-09-13,44.2165
2024-09-12,44.2026
2024-09-11,44.2008
2024-09-10,44.2094
2024-09-09,44.1968
2024-09-06,44.1347
2024-09-05,44.1352
2024-09-04,44.0666
2024-09-03,43.9383
2024-08-30,43.8018
2024-08-29,43.6152
2024-08-28,43.4541
2024-08-27,43.318
2024-08-26,43.1791
2024-08-23,43.0497
2024-08-22,42.9214
2024-08-21,42.8194
2024-08-20,42.7329
2024-08-19,42.6299
2024-08-16,42.5014
2024-08-15,42.3846
2024-08-14,42.289
2024-08-13,42.2254
2024-08-12,42.2095
2024-08-09,42.2287
2024-08-08,42.2269
2024-08-07,42.2437
2024-08-06,42.3326
2024-08-05,42.436
2024-08-02,42.6196
2024-08-01,42.6946
2024-07-31,42.6663
2024-07-30,42.5699
2024-07-29,42.4519
2024-07-26,42.3739
2024-07-25,42.2814
2024-07-24,42.2494
2024-07-23,42.2309
2024-07-22,42.1485
2024-07-19,42.0658
2024-07-18,41.9997
2024-07-17,41.8803
2024-07-16,41.6929
2024-07-15,41.5203
2024-07-12,41.381
2024-07-11,41.292
2024-07-10,41.2083
2024-07-09,41.1504
2024-07-08,41.1032
2024-07-05,41.0847
2024-07-03,41.0526
2024-07-02,41.0161
2024-07-01,40.9621
2024-06-28,40.9528
2024-06-27,40.9519
2024-06-26,40.9656
2024-06-25,40.9755
2024-06-24,40.9592
2024-06-21,40.9087
2024-06-20,40.897
2024-06-18,40.8674
2024-06-17,40.8577
2024-06-14,40.874
2024-06-13,40.9298
2024-06-12,40.9778
2024-06-11,41.0277
2024-06-10,41.0787
2024-06-07,41.0859
2024-06-06,41.0773
2024-06-05,41.0875
2024-06-04,41.0967
2024-06-03,41.1195
2024-05-31,41.1248
2024-05-30,41.1034
2024-05-29,41.1426
2024-05-28,41.2088
2024-05-24,41.2475
2024-05-23,41.2422
2024-05-22,41.2625
2024-05-21,41.2244
2024-05-20,41.1571
2024-05-17,41.111
2024-05-16,40.9994
2024-05-15,40.9085
2024-05-14,40.808
2024-05-13,40.7293
2024-05-10,40.6643
2024-05-09,40.5746
2024-05-08,40.4923
2024-05-07,40.4336
2024-05-06,40.3845
2024-05-03,40.3448
2024-05-02,40.3552
2024-05-01,40.3762
2024-04-30,40.4098
2024-04-29,40.4469
2024-04-26,40.4462
2024-04-25,40.4391
2024-04-24,40.425
2024-04-23,40.3844
2024-04-22,40.3384
2024-04-19,40.3148
2024-04-18,40.3398
2024-04-17,40.425
2024-04-16,40.5337
2024-04-15,40.6643
2024-04-12,40.7805
2024-04-11,40.888
2024-04-10,40.9504
2024-04-09,40.9891
2024-04-08,40.9671
2024-04-05,40.9177
2024-04-04,40.8819
2024-04-03,40.883
2024-04-02,40.8352
2024-04-01,40.7803
2024-03-28,40.6966
2024-03-27,40.58
2024-03-26,40.4753
2024-03-25,40.4107
2024-03-22,40.3539
2024-03-21,40.2744
2024-03-20,40.1364
2024-03-19,40.0194
2024-03-18,39.9413
2024-03-15,39.8758
2024-03-14,39.8277
2024-03-13,39.7703
2024-03-12,39.6725
2024-03-11,39.5957
2024-03-08,39.5285
2024-03-07,39.4615
2024-03-06,39.3947
2024-03-05,39.3146
2024-03-04,39.248
2024-03-01,39.1754
2024-02-29,39.1056
2024-02-28,39.0232
2024-02-27,38.9301
2024-02-26,38.8428
2024-02-23,38.7577
2024-02-22,38.6429
2024-02-21,38.5367
2024-02-20,38.4673
2024-02-16,38.4031
2024-02-15,38.3207
2024-02-14,38.215
2024-02-13,38.168
2024-02-12,38.1545
2024-02-09,38.0844
2024-02-08,38.0257
2024-02-07,37.9722
2024-02-06,37.8975
2024-02-05,37.8451
2024-02-02,37.7956
2024-02-01,37.7168
2024-01-31,37.6465
2024-01-30,37.575
2024-01-29,37.446
2024-01-26,37.3544
2024-01-25,37.2636
2024-01-24,37.1777
2024-01-23,37.1027
2024-01-22,37.0353
2024-01-19,36.9671
2024-01-18,36.9105
2024-01-17,36.9104
2024-01-16,36.9164
2024-01-12,36.9159
2024-01-11,36.8882
2024-01-10,36.8503
2024-01-09,36.7939
2024-01-08,36.7377
2024-01-05,36.6507
2024-01-04,36.5795
2024-01-03,36.5174
2024-01-02,36.4644
2023-12-29,36.3726
2023-12-28,36.2877
2023-12-27,36.1814
2023-12-26,36.0754
2023-12-22,35.9706
2023-12-21,35.8705
2023-12-20,35.7682
2023-12-19,35.6925
2023-12-18,35.5392
2023-12-15,35.3989
2023-12-14,35.2566
2023-12-13,35.0765
2023-12-12,34.9158
2023-12-11,34.7993
2023-12-08,34.6974
2023-12-07,34.6076
2023-12-06,34.528
2023-12-05,34.4577
2023-12-04,34.3613
2023-12-01,34.2362
2023-11-30,34.0937
