date,RSI
2024-10-04,60.4236
2024-10-03,54.6331
2024-10-02,57.1412
2024-10-01,56.7482
2024-09-30,59.2246
2024-09-27,57.991
2024-09-26,57.047
2024-09-25,55.361
2024-09-24,57.8954
2024-09-23,61.67
2024-09-20,62.2227
2024-09-19,62.5147
2024-09-18,59.5065
2024-09-17,60.8044
2024-09-16,59.3608
2024-09-13,55.607
2024-09-12,54.7164
2024-09-11,54.0426
2024-09-10,55.6959
2024-09-09,59.4826
2024-09-06,55.3443
2024-09-05,61.2914
2024-09-04,66.4289
2024-09-03,66.1594
2024-08-30,69.7776
2024-08-29,67.6521
2024-08-28,65.5084
2024-08-27,64.9008
2024-08-26,63.6279
2024-08-23,62.8489
2024-08-22,60.677
2024-08-21,59.1857
2024-08-20,59.7888
2024-08-19,60.9693
2024-08-16,59.6726
2024-08-15,57.901
2024-08-14,55.5839
2024-08-13,52.3445
2024-08-12,50.0135
2024-08-09,51.5183
2024-08-08,50.3573
2024-08-07,45.7647
2024-08-06,45.4067
2024-08-05,40.479
2024-08-02,48.1037
2024-08-01,56.9594
2024-07-31,63.4501
2024-07-30,64.6926
2024-07-29,61.4312
2024-07-26,62.085
2024-07-25,57.2596
2024-07-24,55.9889
2024-07-23,62.4982
2024-07-22,61.9281
2024-07-19,60.2037
2024-07-18,65.3596
2024-07-17,72.4608
2024-07-16,70.5694
2024-07-15,67.4123
2024-07-12,62.5881
2024-07-11,61.361
2024-07-10,58.2983
2024-07-09,56.7181
2024-07-08,53.3601
2024-07-05,54.7472
2024-07-03,54.8704
2024-07-02,56.4387
2024-07-01,51.5847
2024-06-28,50.6043
2024-06-27,49.0805
2024-06-26,49.5997
2024-06-25,52.3342
2024-06-24,55.82
2024-06-21,51.6649
2024-06-20,53.4729
2024-06-18,51.2442
2024-06-17,48.4731
2024-06-14,44.3096
2024-06-13,45.5729
2024-06-12,45.8595
2024-06-11,46.2278
2024-06-10,50.7799
2024-06-07,52.4503
2024-06-06,50.6178
2024-06-05,50.8136
2024-06-04,49.7045
2024-06-03,51.4495
2024-05-31,53.91
2024-05-30,48.5118
2024-05-29,46.3218
2024-05-28,49.3106
2024-05-24,53.9173
2024-05-23,51.5819
2024-05-22,58.0679
2024-05-21,61.0874
2024-05-20,58.7976
2024-05-17,66.8221
2024-05-16,64.3518
2024-05-15,64.3518
2024-05-14,61.7837
2024-05-13,59.9259
2024-05-10,62.2533
2024-05-09,60.8954
2024-05-08,58.1223
2024-05-07,56.7113
2024-05-06,55.3781
2024-05-03,49.9379
2024-05-02,48.9139
2024-05-01,47.7864
2024-04-30,47.7864
2024-04-29,51.9231
2024-04-26,52.5716
2024-04-25,53.2029
2024-04-24,55.7465
2024-04-23,55.8522
2024-04-22,53.6831
2024-04-19,49.2155
2024-04-18,43.3934
2024-04-17,41.7793
2024-04-16,40.6306
2024-04-15,42.7964
2024-04-12,44.4644
2024-04-11,49.4031
2024-04-10,52.3707
2024-04-09,59.6481
2024-04-08,62.8603
2024-04-05,61.3784
2024-04-04,57.9226
2024-04-03,64.5335
2024-04-02,64.8327
2024-04-01,68.133
