date,SMA
2024-10-04,44.9735
2024-10-03,44.8975
2024-10-02,44.8923
2024-10-01,44.9001
2024-09-30,44.9079
2024-09-27,44.9206
2024-09-26,44.9204
2024-09-25,44.9067
2024-09-24,44.8991
2024-09-23,44.8665
2024-09-20,44.808
2024-09-19,44.7278
2024-09-18,44.6336
2024-09-17,44.5679
2024-09-16,44.5021
2024-09-13,44.4363
2024-09-12,44.3835
2024-09-11,44.3173
2024-09-10,44.2301
2024-09-09,44.115
2024-09-06,43.988
2024-09-05,43.8849
2024-09-04,43.7155
2024-09-03,43.5187
2024-08-30,43.2915
2024-08-29,43.1082
2024-08-28,42.9991
2024-08-27,42.9408
2024-08-26,42.8935
2024-08-23,42.8327
2024-08-22,42.7819
2024-08-21,42.7166
2024-08-20,42.6558
2024-08-19,42.6209
2024-08-16,42.5751
2024-08-15,42.5293
2024-08-14,42.5213
2024-08-13,42.5597
2024-08-12,42.6075
2024-08-09,42.6483
2024-08-08,42.6474
2024-08-07,42.6483
2024-08-06,42.6663
2024-08-05,42.6787
2024-08-02,42.7081
2024-08-01,42.6822
2024-07-31,42.604
2024-07-30,42.5014
2024-07-29,42.3694
2024-07-26,42.2578
2024-07-25,42.1362
2024-07-24,42.0505
2024-07-23,41.9858
2024-07-22,41.907
2024-07-19,41.8113
2024-07-18,41.7355
2024-07-17,41.6269
2024-07-16,41.4789
2024-07-15,41.3295
2024-07-12,41.211
2024-07-11,41.1249
2024-07-10,41.0477
2024-07-09,41.0103
2024-07-08,40.9888
2024-07-05,40.9738
2024-07-03,40.9543
2024-07-02,40.9284
2024-07-01,40.9054
2024-06-28,40.9192
2024-06-27,40.9077
2024-06-26,40.8923
2024-06-25,40.8908
2024-06-24,40.8992
2024-06-21,40.8797
2024-06-20,40.91
2024-06-18,40.9442
2024-06-17,40.976
2024-06-14,41.0494
2024-06-13,41.1253
2024-06-12,41.1948
2024-06-11,41.2474
2024-06-10,41.2876
2024-06-07,41.3129
2024-06-06,41.3223
2024-06-05,41.3258
2024-06-04,41.3208
2024-06-03,41.3149
2024-05-31,41.2737
2024-05-30,41.2151
2024-05-29,41.1814
2024-05-28,41.1586
2024-05-24,41.1392
2024-05-23,41.1
2024-05-22,41.0762
2024-05-21,41.0355
2024-05-20,40.9834
2024-05-17,40.9318
2024-05-16,40.8271
2024-05-15,40.7105
2024-05-14,40.5869
2024-05-13,40.4738
2024-05-10,40.3844
2024-05-09,40.2966
2024-05-08,40.2435
2024-05-07,40.2202
2024-05-06,40.2351
2024-05-03,40.2688
2024-05-02,40.3194
2024-05-01,40.3552
2024-04-30,40.4192
