date,ADX
2024-10-04,12.1796
2024-10-03,12.5195
2024-10-02,13.0542
2024-10-01,13.6673
2024-09-30,14.3127
2024-09-27,14.6191
2024-09-26,14.767
2024-09-25,14.8443
2024-09-24,15.3278
2024-09-23,15.9736
2024-09-20,16.8052
2024-09-19,17.6806
2024-09-18,18.4495
2024-09-17,19.1592
2024-09-16,20.0246
2024-09-13,20.7242
2024-09-12,21.5774
2024-09-11,22.3965
2024-09-10,22.9932
2024-09-09,22.7249
2024-09-06,21.9466
2024-09-05,21.1274
2024-09-04,20.6295
2024-09-03,20.1054
2024-08-30,19.6741
2024-08-29,19.9701
2024-08-28,20.2817
2024-08-27,20.6781
2024-08-26,21.2034
2024-08-23,21.8835
2024-08-22,22.7031
2024-08-21,23.5658
2024-08-20,24.7814
2024-08-19,26.0572
2024-08-16,27.3295
2024-08-15,28.3588
2024-08-14,29.3864
2024-08-13,29.9258
2024-08-12,30.2515
2024-08-09,30.0218
2024-08-08,29.5135
2024-08-07,28.7739
2024-08-06,27.9953
2024-08-05,26.9541
2024-08-02,25.4901
2024-08-01,24.4072
2024-07-31,23.6709
2024-07-30,23.3471
2024-07-29,22.5185
2024-07-26,22.1378
2024-07-25,21.5876
2024-07-24,21.0083
2024-07-23,20.806
2024-07-22,21.6596
2024-07-19,22.4265
2024-07-18,22.9556
2024-07-17,23.6576
2024-07-16,24.7484
2024-07-15,24.9617
2024-07-12,24.9596
2024-07-11,24.9875
2024-07-10,25.0169
2024-07-09,24.3467
2024-07-08,23.8018
2024-07-05,23.3387
2024-07-03,22.9802
2024-07-02,22.7775
2024-07-01,22.9362
2024-06-28,23.2004
2024-06-27,22.9823
2024-06-26,23.1036
2024-06-25,23.2512
2024-06-24,23.4907
2024-06-21,23.7428
2024-06-20,23.1507
2024-06-18,22.3901
2024-06-17,21.0685
2024-06-14,19.6964
2024-06-13,18.5962
2024-06-12,17.4416
2024-06-11,16.2648
2024-06-10,15.7427
2024-06-07,15.6548
2024-06-06,15.5919
2024-06-05,15.585
2024-06-04,15.6131
2024-06-03,16.2749
2024-05-31,16.9715
2024-05-30,17.795
2024-05-29,18.1844
2024-05-28,17.6211
2024-05-24,16.806
2024-05-23,16.0617
2024-05-22,15.2782
2024-05-21,14.6574
2024-05-20,14.1177
2024-05-17,13.5863
2024-05-16,13.2506
2024-05-15,12.5958
2024-05-14,11.9909
2024-05-13,11.9399
2024-05-10,12.0958
2024-05-09,12.3275
2024-05-08,12.8517
2024-05-07,13.4034
2024-05-06,13.8651
2024-05-03,14.4501
2024-05-02,15.1115
2024-05-01,14.808
2024-04-30,14.4886
2024-04-29,14.4028
2024-04-26,14.7756
2024-04-25,15.168
2024-04-24,14.9875
2024-04-23,15.1085
