date,EMA
2024-10-04,221.3028
2024-10-03,220.8831
2024-10-02,220.6802
2024-10-01,220.5529
2024-09-30,220.5837
2024-09-27,220.0388
2024-09-26,219.5061
2024-09-25,218.6941
2024-09-24,218.1093
2024-09-23,217.5302
2024-09-20,217.0503
2024-09-19,216.5154
2024-09-18,215.8097
2024-09-17,215.7075
2024-09-16,215.3843
2024-09-13,214.982
2024-09-12,214.449
2024-09-11,213.9755
2024-09-10,213.6413
2024-09-09,214.0264
2024-09-06,214.7777
2024-09-05,215.9591
2024-09-04,216.6943
2024-09-03,217.4732
2024-08-30,218.2774
2024-08-29,218.1028
2024-08-28,218.2136
2024-08-27,218.128
2024-08-26,217.7108
2024-08-23,217.3904
2024-08-22,216.7411
2024-08-21,216.3986
2024-08-20,215.4747
2024-08-19,214.5922
2024-08-16,213.5338
2024-08-15,212.7475
2024-08-14,211.9173
2024-08-13,211.6491
2024-08-12,211.4757
2024-08-09,211.9532
2024-08-08,212.6576
2024-08-07,213.5328
2024-08-06,215.2745
2024-08-05,216.8581
2024-08-02,218.891
2024-08-01,220.4212
2024-07-31,221.4906
2024-07-30,221.815
2024-07-29,223.1078
2024-07-26,223.9681
2024-07-25,224.8182
2024-07-24,226.0425
2024-07-23,227.1529
2024-07-22,227.4009
2024-07-19,227.5805
2024-07-18,228.3285
2024-07-17,228.7865
2024-07-16,229.2947
2024-07-15,228.9024
2024-07-12,228.3868
2024-07-11,227.8611
2024-07-10,227.4975
2024-07-09,226.4705
2024-07-08,225.6926
2024-07-05,224.8129
2024-07-03,224.0076
2024-07-02,223.1922
2024-07-01,222.6156
2024-06-28,222.0981
2024-06-27,221.7058
2024-06-26,221.2596
2024-06-25,220.7781
2024-06-24,220.2184
2024-06-21,220.0286
2024-06-20,219.2325
2024-06-18,218.3107
2024-06-17,217.0191
2024-06-14,215.622
2024-06-13,214.4396
2024-06-12,213.222
2024-06-11,212.0628
2024-06-10,211.2925
2024-06-07,210.8627
2024-06-06,210.4454
2024-06-05,210.0365
2024-06-04,209.5092
2024-06-03,209.4182
2024-05-31,209.3638
2024-05-30,209.3592
2024-05-29,209.3888
2024-05-28,208.9076
2024-05-24,208.232
2024-05-23,207.5807
2024-05-22,207.0497
2024-05-21,206.2792
2024-05-20,205.478
2024-05-17,204.6291
2024-05-16,203.9521
2024-05-15,203.1545
2024-05-14,202.1953
2024-05-13,201.6271
2024-05-10,201.191
2024-05-09,200.8107
2024-05-08,200.4702
2024-05-07,200.0874
2024-05-06,199.7253
2024-05-03,199.2547
2024-05-02,198.9842
2024-05-01,199.2611
2024-04-30,199.8608
2024-04-29,200.3128
2024-04-26,200.3488
2024-04-25,200.4787
2024-04-24,200.8563
2024-04-23,201.2285
2024-04-22,201.7342
2024-04-19,202.5953
2024-04-18,203.7275
2024-04-17,204.554
2024-04-16,205.2294
2024-04-15,205.6707
2024-04-12,206.1836
2024-04-11,206.3415
2024-04-10,206.1614
2024-04-09,206.3914
2024-04-08,206.3792
2024-04-05,206.4748
2024-04-04,206.5553
2024-04-03,206.8896
2024-04-02,206.9152
2024-04-01,207.0011
2024-03-28,206.8853
2024-03-27,206.8181
2024-03-26,206.6966
2024-03-25,206.6735
2024-03-22,206.5578
2024-03-21,206.2841
2024-03-20,205.9889
2024-03-19,205.6784
2024-03-18,205.5786
2024-03-15,205.5804
2024-03-14,205.6882
2024-03-13,205.4774
2024-03-12,205.2487
2024-03-11,204.7571
2024-03-08,204.6577
2024-03-07,204.4883
2024-03-06,203.9732
2024-03-05,203.7463
2024-03-04,203.6662
2024-03-01,203.0352
2024-02-29,202.3379
2024-02-28,201.963
2024-02-27,201.7873
2024-02-26,201.4916
2024-02-23,201.1836
2024-02-22,200.8641
2024-02-21,200.4607
2024-02-20,200.6976
2024-02-16,200.8275
2024-02-15,200.7554
2024-02-14,200.4788
2024-02-13,200.128
2024-02-12,199.9624
2024-02-09,199.4128
2024-02-08,198.6399
2024-02-07,198.0746
2024-02-06,197.5169
2024-02-05,197.18
2024-02-02,196.7103
2024-02-01,196.2394
2024-01-31,195.9356
2024-01-30,195.8606
2024-01-29,195.3336
2024-01-26,194.5753
2024-01-25,193.9309
2024-01-24,192.9726
2024-01-23,192.0025
2024-01-22,191.0757
2024-01-19,190.1362
2024-01-18,189.19
2024-01-17,188.6165
2024-01-16,188.3898
2024-01-12,188.0399
2024-01-11,187.7034
2024-01-10,187.3964
2024-01-09,187.1586
2024-01-08,187.0644
2024-01-05,186.9918
2024-01-04,187.3952
2024-01-03,187.8359
2024-01-02,188.1805
2023-12-29,188.3614
2023-12-28,188.0336
2023-12-27,187.6095
2023-12-26,187.1649
2023-12-22,186.6724
2023-12-21,186.2118
2023-12-20,185.729
2023-12-19,185.4183
2023-12-18,184.7703
2023-12-15,184.1304
2023-12-14,183.483
2023-12-13,182.8677
2023-12-12,182.1386
2023-12-11,181.5071
2023-12-08,180.9399
2023-12-07,180.4832
2023-12-06,180.1435
2023-12-05,180.0001
2023-12-04,179.6785
2023-12-01,179.438
2023-11-30,178.9361
2023-11-29,178.4252
2023-11-28,177.8888
2023-11-27,177.3105
2023-11-24,176.7079
2023-11-22,176.0409
2023-11-21,175.266
2023-11-20,174.4952
2023-11-17,173.4866
2023-11-16,172.6486
2023-11-15,171.6828
2023-11-14,170.7104
2023-11-13,169.6596
2023-11-10,168.8713
2023-11-09,167.8902
2023-11-08,167.2834
2023-11-07,166.527
2023-11-06,165.7945
2023-11-03,165.1823
2023-11-02,164.6238
2023-11-01,164.1892
2023-10-31,164.0047
2023-10-30,164.1319
2023-10-27,164.3938
2023-10-26,164.8639
2023-10-25,165.4807
2023-10-24,165.8365
2023-10-23,166.0259
2023-10-20,166.3534
2023-10-19,166.7351
2023-10-18,166.8624
2023-10-17,166.9029
2023-10-16,166.7657
2023-10-13,166.5316
2023-10-12,166.4421
2023-10-11,166.0872
2023-10-10,165.7117
2023-10-09,165.4607
2023-10-06,165.2104
2023-10-05,165.0247
2023-10-04,165.1422
2023-10-03,165.2952
2023-10-02,165.6763
2023-09-29,165.804
2023-09-28,166.129
2023-09-27,166.5467
2023-09-26,167.1285
2023-09-25,167.7977
2023-09-22,168.227
2023-09-21,168.7569
2023-09-20,169.3792
2023-09-19,169.8015
2023-09-18,169.9904
2023-09-15,170.1898
2023-09-14,170.4946
2023-09-13,170.4865
2023-09-12,170.6067
2023-09-11,170.7844
2023-09-08,170.6524
2023-09-07,170.6004
2023-09-06,170.5804
2023-09-05,170.2945
2023-09-01,169.7836
2023-08-31,169.2845
2023-08-30,168.7893
2023-08-29,168.3305
2023-08-28,167.96
2023-08-25,167.9061
2023-08-24,167.9903
2023-08-23,168.2607
2023-08-22,168.1487
2023-08-21,168.3409
2023-08-18,168.5334
2023-08-17,169.0747
2023-08-16,169.699
2023-08-15,170.2243
2023-08-14,170.6381
2023-08-11,170.9213
2023-08-10,171.5117
2023-08-09,172.0349
2023-08-08,172.6153
2023-08-07,173.0274
2023-08-04,173.3452
2023-08-03,173.7466
2023-08-02,173.9441
2023-08-01,174.0884
2023-07-31,173.7871
2023-07-28,173.4853
2023-07-27,173.1945
2023-07-26,173.1223
2023-07-25,172.9893
2023-07-24,172.5921
2023-07-21,172.3636
2023-07-20,172.1435
2023-07-19,171.8908
2023-07-18,171.2372
2023-07-17,170.4678
2023-07-14,169.8281
2023-07-13,169.3557
2023-07-12,168.8064
2023-07-11,168.4359
2023-07-10,168.2298
2023-07-07,168.0406
2023-07-06,167.8783
2023-07-05,167.6208
2023-07-03,167.2882
2023-06-30,166.809
2023-06-29,166.2409
2023-06-28,165.8965
2023-06-27,165.5471
2023-06-26,165.1714
2023-06-23,165.1002
2023-06-22,164.8954
2023-06-21,164.4761
2023-06-20,164.1565
2023-06-16,163.5385
2023-06-15,162.7339
2023-06-14,161.6948
2023-06-13,160.7772
2023-06-12,159.9462
2023-06-09,159.1348
2023-06-08,158.6137
2023-06-07,158.123
2023-06-06,157.7648
2023-06-05,157.1109
2023-06-02,156.384
