date,RSI
2024-10-04,55.7785
2024-10-03,53.5535
2024-10-02,52.715
2024-10-01,51.2333
2024-09-30,56.9544
2024-09-27,56.3993
2024-09-26,58.7094
2024-09-25,56.3288
2024-09-24,55.8072
2024-09-23,54.5833
2024-09-20,54.6225
2024-09-19,55.6183
2024-09-18,50.5505
2024-09-17,52.31
2024-09-16,52.6845
2024-09-13,53.3941
2024-09-12,52.5999
2024-09-11,51.3102
2024-09-10,45.7129
2024-09-09,43.0265
2024-09-06,39.9868
2024-09-05,43.5777
2024-09-04,43.7979
2024-09-03,44.1556
2024-08-30,51.668
2024-08-29,49.3292
2024-08-28,50.9334
2024-08-27,53.4959
2024-08-26,52.505
2024-08-23,54.8324
2024-08-22,52.2794
2024-08-21,56.7061
2024-08-20,55.8019
2024-08-19,56.4725
2024-08-16,54.0486
2024-08-15,53.8008
2024-08-14,49.4786
2024-08-13,48.6139
2024-08-12,43.6235
2024-08-09,42.2175
2024-08-08,41.4579
2024-08-07,34.9505
2024-08-06,36.6575
2024-08-05,34.1278
2024-08-02,37.76
2024-08-01,41.393
2024-07-31,47.3595
2024-07-30,38.1291
2024-07-29,42.4304
2024-07-26,43.2529
2024-07-25,40.141
2024-07-24,42.0064
2024-07-23,51.1099
2024-07-22,52.1466
2024-07-19,46.1122
2024-07-18,50.1437
2024-07-17,50.1201
2024-07-16,62.9819
2024-07-15,64.3291
2024-07-12,63.9345
2024-07-11,61.9643
2024-07-10,72.8281
2024-07-09,69.97
2024-07-08,70.3629
2024-07-05,68.978
2024-07-03,68.3506
2024-07-02,65.4626
2024-07-01,64.3216
2024-06-28,62.5589
2024-06-27,62.7656
2024-06-26,62.6582
2024-06-25,63.0669
2024-06-24,59.0888
2024-06-21,68.7034
2024-06-20,69.4718
2024-06-18,74.626
2024-06-17,74.4249
2024-06-14,71.9094
2024-06-13,71.2475
2024-06-12,69.8333
2024-06-11,65.4116
2024-06-10,60.9195
2024-06-07,60.2485
2024-06-06,59.6502
2024-06-05,60.9042
2024-06-04,55.0573
2024-06-03,54.4501
2024-05-31,53.7349
2024-05-30,53.3012
2024-05-29,61.4239
2024-05-28,64.0151
2024-05-24,63.031
2024-05-23,61.0283
2024-05-22,64.2427
