date,SMA
2024-10-04,220.5705
2024-10-03,219.4838
2024-10-02,218.792
2024-10-01,218.1622
2024-09-30,217.6409
2024-09-27,217.3497
2024-09-26,216.9472
2024-09-25,216.5376
2024-09-24,216.4296
2024-09-23,216.2868
2024-09-20,216.3603
2024-09-19,216.2535
2024-09-18,216.3513
2024-09-17,216.7051
2024-09-16,216.9986
2024-09-13,217.0885
2024-09-12,217.1179
2024-09-11,216.8938
2024-09-10,216.7012
2024-09-09,216.5489
2024-09-06,216.4676
2024-09-05,216.507
2024-09-04,215.9076
2024-09-03,215.4544
2024-08-30,214.84
2024-08-29,214.0609
2024-08-28,213.7215
2024-08-27,213.6906
2024-08-26,213.0627
2024-08-23,212.7717
2024-08-22,212.3884
2024-08-21,212.048
2024-08-20,211.5639
2024-08-19,211.6108
2024-08-16,211.6632
2024-08-15,211.6367
2024-08-14,211.8039
2024-08-13,212.2786
2024-08-12,213.2648
2024-08-09,214.6079
2024-08-08,216.0139
2024-08-07,217.3625
2024-08-06,219.3759
2024-08-05,221.0573
2024-08-02,222.8826
2024-08-01,224.288
2024-07-31,225.3626
2024-07-30,225.8757
2024-07-29,226.7756
2024-07-26,227.3201
2024-07-25,227.8227
2024-07-24,228.4551
2024-07-23,228.9851
2024-07-22,228.8464
2024-07-19,228.9412
2024-07-18,229.317
2024-07-17,229.6471
2024-07-16,229.9638
2024-07-15,229.6554
2024-07-12,229.2658
2024-07-11,228.8084
2024-07-10,228.2117
2024-07-09,227.1178
2024-07-08,226.1661
2024-07-05,225.1801
2024-07-03,224.3093
2024-07-02,223.2402
2024-07-01,222.3035
2024-06-28,221.3973
2024-06-27,220.5599
2024-06-26,219.9607
2024-06-25,219.4353
2024-06-24,218.8515
2024-06-21,218.3817
2024-06-20,217.7206
2024-06-18,217.0156
2024-06-17,216.1637
2024-06-14,215.2021
2024-06-13,214.4359
2024-06-12,213.7489
2024-06-11,212.9168
2024-06-10,212.2363
2024-06-07,211.7077
2024-06-06,211.1686
2024-06-05,210.6575
2024-06-04,210.0815
2024-06-03,209.7727
2024-05-31,209.3671
2024-05-30,208.7145
2024-05-29,207.9387
2024-05-28,207.0191
2024-05-24,206.2513
2024-05-23,205.4861
2024-05-22,204.6994
2024-05-21,203.847
2024-05-20,202.9736
2024-05-17,201.9742
2024-05-16,201.0132
2024-05-15,200.2305
2024-05-14,199.524
2024-05-13,199.1962
2024-05-10,198.9476
2024-05-09,198.9416
2024-05-08,199.1419
2024-05-07,199.1354
2024-05-06,199.2844
2024-05-03,199.3481
2024-05-02,199.5424
2024-05-01,199.8937
2024-04-30,200.5478
2024-04-29,201.0744
2024-04-26,201.481
2024-04-25,201.9015
2024-04-24,202.4555
2024-04-23,202.9352
2024-04-22,203.5027
2024-04-19,204.2829
2024-04-18,205.1453
2024-04-17,205.7984
2024-04-16,206.2229
2024-04-15,206.4491
2024-04-12,206.6371
2024-04-11,206.7874
2024-04-10,206.7673
2024-04-09,207.0644
2024-04-08,207.0241
2024-04-05,207.0639
2024-04-04,207.2475
2024-04-03,207.385
2024-04-02,207.278
2024-04-01,207.4561
2024-03-28,207.534
2024-03-27,207.4528
2024-03-26,207.2358
2024-03-25,207.1198
2024-03-22,206.9521
2024-03-21,206.7051
2024-03-20,206.4855
