date,ADX
2024-10-04,18.9057
2024-10-03,19.1707
2024-10-02,19.5818
2024-10-01,20.2524
2024-09-30,21.2623
2024-09-27,22.2009
2024-09-26,23.3592
2024-09-25,24.1976
2024-09-24,25.191
2024-09-23,26.4724
2024-09-20,27.5044
2024-09-19,28.5064
2024-09-18,29.2978
2024-09-17,30.1309
2024-09-16,30.8777
2024-09-13,30.9496
2024-09-12,31.2885
2024-09-11,31.8402
2024-09-10,32.5801
2024-09-09,32.4637
2024-09-06,32.4293
2024-09-05,32.393
2024-09-04,32.3053
2024-09-03,31.036
2024-08-30,30.0545
2024-08-29,29.1482
2024-08-28,28.2995
2024-08-27,27.5003
2024-08-26,26.7543
2024-08-23,25.876
2024-08-22,25.0707
2024-08-21,24.2715
2024-08-20,23.4913
2024-08-19,22.67
2024-08-16,22.0953
2024-08-15,21.6945
2024-08-14,21.3145
2024-08-13,21.1665
2024-08-12,21.1795
2024-08-09,21.4918
2024-08-08,21.7388
2024-08-07,22.2968
2024-08-06,23.2957
2024-08-05,23.7785
2024-08-02,24.4828
2024-08-01,24.0365
2024-07-31,23.0437
2024-07-30,22.1726
2024-07-29,21.2192
2024-07-26,20.3571
2024-07-25,19.4496
2024-07-24,18.4944
2024-07-23,17.8677
2024-07-22,17.3896
2024-07-19,17.0127
2024-07-18,16.7381
2024-07-17,16.449
2024-07-16,15.2642
2024-07-15,14.3948
2024-07-12,13.7521
2024-07-11,12.9628
2024-07-10,12.4924
2024-07-09,12.5138
2024-07-08,13.1181
2024-07-05,13.6655
2024-07-03,14.3018
2024-07-02,14.9715
2024-07-01,15.4443
2024-06-28,15.3878
2024-06-27,15.5173
2024-06-26,15.9724
2024-06-25,16.0535
2024-06-24,15.8493
2024-06-21,15.533
2024-06-20,15.6194
2024-06-18,15.9401
2024-06-17,16.0996
2024-06-14,16.4564
2024-06-13,16.7989
2024-06-12,17.1593
2024-06-11,16.9868
2024-06-10,16.8689
2024-06-07,16.7447
2024-06-06,16.4722
2024-06-05,16.3697
2024-06-04,16.4718
2024-06-03,16.7204
2024-05-31,17.1175
2024-05-30,17.9976
2024-05-29,18.2009
2024-05-28,18.2126
2024-05-24,18.6385
2024-05-23,19.0876
2024-05-22,19.2876
2024-05-21,18.8922
2024-05-20,18.403
2024-05-17,18.0851
2024-05-16,17.7562
2024-05-15,17.3025
2024-05-14,16.852
2024-05-13,17.2632
2024-05-10,17.7523
2024-05-09,18.1595
2024-05-08,18.9112
2024-05-07,19.8687
2024-05-06,20.7859
2024-05-03,21.0809
2024-05-02,21.2725
2024-05-01,21.4743
2024-04-30,21.6866
2024-04-29,22.1667
2024-04-26,22.4855
2024-04-25,22.5638
2024-04-24,22.6462
2024-04-23,23.0806
2024-04-22,23.5378
2024-04-19,23.5513
2024-04-18,22.8833
2024-04-17,22.1283
2024-04-16,21.3348
2024-04-15,20.5908
2024-04-12,19.8076
2024-04-11,18.8161
2024-04-10,18.2975
2024-04-09,17.894
2024-04-08,17.8275
2024-04-05,17.841
