date,EMA
2024-10-04,153.4766
2024-10-03,153.6699
2024-10-02,153.8962
2024-10-01,154.0011
2024-09-30,154.0843
2024-09-27,154.0911
2024-09-26,154.2039
2024-09-25,154.32
2024-09-24,154.5022
2024-09-23,154.5455
2024-09-20,154.5609
2024-09-19,154.546
2024-09-18,154.4625
2024-09-17,154.429
2024-09-16,154.3646
2024-09-13,154.1236
2024-09-12,153.9705
2024-09-11,153.8348
2024-09-10,153.7435
2024-09-09,153.5945
2024-09-06,153.5041
2024-09-05,153.5175
2024-09-04,153.4768
2024-09-03,153.2063
2024-08-30,152.879
2024-08-29,152.4858
2024-08-28,152.1645
2024-08-27,151.8439
2024-08-26,151.5085
2024-08-23,151.1629
2024-08-22,150.7726
2024-08-21,150.4114
2024-08-20,150.0228
2024-08-19,149.6204
2024-08-16,149.2408
2024-08-15,148.9187
2024-08-14,148.5795
2024-08-13,148.3042
2024-08-12,148.0566
2024-08-09,147.9727
2024-08-08,147.8202
2024-08-07,147.7292
2024-08-06,147.9674
2024-08-05,148.0734
2024-08-02,148.2619
2024-08-01,148.0475
2024-07-31,147.7792
2024-07-30,147.643
2024-07-29,147.4349
2024-07-26,147.2184
2024-07-25,146.9886
2024-07-24,146.8227
2024-07-23,146.5607
2024-07-22,146.4012
2024-07-19,146.2154
2024-07-18,146.0992
2024-07-17,146.0494
2024-07-16,145.6357
2024-07-15,145.2498
2024-07-12,145.0446
2024-07-11,144.7632
2024-07-10,144.5487
2024-07-09,144.4196
2024-07-08,144.4206
2024-07-05,144.4951
2024-07-03,144.5607
2024-07-02,144.7496
2024-07-01,144.843
2024-06-28,144.8906
2024-06-27,144.8573
2024-06-26,144.8079
2024-06-25,144.7281
2024-06-24,144.5854
2024-06-21,144.3795
2024-06-20,144.2409
2024-06-18,144.1305
2024-06-17,144.0587
2024-06-14,143.9992
2024-06-13,143.9177
2024-06-12,143.8224
2024-06-11,143.7046
2024-06-10,143.542
2024-06-07,143.2985
2024-06-06,143.0859
2024-06-05,142.8675
2024-06-04,142.6763
2024-06-03,142.534
2024-05-31,142.4205
2024-05-30,142.4006
2024-05-29,142.5948
2024-05-28,142.8168
2024-05-24,142.9462
2024-05-23,142.9064
2024-05-22,142.8112
2024-05-21,142.5389
2024-05-20,142.265
2024-05-17,141.9885
2024-05-16,141.6505
2024-05-15,141.3061
2024-05-14,140.9077
2024-05-13,140.6909
2024-05-10,140.5151
2024-05-09,140.3061
2024-05-08,140.1054
2024-05-07,140.011
2024-05-06,139.8555
2024-05-03,139.8059
2024-05-02,139.8106
2024-05-01,139.8523
2024-04-30,139.888
2024-04-29,139.9535
2024-04-26,140.0155
2024-04-25,140.1332
2024-04-24,140.2674
2024-04-23,140.3175
2024-04-22,140.3269
2024-04-19,140.5275
2024-04-18,140.8045
2024-04-17,141.165
2024-04-16,141.5624
2024-04-15,141.9766
2024-04-12,142.4396
2024-04-11,142.9221
2024-04-10,143.236
2024-04-09,143.5223
2024-04-08,143.6633
2024-04-05,143.8724
2024-04-04,144.0554
2024-04-03,144.3904
2024-04-02,144.5434
2024-04-01,144.6958
2024-03-28,144.626
2024-03-27,144.4173
2024-03-26,144.1886
2024-03-25,144.1386
2024-03-22,144.1387
2024-03-21,144.1178
2024-03-20,144.0739
2024-03-19,144.0452
2024-03-18,143.9791
2024-03-15,144.0062
2024-03-14,144.0344
2024-03-13,144.0053
2024-03-12,143.9189
2024-03-11,143.7641
2024-03-08,143.6638
2024-03-07,143.5446
2024-03-06,143.3848
2024-03-05,143.2789
2024-03-04,143.2649
2024-03-01,143.136
2024-02-29,142.9706
2024-02-28,142.946
2024-02-27,142.795
2024-02-26,142.5521
2024-02-23,142.2462
2024-02-22,141.8289
2024-02-21,141.4406
2024-02-20,141.1894
2024-02-16,140.945
2024-02-15,140.624
2024-02-14,140.318
