date,RSI
2024-10-04,45.0962
2024-10-03,44.6261
2024-10-02,49.2309
2024-10-01,50.3395
2024-09-30,53.3196
2024-09-27,49.8366
2024-09-26,50.1208
2024-09-25,48.3364
2024-09-24,53.7046
2024-09-23,54.9017
2024-09-20,56.0567
2024-09-19,58.5295
2024-09-18,56.951
2024-09-17,57.9234
2024-09-16,64.4362
2024-09-13,61.7095
2024-09-12,60.8649
2024-09-11,59.3752
2024-09-10,61.193
2024-09-09,59.369
2024-09-06,56.4083
2024-09-05,58.392
2024-09-04,67.5459
2024-09-03,68.8332
2024-08-30,70.2464
2024-08-29,67.9995
2024-08-28,67.2823
2024-08-27,66.8979
2024-08-26,66.3977
2024-08-23,66.7169
2024-08-22,65.3933
2024-08-21,65.197
2024-08-20,64.7026
2024-08-19,63.5289
2024-08-16,61.7147
2024-08-15,61.4009
2024-08-14,59.5298
2024-08-13,58.4419
2024-08-12,54.5519
2024-08-09,56.1236
2024-08-08,54.5071
2024-08-07,46.3038
2024-08-06,50.3057
2024-08-05,48.3845
2024-08-02,61.8464
2024-08-01,63.0877
2024-07-31,59.1116
2024-07-30,61.3691
2024-07-29,61.035
2024-07-26,60.812
2024-07-25,58.7178
2024-07-24,61.5058
2024-07-23,58.4036
2024-07-22,58.73
2024-07-19,56.5517
2024-07-18,54.5404
2024-07-17,68.221
2024-07-16,66.6405
2024-07-15,60.9092
2024-07-12,63.4618
2024-07-11,60.6931
2024-07-10,57.2475
2024-07-09,51.9222
2024-07-08,48.8282
2024-07-05,49.5202
2024-07-03,44.3195
2024-07-02,49.0799
2024-07-01,51.6176
2024-06-28,55.8632
2024-06-27,56.5093
2024-06-26,57.7792
2024-06-25,60.5812
2024-06-24,63.1552
2024-06-21,60.1886
2024-06-20,58.6682
2024-06-18,56.8347
2024-06-17,56.1025
2024-06-14,56.8255
2024-06-13,57.0583
2024-06-12,57.5964
2024-06-11,58.961
2024-06-10,61.6934
2024-06-07,60.1399
2024-06-06,59.6797
2024-06-05,58.3076
2024-06-04,56.3682
2024-06-03,55.1057
2024-05-31,51.928
2024-05-30,44.2439
2024-05-29,43.9561
2024-05-28,47.6622
2024-05-24,54.5507
2024-05-23,56.7317
2024-05-22,64.7641
2024-05-21,63.9768
2024-05-20,63.2261
2024-05-17,64.8171
2024-05-16,64.0407
2024-05-15,64.8664
2024-05-14,58.4618
2024-05-13,56.3048
2024-05-10,56.9496
2024-05-09,55.9571
2024-05-08,51.4872
2024-05-07,53.5613
2024-05-06,48.8911
2024-05-03,46.3961
2024-05-02,44.8249
2024-05-01,45.1843
2024-04-30,44.12
2024-04-29,44.4479
2024-04-26,42.5409
2024-04-25,42.381
2024-04-24,45.1888
2024-04-23,46.5606
2024-04-22,39.3228
2024-04-19,36.9608
2024-04-18,34.5874
2024-04-17,34.6112
2024-04-16,35.163
2024-04-15,34.9578
2024-04-12,35.5566
2024-04-11,40.4992
2024-04-10,42.0322
2024-04-09,46.9194
2024-04-08,45.0777
2024-04-05,46.4589
2024-04-04,41.7801
2024-04-03,48.3547
2024-04-02,48.9173
2024-04-01,58.0611
2024-03-28,64.3789
2024-03-27,64.3203
2024-03-26,57.9521
2024-03-25,55.9097
2024-03-22,56.9005
2024-03-21,57.8749
2024-03-20,57.2137
2024-03-19,58.7349
2024-03-18,55.4622
2024-03-15,55.5363
2024-03-14,58.0405
2024-03-13,60.3586
2024-03-12,62.9778
2024-03-11,61.0628
2024-03-08,61.4179
2024-03-07,62.5847
2024-03-06,60.8031
2024-03-05,58.0396
2024-03-04,62.6603
2024-03-01,63.6317
2024-02-29,59.5121
2024-02-28,64.9871
2024-02-27,68.6687
2024-02-26,70.5409
2024-02-23,74.6212
2024-02-22,73.2683
2024-02-21,69.4941
2024-02-20,68.7087
2024-02-16,71.3821
2024-02-15,70.3301
2024-02-14,67.8196
2024-02-13,64.4442
2024-02-12,72.221
2024-02-09,71.762
2024-02-08,72.4201
2024-02-07,73.8832
2024-02-06,73.0771
2024-02-05,69.526
2024-02-02,68.4021
2024-02-01,69.5654
2024-01-31,64.61
2024-01-30,65.6704
2024-01-29,64.7446
2024-01-26,61.7428
2024-01-25,59.0742
2024-01-24,60.1334
2024-01-23,67.1003
2024-01-22,67.6823
2024-01-19,65.972
2024-01-18,65.7461
2024-01-17,65.8499
2024-01-16,67.2623
2024-01-12,71.6418
2024-01-11,73.5371
2024-01-10,74.0689
2024-01-09,72.8762
2024-01-08,72.9758
2024-01-05,70.6295
2024-01-04,71.2024
2024-01-03,69.8671
2024-01-02,70.9083
2023-12-29,65.8657
2023-12-28,65.5347
2023-12-27,64.722
2023-12-26,63.3865
2023-12-22,62.68
2023-12-21,61.087
2023-12-20,56.857
2023-12-19,64.9279
2023-12-18,62.6001
2023-12-15,62.0234
2023-12-14,67.2249
2023-12-13,70.4459
2023-12-12,64.4073
2023-12-11,62.731
2023-12-08,59.9995
2023-12-07,59.2826
2023-12-06,60.0259
2023-12-05,59.7261
2023-12-04,60.4584
2023-12-01,59.7693
2023-11-30,58.3343
2023-11-29,53.383
2023-11-28,53.2535
2023-11-27,55.7165
2023-11-24,58.8829
2023-11-22,56.8964
2023-11-21,55.0698
2023-11-20,52.6728
2023-11-17,50.1461
2023-11-16,51.0084
2023-11-15,49.2547
2023-11-14,48.939
2023-11-13,46.2046
2023-11-10,43.7767
2023-11-09,41.186
2023-11-08,48.7221
2023-11-07,49.3042
2023-11-06,49.0149
2023-11-03,46.2629
2023-11-02,44.1399
2023-11-01,36.6696
2023-10-31,35.5952
2023-10-30,32.63
2023-10-27,29.6393
2023-10-26,34.0515
2023-10-25,37.1492
2023-10-24,40.3276
2023-10-23,38.6208
2023-10-20,40.9005
2023-10-19,42.4169
2023-10-18,46.5299
2023-10-17,50.6886
2023-10-16,51.3774
2023-10-13,47.7017
2023-10-12,44.4014
2023-10-11,48.4146
2023-10-10,50.6676
2023-10-09,48.2207
2023-10-06,46.3871
2023-10-05,40.3688
2023-10-04,36.8785
2023-10-03,34.0495
2023-10-02,37.4123
2023-09-29,37.9749
2023-09-28,41.1775
2023-09-27,38.0368
2023-09-26,40.1731
2023-09-25,44.2004
2023-09-22,40.5807
2023-09-21,41.5546
2023-09-20,46.0235
2023-09-19,45.9755
2023-09-18,45.4688
2023-09-15,46.2163
2023-09-14,50.3332
2023-09-13,48.5931
2023-09-12,48.5115
2023-09-11,49.1414
2023-09-08,45.5455
2023-09-07,45.5455
2023-09-06,43.1955
2023-09-05,45.4705
2023-09-01,50.2935
2023-08-31,48.9516
2023-08-30,55.2937
2023-08-29,55.7197
2023-08-28,51.4565
2023-08-25,50.2818
2023-08-24,46.4281
2023-08-23,50.9113
2023-08-22,49.3077
2023-08-21,51.1737
2023-08-18,50.6452
2023-08-17,50.4632
2023-08-16,54.5514
2023-08-15,58.9161
2023-08-14,61.1734
2023-08-11,59.9789
2023-08-10,57.43
2023-08-09,57.8047
2023-08-08,57.9644
2023-08-07,54.9177
2023-08-04,49.7814
2023-08-03,51.4935
2023-08-02,54.009
2023-08-01,53.7205
2023-07-31,56.3316
2023-07-28,60.4806
2023-07-27,59.3876
2023-07-26,63.5627
2023-07-25,63.9471
2023-07-24,64.1929
2023-07-21,65.387
2023-07-20,62.3727
2023-07-19,56.5589
2023-07-18,54.7158
2023-07-17,51.6147
2023-07-14,53.7789
2023-07-13,46.9056
2023-07-12,46.7126
2023-07-11,47.8699
2023-07-10,47.7645
2023-07-07,44.1157
2023-07-06,48.9571
2023-07-05,52.7565
2023-07-03,53.0171
2023-06-30,57.1964
2023-06-29,52.8205
2023-06-28,49.7475
2023-06-27,51.3165
2023-06-26,52.4387
2023-06-23,55.3115
2023-06-22,57.0536
2023-06-21,54.2539
2023-06-20,54.1909
2023-06-16,54.7172
2023-06-15,54.7515
2023-06-14,48.5767
2023-06-13,53.1846
2023-06-12,51.027
2023-06-09,49.451
2023-06-08,48.1005
2023-06-07,45.2155
