date,SMA
2024-10-04,154.1079
2024-10-03,154.1948
2024-10-02,154.314
2024-10-01,154.4713
2024-09-30,154.6266
2024-09-27,154.7563
2024-09-26,154.8823
2024-09-25,154.9878
2024-09-24,155.1098
2024-09-23,155.1448
2024-09-20,155.1684
2024-09-19,155.1435
2024-09-18,155.0817
2024-09-17,155.0349
2024-09-16,154.9442
2024-09-13,154.7265
2024-09-12,154.5547
2024-09-11,154.3514
2024-09-10,154.1492
2024-09-09,153.8339
2024-09-06,153.5823
2024-09-05,153.3477
2024-09-04,152.9258
2024-09-03,152.4715
2024-08-30,151.9699
2024-08-29,151.654
2024-08-28,151.407
2024-08-27,151.1001
2024-08-26,150.8296
2024-08-23,150.5646
2024-08-22,150.2911
2024-08-21,150.0092
2024-08-20,149.7696
2024-08-19,149.4812
2024-08-16,149.2281
2024-08-15,148.979
2024-08-14,148.7006
2024-08-13,148.6398
2024-08-12,148.5721
2024-08-09,148.4894
2024-08-08,148.4042
2024-08-07,148.31
2024-08-06,148.3255
2024-08-05,148.198
2024-08-02,148.0694
2024-08-01,147.7481
2024-07-31,147.3566
2024-07-30,147.0961
2024-07-29,146.8345
2024-07-26,146.6204
2024-07-25,146.4166
2024-07-24,146.2667
2024-07-23,146.1053
2024-07-22,146.0286
2024-07-19,145.9051
2024-07-18,145.8036
2024-07-17,145.7156
2024-07-16,145.4479
2024-07-15,145.2214
2024-07-12,145.1026
2024-07-11,144.9638
2024-07-10,144.8862
2024-07-09,144.8902
2024-07-08,144.9356
2024-07-05,145.008
2024-07-03,145.0486
2024-07-02,145.1117
2024-07-01,145.0992
2024-06-28,145.0102
2024-06-27,144.7776
2024-06-26,144.5356
2024-06-25,144.3366
2024-06-24,144.1987
2024-06-21,144.0621
2024-06-20,144.0472
2024-06-18,144.0397
2024-06-17,144.0437
2024-06-14,144.0725
2024-06-13,144.0799
2024-06-12,144.0933
2024-06-11,143.9946
2024-06-10,143.8502
2024-06-07,143.6825
2024-06-06,143.5272
2024-06-05,143.3193
2024-06-04,143.1595
2024-06-03,142.9744
2024-05-31,142.7819
2024-05-30,142.6221
2024-05-29,142.57
2024-05-28,142.5089
2024-05-24,142.3978
2024-05-23,142.1765
2024-05-22,141.9289
2024-05-21,141.6485
